subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,-0.015411617,0.124635074,0.510918266,0.671104499,0.322811555,0.405469555,2.267501328,0.976255108,0.25225877,0.804217394,0.513981504,0.051420555,0.259964579,0.741899854,0.258522372,-0.284131694,0.244552962,0.866534928,0.769440637,0.386972804,0.247753324,0.397869787,0.054611729,0.591011383,1.013993601,1.253507733,1.111087891,1.15641344,0.51848695,0.457768159,1.001864438,-0.025609323,0.383120137,0.427818974,0.52823808,0.28270103
2,0.02544065,0.231991641,0.833189698,0.57773271,0.417088675,0.731030275,3.758298443,2.089943758,0.661435586,1.37581786,0.554770369,0.332097289,0.648715262,1.259822037,0.138175521,0.043230936,0.674155912,1.491813678,0.971365218,0.620963644,0.429315174,0.404862176,0.128716146,0.705461202,1.645521128,2.112777322,2.165969589,1.592328865,0.786890782,1.303052968,1.908537306,0.181406458,0.608102978,0.853957575,1.018626726,0.44343383
3,-0.157428635,0.222869854,0.237826032,0.006464729,0.077432994,0.536646085,2.301450335,1.991718353,0.351395971,1.408675983,0.261553284,0.124959108,0.43011029,1.297241054,0.142640268,0.121726744,0.272681655,1.520110908,0.380466299,0.128191472,0.040198698,0.114667292,0.03272061,0.122145379,0.653147955,1.648302381,1.792792564,0.508657773,0.572750558,1.4189678,1.727351344,0.264367012,0.306474628,0.766817545,0.880035976,0.193256195
4,0.343048071,0.199007098,0.975861166,0.617829313,0.533936411,0.473515612,2.961935278,0.826189621,0.519508844,0.608554245,0.479504043,0.286495311,0.347984809,0.509050698,-0.008426541,-0.022419344,0.69103288,0.708057797,0.967434627,0.595409968,0.659454619,0.408418206,0.271027585,0.796845241,1.658467507,1.303467766,1.399090681,1.562844594,0.339558268,0.486631355,0.85703551,-0.030845885,0.499506444,0.44752478,0.564031545,0.382999677
5,0.276934466,0.355840126,0.783098675,0.203853362,0.404931657,0.49129342,2.775037008,1.155310368,0.597967861,0.779885951,0.598625906,-0.011306036,0.459500628,0.601965888,0.207076568,-0.113232718,0.736435094,0.957806015,0.990175242,0.090620645,0.530016569,0.279846745,0.316387295,0.493476018,1.726610335,1.048426661,1.694241108,1.080795886,0.666577195,0.488733171,1.061466519,0.09384385,0.598296883,0.384289957,0.688926907,0.293659935
6,0.046331247,-0.101183367,0.423041474,0.37674288,0.186233059,0.680412623,3.094116611,2.349184375,0.971927741,1.201575887,0.550878467,-0.002731607,0.948762122,1.252167572,0.339357729,-0.191103047,0.995093369,1.150984205,0.762399204,0.185639834,0.234686361,0.137779757,-0.02742606,0.399892177,1.757492572,1.33662404,2.146077577,0.948039035,1.28811985,1.061064527,2.200929698,0.148254681,0.761403108,0.599422142,1.086751819,0.274073431
7,-0.092468163,0.105511253,0.4396229,0.305297379,0.189490842,0.422183426,2.067715388,1.309752019,0.63615604,0.535351395,0.225333738,0.291892532,0.68239012,0.482595769,0.005522288,0.139243843,0.589921957,0.588107022,0.445145188,0.444541222,0.173577368,0.205404316,0.006521544,0.372460141,1.035067146,1.032648245,1.178028981,0.889686414,0.687912409,0.621839611,1.164985891,0.144766132,0.430744888,0.413621964,0.585753718,0.258613135
8,-0.072059706,0.133452001,0.381917443,0.178976642,0.155571595,0.282900562,1.442745433,0.820459061,0.213497987,0.724299029,0.11439024,0.079414993,0.24952784,0.657573028,-0.076568482,-0.010073329,0.177468134,0.79102503,0.305348962,0.168903313,0.154928868,0.156214322,0.030696147,0.280447042,0.482817096,0.959928346,0.968493161,0.474252275,0.172959359,0.647499698,0.907100869,-0.08664181,0.163944114,0.401857012,0.468898508,0.096902617
9,0.071555362,0.174405779,0.594941344,0.488046063,0.332237137,0.51011689,2.704941828,1.375993285,0.387337042,0.491310748,0.550178823,0.611640946,0.351559362,0.404107859,0.25270815,0.367617915,0.423114724,0.578513637,0.847649494,0.855663979,0.333248354,0.331225921,0.12298057,0.541493702,1.270764219,1.434177614,1.001628363,1.70331348,0.604267512,0.771725775,0.755667219,0.620326065,0.468757933,0.551475846,0.439323896,0.580909884
10,0.063636193,0.029192923,0.954877207,0.940512477,0.497054701,0.5089672,3.029978205,1.041759401,0.577644745,0.743838971,0.457022079,0.257363001,0.545826647,0.729242512,-0.020416526,-0.212893238,0.60946284,0.758435435,0.934460682,0.727619239,0.5092567,0.4848527,0.046414558,0.947694841,1.543923518,1.486054682,1.367898273,1.662079922,0.525410123,0.516349273,1.275069161,-0.233309765,0.51733341,0.500600988,0.660741855,0.35719254
