subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,-0.086698655,0.028650852,0.144195419,0.216306631,0.075613562,0.352293154,1.56039974,1.257945491,0.215838024,0.933356099,0.195491127,0.064487365,0.259187351,0.919030675,0.123393416,-0.043665951,0.172488696,0.947681527,0.267588836,0.172640681,0.028748383,0.122478742,-0.029023901,0.180251026,0.440077533,1.12032221,1.120170221,0.440229517,0.382580768,0.875364723,1.17821803,0.079727465,0.205664576,0.498921733,0.57459706,0.129989245
2,-0.074310141,-0.091533385,0.080280809,0.122760979,0.009299565,0.379239839,1.535558489,1.498360225,0.356007186,1.015906843,-0.039969165,0.185014494,0.393162255,1.061673534,-0.080109569,0.123634004,0.318852114,0.970140149,0.00017124,0.246394983,0.002985334,0.015613797,-0.082921763,0.101520894,0.319023354,1.216535132,1.288992267,0.246566223,0.313052686,1.18530754,1.454835784,0.043524436,0.15801901,0.600460667,0.685957013,0.072522665
3,-0.128585267,0.122466607,-0.110593543,0.050489175,-0.016555757,0.470754349,1.849905879,1.916128911,0.87649279,0.992891613,-0.120994204,0.134627197,0.940785423,0.931658308,-0.065697432,0.10938261,0.812200156,1.054124916,-0.176290975,0.159871785,-0.119589405,0.086477891,-0.00305933,-0.030052184,0.63590918,1.213996701,1.866325075,-0.01641919,0.875087989,1.041040918,1.87244373,0.043685178,0.377749292,0.563759406,0.934692203,0.006816497
4,-0.067663987,0.021731544,0.090067642,0.010071789,0.013551747,0.360451801,1.468910696,1.4147037,0.846668656,0.643315158,0.104604253,-0.152780868,0.880500648,0.632449387,0.059570431,-0.157816762,0.812836661,0.654180931,0.149638073,-0.147744974,0.011201827,0.015901666,-0.022966221,0.050069715,0.962474733,0.506435956,1.467017591,0.001893099,0.940071078,0.474632624,1.512950034,-0.098246331,0.475636455,0.245267145,0.744991906,-0.024088308
5,-0.10109231,0.088500094,-0.094213417,0.03346488,-0.018335188,0.167630031,0.633849749,0.707190502,0.850255501,0.178750951,0.003199899,-0.361686228,0.900801657,0.134500903,0.050306608,-0.378418668,0.799709347,0.223000997,-0.043906809,-0.344953788,-0.097652863,0.060982487,-0.006296108,-0.030374269,0.75580254,-0.12195279,1.022710346,-0.388860598,0.951108268,-0.243917764,1.035302561,-0.328112058,0.4267277,-0.091467639,0.514503226,-0.179243164
6,-0.130178843,-0.059975968,-0.00930008,-0.030743566,-0.057549614,0.366521818,1.350988046,1.581186504,0.556928253,0.793090496,0.206726584,-0.090658059,0.622017676,0.823078479,0.211376625,-0.075286277,0.491838832,0.763102511,0.202076545,-0.106029842,-0.069739462,-0.045359767,-0.095077406,-0.020021823,0.69391538,0.657072669,1.254941342,0.096046703,0.833394303,0.747792204,1.445096156,0.136090349,0.38182742,0.351216217,0.675009376,0.058034263
7,-0.095271351,-0.123086179,0.019045272,0.005645266,-0.048416748,0.077224325,0.212063806,0.405730797,0.109790317,0.291016293,-0.116149878,0.024240569,0.157425993,0.352559382,-0.125672514,0.021417935,0.062154642,0.229473203,-0.106627242,0.027063201,-0.038113039,-0.058720456,-0.109178765,0.012345269,-0.0444726,0.256536405,0.291627844,-0.07956404,0.03175348,0.373977317,0.509985373,-0.104254579,-0.00317978,0.15762843,0.200403305,-0.045954655
8,-0.12333457,-0.143103886,0.095728577,0.032552933,-0.034539237,0.386837319,1.478270802,1.616427751,0.485347751,0.855216801,0.138784054,0.06800067,0.547015037,0.926768745,0.090919766,0.051724204,0.423680467,0.783664858,0.186648343,0.084277137,-0.013802997,-0.055275477,-0.133219228,0.064140755,0.61032881,0.867941995,1.207345322,0.270925481,0.6379348,0.978492948,1.473783782,0.142643971,0.312065903,0.461608736,0.670282278,0.103392362
9,-0.079327813,0.010662301,-0.039043684,0.009941859,-0.024441834,0.302423566,1.160810591,1.258577934,0.179010803,0.736598439,0.009280183,0.284804839,0.21867471,0.731267286,0.028802025,0.27983391,0.139346897,0.741929588,-0.010241659,0.289775769,-0.059185748,0.01030208,-0.034332756,-0.014550912,0.129105238,1.031705357,0.881276487,0.279534109,0.247476734,1.011101198,0.949941995,0.308635935,0.094145493,0.51070164,0.45780462,0.147042511
10,-0.183863155,0.013016055,-0.014573324,0.044915015,-0.035126352,0.754808995,2.948983269,3.089488684,1.229083411,1.311766325,0.022258056,0.456128186,1.321014989,1.305258297,0.029544719,0.433670678,1.137151834,1.318274352,0.014971395,0.478585694,-0.09921824,0.028965535,-0.08542355,0.015170846,1.152123229,1.79686004,2.455426192,0.493557088,1.35055971,1.738928972,2.626273288,0.463215398,0.625670733,0.883947256,1.270424868,0.239193121
