subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,-0.03872661,0.230957106,0.363321578,0.504411933,0.264991002,0.40827594,2.163085763,1.103121759,0.188278329,1.042055849,0.32996965,0.072799935,0.207641634,0.926577295,0.148308861,-0.179406033,0.168915024,1.157534401,0.511630439,0.325005901,0.162297484,0.36768452,0.096115248,0.433866756,0.680545462,1.482540296,1.326449429,0.836636339,0.355950494,0.747171264,1.134218932,-0.031097172,0.259123989,0.557427891,0.615167089,0.201384792
2,0.062685123,0.246626639,0.845462064,0.669831983,0.456151454,0.690251332,3.673308239,1.848702425,0.606071685,1.154211993,0.618356014,0.38236564,0.574729122,1.030898675,0.195624981,0.047449647,0.637414245,1.277525315,1.041087046,0.717281631,0.454073593,0.458229311,0.154655881,0.757647024,1.678501291,1.994806941,1.914939563,1.758368675,0.770354101,1.078348325,1.6056278,0.243074628,0.612213848,0.768288817,0.880141839,0.500360826
3,-0.085610151,0.253738997,0.337906546,0.046434566,0.138117489,0.607001191,2.704239737,2.151769785,0.283882679,1.642687285,0.371893712,0.129541086,0.326687754,1.515817786,0.20294044,0.106323804,0.241077602,1.769556783,0.540846986,0.152758369,0.126148197,0.150086781,0.084064423,0.192170556,0.781924589,1.922315151,2.010634386,0.693605356,0.529628194,1.622141587,1.842505536,0.309264245,0.327888196,0.886114187,0.963284979,0.2507174
4,0.410966499,0.145486989,1.035720029,0.784150742,0.594081064,0.417988757,2.860117161,0.483792896,0.308673495,0.515016581,0.552196501,0.296068447,0.103190245,0.442273086,0.034336488,-0.096006924,0.514156744,0.587760075,1.070056516,0.688143818,0.723343263,0.464818866,0.278226745,0.909935383,1.58421326,1.275903894,1.101916817,1.758200332,0.137526734,0.346266161,0.545463332,-0.061670436,0.430434997,0.405542515,0.411845038,0.424132475
5,0.197786579,0.291188309,0.772675318,0.155340251,0.354247616,0.51710023,2.776896145,1.359905689,0.532714272,0.767272201,0.714281009,0.054133441,0.433820981,0.621678047,0.327943344,-0.023536684,0.63160756,0.912866355,1.100618666,0.131803567,0.485230951,0.22326428,0.244487444,0.464007788,1.73222622,1.044669921,1.544473916,1.232422234,0.761764325,0.598141363,1.055499029,0.304406659,0.623497638,0.410702822,0.649993236,0.384207223
6,-0.021637291,-0.004045068,0.442835975,0.258081229,0.168808711,0.513713094,2.392469794,1.717234953,0.835114645,0.935621899,0.431138082,-0.147022248,0.845933287,0.937644432,0.209720094,-0.276062862,0.824295996,0.933599364,0.65255607,-0.017981634,0.210599342,0.12701808,-0.012841179,0.350458602,1.476852069,0.915617729,1.757895359,0.634574436,1.055653381,0.66158157,1.78357772,-0.06634277,0.633126362,0.394299824,0.885368269,0.142057917
7,-0.090618795,0.013324913,0.250763345,0.213093147,0.096640652,0.13288959,0.724839662,0.338277055,0.269178601,0.005229951,0.037113889,0.220035921,0.314487997,-0.001432506,-0.088267783,0.113489347,0.223869203,0.011892407,0.162495561,0.326582494,0.080072275,0.11320903,-0.038646941,0.231928246,0.386364763,0.338474902,0.23576161,0.489078058,0.226220214,0.112056841,0.313055492,0.025221564,0.153146245,0.112632935,0.137204275,0.128574905
8,-0.146172071,0.123799538,0.199812977,0.084005477,0.065361481,0.019157455,0.207352779,-0.054093141,0.130362705,0.221655336,-0.05867593,-0.216712291,0.20344874,0.159755567,-0.158582418,-0.25871503,0.057276669,0.283555105,0.041230559,-0.174709553,0.026820453,0.103902507,-0.011186266,0.141909227,0.098507227,0.108845552,0.340831773,-0.133478995,0.044866322,-0.098959463,0.363204306,-0.417297448,0.035843387,0.002471522,0.17600902,-0.13769411
9,0.0334835,0.191886616,0.67571434,0.538043136,0.359781898,0.545873297,2.90305698,1.463929392,0.411476984,0.626884725,0.616125183,0.529006298,0.394735234,0.530941419,0.278268013,0.25998473,0.428218734,0.722828034,0.953982353,0.798027866,0.35459892,0.364964875,0.112685058,0.606878736,1.38220109,1.520855901,1.151046767,1.752010223,0.673003247,0.790926151,0.925676654,0.538252743,0.513801084,0.577945512,0.519180856,0.572565739
10,0.03340099,0.150506441,0.826689898,0.776236525,0.446708465,0.925990048,4.597377115,2.81054326,1.133401354,1.252382815,0.800258626,0.517917383,1.116700859,1.177129598,0.386913678,0.129799118,1.150101849,1.327636039,1.213603577,0.906035644,0.430045444,0.463371482,0.091953716,0.801463212,2.363705419,2.233671681,2.477737885,2.119639218,1.50361454,1.306928718,2.293830456,0.516712797,0.966829994,0.8851501,1.192892085,0.659088006
