subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,0.025887818,0.154089154,0.415969532,0.448027457,0.26099349,0.276199539,1.626785134,0.582811172,0.393010483,0.318397233,0.447504565,-0.054114126,0.380066574,0.241352656,0.239519799,-0.278127854,0.405954391,0.39544181,0.655489331,0.169899602,0.220928674,0.301058305,0.089988486,0.431998494,1.061443723,0.565341413,0.801396203,0.825388932,0.619586373,-0.036775198,0.621419231,-0.038608055,0.420257525,0.132141553,0.355703859,0.196695219
2,0.030161536,0.099005169,0.554508121,0.472788335,0.28911579,0.494703905,2.557047203,1.400584045,0.594105142,0.440024353,0.497887796,0.446798332,0.579024374,0.390521768,0.220633737,0.210404165,0.60918591,0.489526937,0.775141858,0.683192499,0.292334829,0.285896751,0.064583352,0.513648226,1.384327768,1.172719438,1.098712849,1.45833436,0.799658112,0.60092593,0.969546145,0.431037903,0.545996469,0.443411343,0.517064748,0.472343064
3,0.217029637,0.275223745,0.274234494,0.362909023,0.282349225,0.3057579,1.787730049,0.658333152,0.040126528,0.6498849,0.457870104,0.07515007,-0.068388291,0.512273027,0.320752857,-0.106304442,0.148641347,0.787496772,0.594987351,0.256604581,0.245632066,0.319066384,0.246126691,0.318571757,0.743628699,1.044101352,0.936138115,0.851591929,0.252364567,0.405968585,0.443884735,0.214448415,0.248998316,0.362517483,0.345005713,0.266510086
4,0.125434365,-0.026873422,0.295206693,0.237901152,0.157917197,-0.07305928,0.023597274,-0.608071517,-0.295917362,0.082397603,-0.052858248,-0.025859116,-0.358634545,0.095834314,-0.200461594,-0.144809692,-0.233200181,0.068960892,0.0947451,0.09309146,0.210320529,0.105513864,0.049280471,0.266553924,-0.13845508,0.162052352,-0.164239291,0.187836562,-0.55909614,-0.048975379,-0.262800232,-0.345271286,-0.174387805,0.028269243,-0.106759879,-0.039358681
5,-0.000984209,0.086005713,0.385828207,0.316509842,0.196839889,0.02424371,0.490654614,-0.296704938,0.568446773,-0.371528636,0.31781337,-0.417756669,0.568938877,-0.414531491,0.124899266,-0.576011591,0.567954668,-0.328525778,0.510727474,-0.259501748,0.192421999,0.201257778,0.042510752,0.351169026,1.078682143,-0.588027527,0.23942889,0.251225726,0.693838142,-0.99054308,0.154407386,-0.451112324,0.44313007,-0.394642652,0.098459069,-0.04997165
6,-0.013922712,-0.041187463,0.349826929,0.331577344,0.156573525,0.303368964,1.526622906,0.900328803,0.546580126,0.376513729,0.149689552,0.140692447,0.553541483,0.397107461,-0.025223914,-0.025096224,0.539618771,0.355919998,0.324603017,0.306481119,0.167952109,0.14519494,-0.027555088,0.340702136,0.864221787,0.662401123,0.89553877,0.631084134,0.528317568,0.372011238,0.950648947,-0.050320138,0.348134839,0.258603089,0.461546927,0.145190999
7,-0.006618034,0.060265323,0.204171798,0.21232679,0.117536469,0.295056071,1.415297227,0.945151344,0.456886945,0.201963481,0.277420061,0.243953798,0.460195962,0.17183082,0.175334161,0.137790402,0.453577929,0.232096143,0.37950596,0.350117192,0.098776883,0.136296057,0.026823645,0.208249295,0.833083889,0.582213335,0.685674071,0.729623152,0.635530121,0.309621222,0.632026781,0.313124564,0.367153503,0.222958639,0.329425214,0.260686929
8,0.058925034,-0.020626802,0.42757566,0.223134552,0.172252111,0.261418817,1.39017949,0.701171046,0.418886119,0.141461346,0.311116905,0.174210895,0.389423602,0.151774748,0.097329075,0.062643619,0.448348636,0.131147946,0.524904736,0.28577817,0.243250348,0.101253875,0.019149116,0.325355106,0.973253373,0.416926117,0.579496583,0.810682907,0.486752677,0.214418367,0.541198349,0.159972695,0.365001512,0.157836121,0.280173733,0.2426639
9,0.029096601,0.009752875,0.32141577,0.241063339,0.150332146,0.088220814,0.653547548,0.052218965,0.025026858,0.056440684,0.223710017,0.047705697,0.010478558,0.051564247,0.063002133,-0.072825973,0.039575159,0.061317122,0.384417902,0.168237366,0.175256185,0.125408107,0.019424738,0.281239554,0.423993063,0.229554488,0.10089228,0.552655269,0.073480692,-0.021261726,0.062042806,-0.009823839,0.124368438,0.052073191,0.040733771,0.135707857
10,0.217887961,-0.008575948,0.476655183,0.557535994,0.310875797,0.568825616,2.897054066,1.653550868,0.854141659,0.5555519,0.611134329,0.254474577,0.745197683,0.559839871,0.372806738,-0.024293421,0.963085643,0.551263924,0.84946192,0.533242574,0.347271572,0.274480023,0.104656006,0.517095587,1.812547561,1.084506497,1.514349565,1.382704493,1.118004424,0.53554645,1.305037552,0.348513317,0.732637997,0.405013237,0.70484678,0.432804453
11,0.057681048,0.04463264,0.635108763,0.205400712,0.23570579,0.482158187,2.400044337,1.457221175,0.364311732,0.826561066,0.397145127,0.340614828,0.335471209,0.804244747,0.079590747,0.237914472,0.393152257,0.848877387,0.714699509,0.443315184,0.346394903,0.125016676,0.051156844,0.420254737,1.10785177,1.292192569,1.242029643,1.158014693,0.415061957,1.042159218,1.139715953,0.317505219,0.38072843,0.583587947,0.595436401,0.368879978
12,0.18354902,-0.064356375,0.39033854,-0.139154581,0.092594151,0.394160351,1.761829703,1.391453104,0.412272267,0.241282913,0.546694926,0.376391296,0.320497757,0.273461101,0.351525656,0.445968587,0.504046777,0.209104726,0.741864197,0.306814006,0.28694378,-0.101755478,0.059596322,0.125591979,1.245910978,0.515918732,0.713151499,1.048678201,0.672023412,0.719429691,0.59395886,0.797494242,0.479483596,0.308837106,0.32677759,0.461543112
13,0.028848343,0.16961018,0.433049414,0.091198567,0.180676626,0.553369474,2.574831149,1.85212464,0.765885209,0.48340088,0.489084853,0.475106952,0.751461037,0.398595791,0.272560146,0.429507669,0.78030938,0.568205971,0.705609559,0.520706236,0.230948878,0.130404373,0.099229261,0.26212399,1.485918942,1.088912208,1.348515353,1.226315798,1.024021182,0.82810346,1.150056827,0.702067816,0.62748503,0.479253916,0.624643044,0.482095903
14,-0.106744553,-0.021172651,0.362230406,0.133007667,0.091830217,0.102022566,0.591750695,0.224429827,-0.192515903,0.253570349,0.269137329,0.077898487,-0.139143626,0.264156674,0.088022126,0.011394654,-0.245888179,0.242984024,0.450252532,0.144402321,0.127742926,0.055917508,-0.063958602,0.247619036,0.204364353,0.387386345,-0.002904155,0.594654852,-0.051121501,0.275551327,0.125013048,0.09941678,0.038310713,0.165734418,0.030527223,0.173517909
15,0.029160053,0.023194912,0.113037218,0.250647127,0.104009827,0.247392253,1.197588673,0.781549361,0.366084165,0.278163302,0.020978267,0.324343277,0.351504139,0.266565847,-0.035540342,0.199019713,0.380664192,0.289760759,0.077496876,0.449666841,0.071098635,0.13692102,0.026177482,0.181842173,0.458161066,0.739427603,0.670424949,0.52716372,0.315963797,0.465585561,0.618069986,0.163479372,0.193531216,0.301253289,0.322123735,0.172660773
16,-0.047674445,0.002392304,0.218319453,0.231020774,0.101014522,0.099123414,0.5985227,0.194464613,-0.006082366,0.108272381,0.21953257,0.074771074,0.017754856,0.107076228,0.110372843,-0.040739313,-0.029919589,0.109468533,0.328692296,0.19028146,0.085322505,0.116706539,-0.02264107,0.224670113,0.298772707,0.299749992,0.079548946,0.518973759,0.128127699,0.066336915,0.124831085,0.06963353,0.106725101,0.091521727,0.051095007,0.147151821
17,-0.035191785,0.008820444,0.163623308,0.104523045,0.060443752,0.433454931,1.85470722,1.612932212,0.678779824,0.763394208,0.273600281,0.018045408,0.696375715,0.758983986,0.191788626,-0.034216114,0.66118393,0.767804429,0.355411934,0.07030693,0.064215762,0.056671744,-0.01318567,0.134073176,1.016595861,0.838111361,1.428988357,0.425718863,0.88816434,0.72476787,1.4553597,0.157572512,0.476190051,0.390719808,0.721087013,0.145822844
18,-0.006969626,-0.026068316,0.178477223,0.100878118,0.06157935,0.120596821,0.605545981,0.359228582,0.097838217,0.276121737,0.120758628,-0.012331301,0.10132303,0.289155896,0.031520017,-0.06277036,0.094353404,0.26308758,0.20999724,0.038107758,0.085753799,0.037404901,-0.016518971,0.13967767,0.304350645,0.301195338,0.357440983,0.248104997,0.132843048,0.226385536,0.390478926,-0.031250343,0.109298423,0.131895219,0.186979977,0.054213664
19,0.309506967,0.28490459,0.35014886,0.206534895,0.287773828,0.378530072,2.089667947,0.938572637,0.075177587,0.767211842,0.492339893,0.179390969,-0.079575896,0.624759549,0.317265464,0.076123522,0.22993107,0.909664139,0.667414324,0.282658416,0.329827913,0.245719743,0.297205779,0.278341877,0.897345397,1.192322554,1.139595212,0.950072742,0.237689567,0.700883071,0.545183653,0.393388986,0.283758741,0.473301406,0.421194717,0.335865431
20,0.101247724,0.075474716,0.292513628,0.278664212,0.18697507,0.454899988,2.193550095,1.445649813,0.452786311,0.576506823,0.414728947,0.37557787,0.40216245,0.538769466,0.268472134,0.236245763,0.503410175,0.614244182,0.560985762,0.514909975,0.196880676,0.177069464,0.08836122,0.28558892,1.064395938,1.129154153,1.117654361,1.075895743,0.670634584,0.77501523,0.940931914,0.504717899,0.43375763,0.476042346,0.514646569,0.395153409
21,0.218570948,0.137342412,0.267836124,0.421503005,0.261313123,0.304799963,1.741826094,0.696573602,0.259577813,0.751933298,-0.205559926,0.413248663,0.15029234,0.683262091,-0.339477989,0.202497162,0.368863287,0.820604503,-0.071641865,0.624000165,0.243203536,0.279422708,0.17795668,0.344669564,0.297221421,1.444604666,1.189467795,0.552358299,-0.189185648,0.885759254,0.83355443,-0.136980828,0.027008944,0.582590979,0.505755555,0.103844369
22,0.121667407,0.134423797,0.543555482,0.345233519,0.286220052,0.350387845,1.973991483,0.829111277,0.312433257,0.409989742,0.479067442,0.200060934,0.251599554,0.342777846,0.207289704,0.027444174,0.373266961,0.477201643,0.750845184,0.372677694,0.332611444,0.239828657,0.128045602,0.4443945,1.124112141,0.849879336,0.850468603,1.123522882,0.458889257,0.370222019,0.5943774,0.234733877,0.395750351,0.305025338,0.361211502,0.339564188
23,-0.030830733,-0.128011516,0.335246103,0.406376643,0.145695124,0.36847592,1.765293927,1.182513434,0.209216065,0.185130642,0.709126457,0.370430514,0.224631431,0.249136401,0.541503407,0.167242193,0.193800698,0.121124885,0.876749509,0.573618835,0.152207685,0.139182562,-0.079421125,0.370811372,1.070550211,0.694743722,0.314925582,1.450368347,0.766134837,0.416378594,0.473767832,0.708745599,0.45917126,0.277780578,0.197173353,0.539778485
24,-0.011509383,0.138023998,5.46E-05,0.055827767,0.045599255,0.120449863,0.572997961,0.390600938,-0.042952479,0.457262833,-0.05322401,0.120713106,-0.037197787,0.388250833,-0.05325133,0.092799222,-0.04870717,0.526274831,-0.053196689,0.148626989,-0.005727371,0.096925882,0.063257307,0.027941204,-0.10190386,0.674901821,0.477567661,0.095430299,-0.090449118,0.481050054,0.351053045,0.039547892,-0.048088244,0.288987968,0.207155177,0.033744548
25,0.18677765,0.331112794,0.497762188,0.252149323,0.316950489,0.4193007,2.31110377,1.043301821,0.389678887,0.518920858,0.594955551,0.173647502,0.296290062,0.35336446,0.346074459,0.047572842,0.483067712,0.684477254,0.843836647,0.299722164,0.342269918,0.291631058,0.258945222,0.374955754,1.326904358,0.984199416,1.167544966,1.14355881,0.642364522,0.400937301,0.649654522,0.3936473,0.492317219,0.34628418,0.454299871,0.384301527
26,-0.131899327,-0.030767745,0.579246987,0.463361497,0.219985353,0.506006868,2.463998168,1.584056765,0.295139713,0.488329973,0.493792623,0.746765162,0.361089377,0.503713845,0.20416913,0.51508441,0.22919005,0.4729461,0.783416118,0.978445907,0.223673831,0.216296875,-0.081333535,0.521304242,1.012606166,1.451392006,0.70213615,1.761862028,0.565258506,1.018798255,0.864803223,0.719253542,0.394466169,0.617547565,0.391734842,0.620278892
27,0.04973316,0.007416497,0.139330219,0.227656815,0.106034173,0.100228625,0.612982846,0.188846155,0.122915772,0.104156201,0.143922865,0.029919663,0.098049192,0.100447953,0.074257756,-0.083908745,0.147782352,0.107864449,0.213587974,0.14374807,0.094531689,0.117536656,0.028574828,0.183493517,0.361370325,0.25161252,0.255646801,0.357336045,0.172306946,0.016539208,0.198497145,-0.00965099,0.133419319,0.067037932,0.113535987,0.086921264
28,0.310748129,0.103637342,0.390822499,0.181042837,0.246562702,0.343297752,1.86631641,0.880065598,0.341664888,0.139277416,0.586371533,0.305877164,0.186290824,0.087458744,0.390960286,0.215355746,0.497038953,0.191096085,0.781782784,0.396398583,0.350785314,0.14234009,0.207192735,0.285932668,1.278821735,0.587494668,0.688135034,1.178181368,0.57725111,0.302814489,0.273749565,0.606316032,0.464018211,0.222577289,0.240471152,0.446124349
29,0.21991793,0.050881101,0.140567146,-0.058300481,0.088266424,0.300903917,1.380148509,1.027082814,0.485436852,0.28205025,0.334317288,0.101811276,0.375477886,0.2566097,0.264033714,0.130961517,0.595395816,0.307490801,0.40460086,0.072661036,0.180242538,-0.00370969,0.135399516,0.041133333,0.999996676,0.380151837,0.902886617,0.477261897,0.639511601,0.387571217,0.632087587,0.394995231,0.409877069,0.191930763,0.383743552,0.218064282
