subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36,hemisphere
1,-0.036514411,-0.067195992,0.104043404,0.138044126,0.034594282,-0.146726401,-0.517717039,-0.65609417,-0.077572534,-0.241202209,0.028339759,-0.296470619,-0.05931533,-0.207604213,-0.023681944,-0.365492682,-0.095829741,-0.274800205,0.08036146,-0.227448556,0.033764497,0.035424067,-0.051855201,0.121043765,-0.015468281,-0.502248764,-0.370629945,-0.147087096,-0.082997275,-0.573096895,-0.266919541,-0.389174625,-0.024616388,-0.268836415,-0.159387372,-0.13406543,
2,0.077948356,-0.199425132,0.538654581,0.396271778,0.203362395,0.111935062,0.854465039,0.041015458,0.08762044,-0.176106499,0.445115794,0.091110511,0.048646262,-0.076393932,0.175788504,-0.107025377,0.126594618,-0.275819064,0.714443085,0.2892464,0.308301467,0.098423323,-0.060738388,0.467463179,0.8410377,0.013427337,-0.149224446,1.003689483,0.224434766,-0.183419308,-0.027747669,0.068763127,0.266368117,-0.042497993,-0.044243028,0.268113152,
3,0.389359316,0.329577916,0.40033735,0.63025335,0.437381984,0.153894882,1.490343494,-0.259184439,-0.621835599,0.481084374,0.426536325,0.329794429,-0.816515257,0.316295414,0.22636765,0.014667754,-0.427155942,0.64587333,0.626705,0.644921104,0.394848334,0.479915633,0.359468616,0.515295349,0.199549059,1.290794433,0.21871739,1.271626101,-0.590147606,0.330963168,-0.500219843,0.241035403,-0.097649636,0.4054394,-0.070375614,0.378165377,
4,0.379688607,0.240293747,0.823674547,0.59409384,0.509437683,0.220371282,1.900360496,-0.137390247,-0.285973424,0.314864715,0.529846167,0.322747663,-0.475817727,0.194717842,0.118008896,0.025700742,-0.096129121,0.435011589,0.941683441,0.619794584,0.601681578,0.417193794,0.309991175,0.708884196,0.845554322,1.054806173,0.338882468,1.56147802,-0.357808831,0.220418585,-0.281099884,0.143709638,0.121936374,0.318806189,0.014445646,0.426296917,
5,-0.212813586,-0.113299746,0.038160323,-0.049767087,-0.084430024,-0.483231306,-2.101785267,-1.764065171,0.037102021,-0.944373029,-0.102119459,-0.923534754,0.143508813,-0.887723155,-0.121199621,-0.898651211,-0.069304772,-1.001022901,-0.083039299,-0.948418299,-0.087326631,-0.081533417,-0.163056666,-0.005803383,-0.152344072,-1.949441201,-1.070327672,-1.0314576,0.022309192,-1.786374363,-0.744214342,-1.019850836,-0.032508719,-0.933953893,-0.453635504,-0.512827107,
6,0.205586488,0.126060225,0.474570446,0.446981776,0.313299733,0.297591781,1.81696658,0.563767654,0.373566482,0.474861422,0.410995686,-0.069056468,0.270773238,0.411831309,0.173710464,-0.292547356,0.476359725,0.537891534,0.648280909,0.15443442,0.340078467,0.286521001,0.165823356,0.46077611,1.124640635,0.692325954,1.014251257,0.802715329,0.444483701,0.119283953,0.682604548,-0.118836892,0.392281084,0.202902477,0.424213952,0.170969609,
7,-0.072702653,-0.037346258,0.101185157,0.021672645,0.003202223,-0.165258607,-0.654629986,-0.667438875,-0.313963511,-0.286843603,-0.085119361,0.024892042,-0.277612184,-0.268170473,-0.13571194,0.01405572,-0.350314837,-0.305516731,-0.034526783,0.035728365,0.014241252,-0.007836807,-0.055024455,0.061428901,-0.38484162,-0.269788365,-0.655831569,0.001201582,-0.413324125,-0.254114753,-0.545782658,-0.121656219,-0.199541436,-0.13097578,-0.300403556,-0.030113659,
8,0.223765327,0.070013702,0.502564707,0.301258265,0.2744005,0.205441553,1.370567212,0.27296521,0.09153586,0.133321976,0.244162618,0.352745756,-0.020346803,0.098315125,-0.007119735,0.202116623,0.203418524,0.168328827,0.495444972,0.503374888,0.363165017,0.185635983,0.146889515,0.401911487,0.698863497,0.671703715,0.37174735,0.998819857,-0.027466538,0.300431746,0.077968323,0.194996887,0.167849239,0.243033867,0.112428919,0.298454188,
9,0.168208411,0.144057533,0.346584684,0.305707576,0.241139551,0.0869478,0.830070302,-0.134487903,0.03466884,0.132647693,0.176285832,0.004188835,-0.049435365,0.060618925,0.002993491,-0.148664954,0.118773046,0.204676458,0.349578175,0.157042622,0.257396549,0.224882554,0.156132972,0.32614613,0.46835122,0.36171908,0.323449502,0.506620797,-0.046441875,-0.088046029,0.01118356,-0.145671463,0.105477337,0.068418263,0.083658267,0.090237333,
10,0.166622259,0.053661795,0.42590825,0.491370859,0.28439079,0.150473086,1.170673926,0.033110765,0.000372022,0.148186798,0.321546626,0.131786896,-0.082939105,0.1213559,0.108592502,-0.113898533,0.083683155,0.175017696,0.53450075,0.377472325,0.296265254,0.272516326,0.110142027,0.458639553,0.618183901,0.552490018,0.258700851,0.911973074,0.025653398,0.007457367,0.038416799,-0.005306031,0.160959326,0.139986847,0.074279412,0.226666762,
