subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,0.11950784,0.099712435,0.252509772,0.311075155,0.1957013,0.019720103,0.470283015,-0.312522187,0.062905482,0.076382362,0.151206002,-0.211613432,0.003151562,0.026526144,0.024951117,-0.36715101,0.122659402,0.126238579,0.277460888,-0.056075854,0.186008806,0.205393796,0.109610137,0.281792464,0.400120292,0.070162725,0.248897982,0.221385033,0.028102679,-0.340624868,0.029677706,-0.342199893,0.107055743,-0.067615535,0.069643922,-0.030203715
2,0.161815938,0.100062878,0.52325587,0.303177639,0.272078081,0.239096306,1.500541374,0.412229051,0.648280638,0.491565121,0.135571308,-0.319031855,0.567372669,0.441533683,-0.126056627,-0.470620672,0.729188606,0.541596561,0.397199243,-0.167443034,0.342535903,0.201620259,0.130939408,0.413216753,1.126387849,0.37415353,1.270785165,0.229756211,0.441316041,-0.029086988,1.008906352,-0.596677301,0.391925974,0.086266634,0.569922879,-0.091730272
3,0.16629993,0.182035843,0.13509737,0.214507243,0.174485096,0.12035919,0.830406947,0.132466561,0.31501541,0.281209562,0.077804406,-0.192592622,0.231865446,0.19019164,0.010255721,-0.299846244,0.398165376,0.372227484,0.145353091,-0.085339001,0.15069865,0.198271543,0.174167887,0.174802306,0.543518468,0.286888483,0.770392861,0.060014091,0.242121165,-0.109654602,0.422057085,-0.289590522,0.196409908,0.04430847,0.298112486,-0.057394108
4,0.018549847,-0.086697923,0.665606031,0.4076098,0.251266939,-0.046657821,0.315902591,-0.689165166,-0.46996655,0.292270847,0.100206798,-0.109142384,-0.479241473,0.335619809,-0.232596217,-0.312947284,-0.460691626,0.248921886,0.433009813,0.094662516,0.342077939,0.160455938,-0.034074038,0.536607916,-0.027681811,0.343584401,-0.211769739,0.527672329,-0.711837689,0.022672525,-0.143621663,-0.545543501,-0.184879876,0.091564232,-0.088847851,-0.004467793
5,0.056410452,0.170349548,0.334706206,0.098212125,0.164919583,0.038241966,0.482807027,-0.176871302,0.357607436,0.062626046,0.109105647,-0.376371267,0.32940221,-0.022548727,-0.058247456,-0.425477328,0.385812662,0.14780082,0.27645875,-0.327265203,0.195558329,0.134280837,0.113379999,0.216459166,0.66227141,-0.179464385,0.533613484,-0.050806453,0.271154754,-0.448026054,0.306853483,-0.483724783,0.233356542,-0.156872609,0.210116742,-0.133632809
6,0.297939866,-0.059428681,0.322404229,0.201055035,0.190492612,0.350202408,1.781794855,1.019824408,0.629097795,0.639966051,0.172923353,-0.041177564,0.48012786,0.669680392,0.011721238,-0.141705082,0.778067726,0.610251711,0.334125468,0.059349953,0.310172049,0.070813177,0.119255592,0.261729634,1.112193192,0.669601663,1.388319435,0.393475423,0.491849098,0.52797531,1.149808252,-0.129983845,0.401010573,0.299394244,0.634531922,0.065872894
7,0.079174761,0.100621386,0.366359658,0.162469895,0.177156425,0.277918033,1.465984984,0.757359277,0.43175963,0.350158293,0.196833225,0.132920983,0.39217225,0.299847599,0.013653396,0.051686036,0.471347011,0.400468985,0.380013054,0.214155931,0.222767209,0.13154564,0.089898073,0.264414776,0.851360064,0.614624915,0.871815996,0.594168986,0.405825646,0.351533635,0.692019848,0.065339432,0.314296427,0.241539638,0.39095896,0.164877104
8,0.104019592,-0.022769445,0.527409421,0.315894255,0.231138457,0.401917537,2.069947053,1.145393237,0.731347099,0.268019373,0.301995118,0.306308561,0.679337299,0.279404097,0.038290406,0.148361434,0.783356892,0.256634651,0.565699828,0.464255688,0.315714507,0.146562405,0.040625073,0.421651839,1.349056722,0.72089034,1.039991545,1.029955523,0.717627706,0.427765532,0.958741396,0.186651841,0.516671106,0.287163966,0.499683235,0.304151839
9,0.153959585,0.161600186,0.563758101,0.489180699,0.342124643,0.603236889,3.09719684,1.728698272,0.705677512,0.662877987,0.524769909,0.519622152,0.628697718,0.582077893,0.24289086,0.275031802,0.782657303,0.743678079,0.80664896,0.764212501,0.358858843,0.325390442,0.157779886,0.526469401,1.589306259,1.507890582,1.526335379,1.57086146,0.871588573,0.857109694,1.210775604,0.517922663,0.61522371,0.591250069,0.684277748,0.522196029
10,0.237610812,0.096107892,0.718985712,0.685955116,0.434664885,0.660481658,3.511256393,1.772596864,0.929822481,0.575116778,0.904629382,0.232357994,0.811017073,0.527062832,0.545136525,-0.110619565,1.048627885,0.623170724,1.264122237,0.575335552,0.478298261,0.391031504,0.166859352,0.702470415,2.312750126,1.198506273,1.671798612,1.839457791,1.356153599,0.416443268,1.338079905,0.434516962,0.917225933,0.403737386,0.75246963,0.568493687
11,0.349170737,0.301970682,0.802215498,0.305224272,0.439645297,0.431453756,2.6051056,0.846524428,0.317881055,0.393138875,0.2428689,0.771926185,0.143295688,0.242153535,-0.158238848,0.619314051,0.492466424,0.544124217,0.643976649,0.924538323,0.575693116,0.303597477,0.325570708,0.553719885,1.136443072,1.468662537,1.036590646,1.568514966,-0.014943161,0.861467587,0.385449225,0.461075201,0.280374978,0.582532532,0.355509966,0.507397543
12,0.462939739,0.088691123,0.537400708,0.080505467,0.292384258,0.554674255,2.803465528,1.633928494,1.324975398,0.553697107,0.422611804,-0.082587289,1.093505528,0.509351546,0.153911448,-0.122840023,1.556445266,0.598042669,0.691312157,-0.042334556,0.500170223,0.084598295,0.275815431,0.308953088,2.24775742,0.555708113,2.154487933,0.6489776,1.247416975,0.386511524,1.602857079,0.031071423,0.873793597,0.235554909,0.939336253,0.170012257
13,0.128335711,0.137800611,0.461379885,0.115872326,0.210847133,0.505447738,2.443485214,1.600096688,0.732376919,0.640516486,0.452735721,0.196161828,0.668209063,0.571616179,0.222045778,0.138225664,0.796544773,0.70941679,0.683425663,0.25409799,0.294857798,0.126836468,0.133068161,0.288626105,1.479970436,0.963514784,1.505961562,0.937523654,0.890254844,0.709841842,1.239825241,0.360271443,0.59255632,0.418339155,0.686446701,0.324448774
14,0.198515989,0.168298214,0.339701491,0.154677667,0.215298341,-0.007589303,0.400239466,-0.460953893,0.266372473,0.123653412,0.021842735,-0.442225829,0.167114479,0.039504304,-0.148008012,-0.519564662,0.365630468,0.207802518,0.19169348,-0.364886995,0.26910874,0.161487941,0.183407102,0.247189582,0.557323945,-0.157084475,0.573432989,-0.173193515,0.019106466,-0.480060357,0.206618783,-0.667572674,0.144107604,-0.159286209,0.195012943,-0.210191547
