subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,0.057325625,0.075560116,0.176496888,0.349932879,0.164828877,0.144072643,0.905948325,0.246632818,0.482522336,0.300500757,0.185288529,-0.39202105,0.453859523,0.262720699,0.097040084,-0.56698749,0.511185148,0.338280815,0.273536972,-0.217054611,0.116911256,0.212746497,0.06644287,0.263214884,0.78472212,0.121226202,0.849465965,0.056482362,0.550899606,-0.304266789,0.716580224,-0.469947407,0.333905432,-0.045760147,0.391511546,-0.103366261
2,0.03152252,0.203891986,0.507946461,0.319352916,0.26567847,0.53504549,2.671538899,1.608825013,0.695766177,1.023906356,0.429931905,-0.009422484,0.680004917,0.921960364,0.175958677,-0.169098942,0.711527437,1.12585235,0.683905136,0.150253974,0.26973449,0.261622452,0.117707253,0.413649687,1.395432574,1.276106317,1.837379786,0.834159112,0.855963593,0.752861422,1.601965281,0.006859734,0.562849042,0.507241937,0.859836267,0.210254712
3,-0.053725189,0.35232465,0.21393241,0.162861831,0.168848425,0.738356685,3.291123587,2.615729884,0.965477582,1.511484969,0.328483508,0.147980675,0.992340175,1.335322645,0.221517302,0.06654976,0.938614986,1.687647294,0.435449712,0.22941159,0.080103611,0.25759324,0.149299731,0.18839712,1.374064693,1.917058881,2.626262278,0.664861301,1.213857476,1.401872402,2.327662825,0.288067062,0.646980543,0.829732824,1.238481275,0.238232091
4,0.420619939,0.310880624,0.733682543,0.44708912,0.478068057,0.46887987,2.83165559,0.919383368,0.453255968,1.005309886,0.227091603,0.189862019,0.242946,0.849869577,-0.139749667,-0.03368254,0.66356594,1.160750201,0.593932873,0.413406579,0.577151241,0.378984871,0.365750282,0.590385828,1.257498814,1.574156778,1.824316144,1.007339451,0.103196333,0.816187038,1.092815577,-0.173432207,0.340173787,0.597585955,0.729282929,0.208476811
5,0.115730645,0.494080719,0.649551903,0.27947543,0.384709675,0.41059602,2.411803435,0.872964733,1.088357578,0.432865259,0.39226173,-0.271100481,1.030492253,0.185824898,0.067485777,-0.410838196,1.146222899,0.679905619,0.717037681,-0.131362766,0.382641274,0.386778075,0.304905683,0.464513668,1.863260581,0.548542854,1.82612852,0.585674915,1.097978034,-0.225013297,1.216317149,-0.343352418,0.740309652,0.080882389,0.760611419,0.060580624
6,0.279454058,-0.002865105,0.584367388,0.252929298,0.278471411,0.874015636,4.053005366,2.939119725,1.420240414,1.470152195,0.459372959,0.14629697,1.280513389,1.471584746,0.167189265,0.019832321,1.559967448,1.468719642,0.751556653,0.272761619,0.431910724,0.125032097,0.138294477,0.418648343,2.311524098,1.741481259,3.028687091,1.024318274,1.447702656,1.491417074,2.752098134,0.187021586,0.939806688,0.808224582,1.445196305,0.302834965
7,-0.078014082,0.090059379,0.253312161,0.21117425,0.119132927,0.34114254,1.602836015,1.126304301,0.595096613,0.527532368,0.097956819,0.143984358,0.634103654,0.482502679,-0.028699262,0.038397232,0.556089572,0.572562058,0.2246129,0.249571483,0.08764904,0.150616814,0.006022649,0.232243206,0.780702473,0.82213354,1.12865163,0.474184384,0.605404394,0.520899911,1.116606336,0.00969797,0.346526716,0.335758362,0.56131449,0.120970588
8,-0.119595994,-0.077054465,0.443834368,0.199373278,0.111639296,0.343862845,1.598729971,1.152172784,0.493482887,0.385636855,0.259073314,0.237258323,0.553280883,0.424164087,0.037156131,0.137571684,0.43368489,0.347109622,0.480990498,0.336944962,0.162119187,0.061159406,-0.098325229,0.321603823,0.91467539,0.684054587,0.780794514,0.81793546,0.590437014,0.561735773,0.977444975,0.174727814,0.376278101,0.311447589,0.43955987,0.248165819
9,0.092912861,0.22015112,0.210528145,0.200469338,0.181015365,0.479089936,2.278390477,1.554329018,0.731855287,0.714099127,0.073574125,0.396831209,0.685398857,0.604023567,-0.031689948,0.296596538,0.778311718,0.824174686,0.178838197,0.497065876,0.151720503,0.210310229,0.15653199,0.205498742,0.957149917,1.32124056,1.602486404,0.675904074,0.653708909,0.900620104,1.289422429,0.26490659,0.402714705,0.555465163,0.722977211,0.235202666
10,0.184896868,0.198086694,0.624762279,0.666705868,0.418612928,0.847208981,4.226061767,2.551610065,1.17911968,1.079380204,0.895067866,0.235268172,1.086671242,0.980336856,0.582686727,-0.098084761,1.27156811,1.17842355,1.207449006,0.568621107,0.404829573,0.432396281,0.191491781,0.645734073,2.479017125,1.747044651,2.449991655,1.776070116,1.669357961,0.882252093,2.067008097,0.484601966,1.037093771,0.657324188,1.129249938,0.565168019
