subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,-0.009489725,0.093848249,0.473862238,0.697692438,0.313978299,0.526651929,2.734564319,1.478651121,0.311989536,1.039819463,0.530680907,0.224117811,0.316734401,0.992895338,0.293749789,-0.124728408,0.307244676,1.086743587,0.767612028,0.57296403,0.232186257,0.395770343,0.042179262,0.58577734,1.074856702,1.659707614,1.39398826,1.340576056,0.610484191,0.868166931,1.309629738,0.169021381,0.421335224,0.631968637,0.675904497,0.377399359
2,-0.001236292,0.070791261,0.676387507,0.355632222,0.275393674,0.42928719,2.267936111,1.166361412,0.280175131,1.110002815,0.199088994,0.127881826,0.280793277,1.074607182,-0.139104759,-0.049934285,0.279556986,1.145398442,0.537282748,0.305697937,0.337575607,0.213211742,0.034777484,0.516009864,0.816839734,1.45109638,1.424955424,0.842980686,0.141688519,1.024672895,1.355400459,-0.189039043,0.239632063,0.618942319,0.695088972,0.16348541
3,-0.108676125,0.244296805,0.141285046,0.238951304,0.128964257,0.744397327,3.235517829,2.71966079,0.488578669,1.764228664,0.373277493,0.351504492,0.542916732,1.642080255,0.302634968,0.232028841,0.434240607,1.88637706,0.443920015,0.470980145,0.016304461,0.241624054,0.06781034,0.190118176,0.878160619,2.357357208,2.320617663,0.914900156,0.845551698,1.87410909,2.184996988,0.53466381,0.43092808,1.057866576,1.126403662,0.362390994
4,0.140845971,0.029176281,0.449312751,0.267232806,0.221641952,0.484191432,2.380049633,1.493481824,0.488272993,0.884921354,0.462593215,0.100978163,0.417850009,0.870333216,0.237936841,-0.03263824,0.558695979,0.899509497,0.68724959,0.234594566,0.29507936,0.148204543,0.085011126,0.358272777,1.245945571,1.134104061,1.458205477,0.921844155,0.655786849,0.837694975,1.288183225,0.2052986,0.475433104,0.492949759,0.686597173,0.28178569
5,0.222166831,0.352952245,1.000611272,0.241558121,0.454322117,0.428011064,2.620688485,0.803400026,0.141610067,0.848572085,0.652898771,0.068963344,0.030526651,0.672095959,0.152593132,-0.051815717,0.252693482,1.025048204,1.153204406,0.189742405,0.611389051,0.297255183,0.287559538,0.621084698,1.405897886,1.21479061,1.277741682,1.342946812,0.183119783,0.620280241,0.70262261,0.100777414,0.397254419,0.458767714,0.495091073,0.360931056
6,-0.034385188,-0.023989874,0.374161153,0.27755243,0.14833463,0.702026764,3.104776314,2.51143779,0.947668533,1.483570883,0.40623816,-0.029370529,0.964861131,1.495565821,0.219157583,-0.168146744,0.930475943,1.471575947,0.593318736,0.109405686,0.169887982,0.126781278,-0.029187531,0.325856792,1.523794681,1.580981635,2.402051889,0.702724421,1.184018715,1.327419077,2.460426956,0.05101084,0.676953347,0.727100177,1.215619715,0.188433815
7,-0.231663151,0.015652187,0.361379864,0.294765569,0.110033617,0.56901027,2.496108321,2.055973849,0.922869685,0.845291149,0.194338925,0.313541325,1.038701262,0.837465054,0.013648994,0.16615854,0.807038111,0.853117241,0.375028856,0.460924109,0.064858356,0.155208878,-0.108005482,0.328072715,1.182066967,1.31404135,1.660155349,0.835952966,1.052350256,1.003623594,1.876166318,0.179807534,0.558604306,0.579416236,0.884080416,0.253940125
8,-0.05140668,0.165237006,0.422951718,0.218775596,0.18888941,0.247802855,1.36899024,0.6134326,0.143033222,0.733880384,0.185139434,-0.070841621,0.168736562,0.651261883,-0.026336426,-0.180229419,0.117329882,0.816498889,0.396615293,0.038546177,0.18577252,0.192006301,0.056915163,0.320863658,0.513945175,0.855045065,0.933828771,0.435161471,0.142400136,0.471032466,0.819998446,-0.206565845,0.164086328,0.331519383,0.438456804,0.057148907
9,0.000740038,0.210173949,0.705942058,0.6357703,0.388156586,0.603282712,3.189444024,1.636817682,0.387404908,0.837769382,0.627872899,0.560083662,0.38703489,0.732682407,0.274901871,0.242198512,0.387774928,0.942856355,0.980843928,0.877968812,0.353341047,0.422972125,0.105456993,0.670856178,1.368618853,1.820825169,1.330631288,1.858812737,0.661936761,0.974880917,1.119717298,0.517100384,0.507638906,0.698926522,0.612587147,0.593978281
10,0.099434911,-0.01855302,0.806654865,0.780529295,0.417016512,0.217889571,1.705591305,0.037525263,-0.108420674,0.586698249,0.18520599,0.208074725,-0.158138129,0.595974757,-0.218121443,-0.182189922,-0.058703218,0.577421736,0.588533422,0.598339371,0.453044887,0.380988137,0.040440945,0.793592076,0.529830203,1.175761106,0.518718518,1.186872793,-0.376259573,0.413784835,0.437836628,-0.400311367,0.038392658,0.397386486,0.239138785,0.196640358
11,-0.029768938,0.106355027,0.667851289,0.276407418,0.255211199,0.774630826,3.608945697,2.588100907,0.579056557,1.795601678,0.127227155,0.596637924,0.593941027,1.742424158,-0.20669849,0.458434214,0.564172089,1.848779186,0.461152799,0.734841632,0.319041176,0.191381223,0.038293045,0.472129353,1.025324888,2.583620817,2.41295127,1.195994433,0.387242537,2.200858373,2.336365183,0.251735723,0.353141857,1.196119798,1.187329114,0.361932538
12,0.051889754,0.01973637,0.555917306,0.12025528,0.186949677,0.551085627,2.578241865,1.830443154,0.695468437,0.823576861,0.467199152,0.21809806,0.66952356,0.813708677,0.189240498,0.157970421,0.721413314,0.833445048,0.745157803,0.2782257,0.30390353,0.069995825,0.035813062,0.338086292,1.466571116,1.111670747,1.554858361,1.023383502,0.858764057,0.971679099,1.483232236,0.34721092,0.581333794,0.520837463,0.759522649,0.342648605
13,0.07739151,0.157327853,0.245400223,0.084899099,0.141254671,0.631870599,2.809991734,2.244973061,0.408089606,1.267345957,0.417756601,0.43429023,0.369393851,1.188682032,0.295056491,0.39184068,0.446785361,1.346009885,0.540456713,0.47673978,0.161395866,0.121113476,0.117359682,0.165149661,0.987242072,1.82274966,1.79279525,1.01719649,0.664450343,1.580522715,1.558075876,0.68689717,0.412923103,0.850818094,0.837717784,0.426023417
14,-0.003876597,0.108182464,0.638648845,0.693843675,0.359199597,0.77548657,3.820345469,2.383547089,0.543396383,1.761361028,0.515230605,0.281958267,0.545334681,1.707269794,0.195906184,-0.064963571,0.541458084,1.815452258,0.834555027,0.628880105,0.317386122,0.401013069,0.052152933,0.66624626,1.376013114,2.444332366,2.356910337,1.463435134,0.741240865,1.642306225,2.252604482,0.130942613,0.529313494,1.021659648,1.152378707,0.398594436
15,-0.249970636,0.232112675,0.172974153,0.225180134,0.095074081,0.750231244,3.191073144,2.810776833,1.239057147,1.025140442,0.09279681,0.643930577,1.364042468,0.909084107,0.006309733,0.531340514,1.114071832,1.141196782,0.179283887,0.756520647,-0.038498242,0.228646405,-0.008928981,0.199077144,1.293355719,1.897717435,2.255268613,0.935804534,1.3703522,1.440424624,2.273126586,0.537650247,0.66592698,0.834535514,1.132098798,0.368363695
16,-0.023098297,0.012612197,-0.04480963,-0.023291697,-0.019646857,-0.043373621,-0.212788195,-0.134200769,-0.171723469,0.031029871,-0.010900919,-0.021899966,-0.16017432,0.024723773,0.011503896,-0.010254117,-0.183272618,0.03733597,-0.033305734,-0.033545814,-0.033953963,-0.00533975,-0.00524305,-0.034050663,-0.216578352,0.003790156,-0.145936647,-0.066851548,-0.148670425,0.014469656,-0.135450548,0.001249778,-0.091312194,0.004564953,-0.070346799,-0.016400442
17,0.074675916,0.02730246,0.325528067,0.121467917,0.13724359,0.090192547,0.635257368,0.086283008,0.113634328,0.084151158,0.303442146,-0.140457445,0.076296369,0.070499929,0.140678113,-0.201191403,0.150972285,0.097802389,0.466206179,-0.079723486,0.200101991,0.074385189,0.050989188,0.223497991,0.617178462,0.018078903,0.248774676,0.386482692,0.216974481,-0.130691474,0.146796296,-0.060513291,0.208538237,-0.028153143,0.098892744,0.08149235
18,-0.055664252,-0.065260447,0.262835258,0.310956366,0.113216731,0.380609234,1.748870401,1.296003479,0.149928155,0.789560095,0.127442376,0.45550631,0.177760281,0.822190319,-0.003975252,0.300028126,0.122096029,0.756929872,0.258860006,0.610984492,0.103585503,0.122847959,-0.060462349,0.286895812,0.380956034,1.367914371,0.879025902,0.869844497,0.173785027,1.122218447,0.999950598,0.296052875,0.138685266,0.622533203,0.469744126,0.291474342
19,-0.005478203,0.014241148,0.004728346,-0.028007975,-0.003629171,0.113794262,0.447918704,0.462435388,0.105417482,0.195206146,0.00576866,0.148784759,0.108156583,0.188085572,0.003404487,0.162788747,0.10267838,0.20232672,0.008132832,0.134780771,-0.000374929,-0.006883414,0.004381473,-0.011639815,0.110811213,0.337107492,0.305005101,0.142913604,0.11156107,0.350874318,0.296242156,0.166193234,0.055593071,0.171995452,0.150311813,0.077276709
20,-0.251510578,0.102632048,0.222941772,0.2153261,0.072347336,0.601517328,2.550763981,2.261374636,0.62766968,1.069407994,0.260527415,0.448464215,0.753424972,1.018091973,0.149056529,0.340801164,0.501914393,1.120724021,0.371998302,0.556127265,-0.014284402,0.158979074,-0.074439265,0.219133937,0.873912696,1.676851288,1.622638412,0.92812557,0.9024815,1.358893138,1.771516943,0.489857693,0.444098549,0.758936106,0.848538838,0.354495815
21,0.034055882,0.123091332,-0.027853878,0.216456589,0.086437481,0.048671429,0.367560676,0.021810754,-0.077639946,0.611897846,-0.397580859,0.058008673,-0.094667887,0.550352181,-0.383653919,-0.050219622,-0.060612005,0.673443513,-0.411507798,0.166236968,0.003101002,0.169773961,0.078573607,0.094301355,-0.472119803,0.839680476,0.612831505,-0.245270831,-0.478321807,0.500132557,0.455684293,-0.433873541,-0.237610402,0.334953259,0.267128951,-0.169786093
22,-0.064834805,0.152200487,0.472521279,0.395286584,0.238793386,0.854620419,3.896068464,2.9408949,0.829537365,1.698951617,0.423553595,0.466439103,0.861954765,1.622851375,0.187292956,0.268795811,0.797119959,1.775051863,0.659814234,0.664082395,0.203843236,0.273743536,0.043682841,0.433903932,1.456934193,2.439134259,2.57217181,1.323896631,1.04924772,1.891647184,2.484806136,0.456088768,0.626545479,1.082695361,1.264244492,0.444996349
23,-0.136561977,0.031669914,0.410758963,0.422500916,0.182091954,0.831561757,3.690430942,2.96206314,0.689463268,1.33201039,0.730666443,0.574106937,0.757744255,1.316175435,0.525286961,0.362856482,0.621182279,1.347845349,0.936045925,0.785357397,0.137098494,0.227085415,-0.052446031,0.416629939,1.557228205,2.133202751,1.969027631,1.721403318,1.283031214,1.679031916,2.073919685,0.888143445,0.710064855,0.953058665,1.010736829,0.652386692
24,0.033625162,-0.022096458,0.07568545,0.163476119,0.062672568,0.16950564,0.803367694,0.55267742,0.067555872,0.369612658,0.153265605,0.087588424,0.050743291,0.380660886,0.115422881,0.005850364,0.084368453,0.358564428,0.19110833,0.169326484,0.054655306,0.070689831,0.005764352,0.119580785,0.275476784,0.527890912,0.442932882,0.360434816,0.166166171,0.38651125,0.431404176,0.121273244,0.110410739,0.22860054,0.218584264,0.120427015
