subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,-0.080621849,-0.061877959,-0.020170092,0.126355483,-0.009078604,0.230890267,0.905403865,0.94171828,-0.031915239,0.978971139,-0.053618749,0.030123919,0.008395685,1.009910121,-0.043533703,-0.033053823,-0.072226165,0.948032162,-0.063703795,0.093301661,-0.050395971,0.032238762,-0.071249904,0.053092696,-0.13592996,1.041333825,0.875806,0.029597866,-0.035138018,0.976856295,1.018305804,-0.076587526,-0.042766994,0.50454753,0.473527953,-0.011747415
2,-0.025873556,-0.111958141,0.034698295,0.057507537,-0.011406466,0.345089489,1.357545022,1.403170886,0.258334497,0.991674711,-0.066561458,0.196910205,0.271271275,1.047653781,-0.083910605,0.168156437,0.245397719,0.93569564,-0.04921231,0.225663974,0.00441237,-0.027225302,-0.068915848,0.046102916,0.196185408,1.161359617,1.181093361,0.176451663,0.187360669,1.215810214,1.318925057,0.084245832,0.09588652,0.59429246,0.625004603,0.065174374
3,-0.105679898,0.168197034,-0.151656945,-0.03351726,-0.030664267,0.373482096,1.43259985,1.555256915,0.336807895,1.197796971,-0.182908085,0.142231605,0.389647845,1.11369845,-0.107079612,0.158990235,0.283967947,1.281895485,-0.258736557,0.125472975,-0.128668422,0.067339887,0.031258568,-0.092587102,0.02523139,1.407368456,1.565863434,-0.133263582,0.282568233,1.272688688,1.503346298,0.051910623,0.076949906,0.670014285,0.767302429,-0.02033824
4,-0.07455369,-0.026516198,0.075119501,0.003730276,-0.005555028,0.273687967,1.083641813,1.105861928,0.434314429,0.695954105,0.040616956,-0.076133619,0.471591274,0.709212202,0.003057206,-0.077998758,0.397037584,0.682696004,0.078176707,-0.074268481,0.000282906,-0.011392961,-0.050534944,0.039424889,0.475214292,0.608427522,1.079733587,0.003908226,0.474648479,0.631213443,1.180803473,-0.074941552,0.237465693,0.309910241,0.565134268,-0.017758331
5,-0.144143902,0.06959737,-0.246189576,0.079700627,-0.06025887,0.170612858,0.561933695,0.802969175,0.803291244,0.497121045,0.019792909,-0.637753769,0.875363198,0.462322359,0.142887697,-0.67760408,0.731219296,0.531919729,-0.103301878,-0.597903453,-0.195166739,0.074648999,-0.037273266,-0.083244474,0.627917418,-0.065983724,1.263139025,-0.701205334,1.018250892,-0.21528172,1.337685555,-0.534716383,0.411542078,-0.070316361,0.650206147,-0.308980428
6,-0.11985038,-0.071500501,-0.066375108,-0.036375825,-0.073525454,0.518741536,1.927915243,2.222017054,0.837325897,1.276848653,0.09071856,-0.12992696,0.897251083,1.312598904,0.123906114,-0.111739047,0.777400704,1.241098404,0.057531005,-0.148114872,-0.093112744,-0.053938163,-0.09567544,-0.051375467,0.83493171,1.092983531,2.018499104,-0.090583867,1.021157197,1.200859855,2.209849991,0.012167067,0.464022227,0.573460847,1.057087272,-0.0196042
7,-0.138611274,-0.118921703,-0.018289005,-0.034796252,-0.077654558,0.10450464,0.262709442,0.573327677,-0.055547785,0.736563056,-0.273689687,0.010692977,0.013757852,0.796023908,-0.264545185,0.028091103,-0.124853422,0.677102204,-0.28283419,-0.006705149,-0.07845014,-0.076858977,-0.128766489,-0.026542628,-0.407687614,0.670397058,0.552248781,-0.289539339,-0.250787334,0.824115011,0.809781761,-0.236454083,-0.164618737,0.373628016,0.340507635,-0.131498355
8,-0.055045338,-0.15598695,0.065412559,-0.042605735,-0.047056366,0.320049737,1.186086211,1.374311677,0.193934384,0.895472128,0.124913001,0.065879434,0.221457053,0.973465605,0.092206722,0.087182301,0.166411715,0.817478654,0.15761928,0.044576566,0.00518361,-0.099296343,-0.105516144,0.011403412,0.324030995,0.862055219,0.983890367,0.202195846,0.313663775,1.060647907,1.194922659,0.179389022,0.159423692,0.480675781,0.544703258,0.095396217
9,-0.076019079,-0.06904048,-0.047957708,-0.051346349,-0.061090904,0.286440761,1.023581237,1.267944855,0.225497048,0.814804195,-0.072016925,0.17747873,0.263506587,0.849324433,-0.048038072,0.203151904,0.187487508,0.780283953,-0.09599578,0.151805555,-0.061988394,-0.060193414,-0.072529779,-0.049652028,0.091491729,0.932089509,0.96777146,0.055809776,0.215468515,1.052476337,1.11283102,0.155113832,0.076740061,0.496141461,0.520150621,0.052730902
10,-0.060570895,-0.143666771,-0.069964446,0.064053173,-0.052537235,0.593445486,2.268707471,2.478856414,0.835187502,1.284095791,-0.155464948,0.409963592,0.86547295,1.35592918,-0.120482725,0.377937007,0.804902055,1.212262408,-0.190447171,0.44199018,-0.06526767,-0.039806799,-0.102118833,-0.002955636,0.614454884,1.654252589,2.017164462,0.251543008,0.744990226,1.733866192,2.221402137,0.257454281,0.339861279,0.847029694,1.059641648,0.127249322
