subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,-0.089037778,0.198281545,0.85564078,0.634638249,0.399880699,0.713913091,3.655413755,2.055890961,0.478934521,1.463022329,0.704589537,0.209105969,0.523453409,1.363881552,0.276769148,-0.108213155,0.434415631,1.562163098,1.132409929,0.526425093,0.383301502,0.416459897,0.054621883,0.745139515,1.566825565,2.088588188,1.996578727,1.658835019,0.800222558,1.255668395,1.887334963,0.168555993,0.591762029,0.836064147,0.97097842,0.456847755
2,-0.096589826,0.05585934,0.703643289,0.430409307,0.273330528,0.482340201,2.476021844,1.382699751,0.213625116,1.037829708,0.425664248,0.252241727,0.261920029,1.009900039,0.073842606,0.037037074,0.165330204,1.065759379,0.777485892,0.46744638,0.30352673,0.243134323,-0.020365243,0.567026296,0.942816093,1.53320576,1.231089584,1.244932273,0.335762636,1.046937114,1.271820071,0.11087968,0.319644683,0.645035718,0.625727414,0.338952989
3,-0.051826798,0.164004371,0.26359566,0.301750001,0.169380808,0.662403271,2.988374709,2.310851479,0.556043674,1.381857833,0.42263185,0.289079737,0.581957073,1.299855644,0.29083402,0.138204738,0.530130276,1.463860015,0.55442968,0.439954738,0.105884431,0.232877186,0.056088787,0.282672831,1.084559959,1.903814762,1.993990289,0.994384418,0.872791094,1.438060383,1.881812715,0.429038758,0.489337762,0.835468786,0.96895075,0.355855796
4,0.213783964,0.092891602,0.641387486,0.421135896,0.342299738,0.448999895,2.480599062,1.111400111,0.408268715,0.750057962,0.405729234,0.23194367,0.301376735,0.703612163,0.085035491,0.021375722,0.515160699,0.796503765,0.726422977,0.442511618,0.427585725,0.25701375,0.153337783,0.531261691,1.241583676,1.239015383,1.311664465,1.168934595,0.386412226,0.724987885,1.004988897,0.106411213,0.406998974,0.491000816,0.57916334,0.318836452
5,0.092011012,0.203391559,0.588509135,0.083775331,0.24192176,0.077467412,0.793713162,-0.173973871,-0.181300385,0.271049471,0.411364949,-0.191244387,-0.227305891,0.169353692,0.11711038,-0.233132052,-0.13529488,0.372745251,0.705619516,-0.149356721,0.340260074,0.143583445,0.147701285,0.336142233,0.570324636,0.22338853,0.237450371,0.556262796,-0.110195511,-0.06377836,-0.057952198,-0.116021673,0.115032281,0.039902543,0.044874543,0.11006028
6,0.041695351,0.039787564,0.446142439,0.354812291,0.220609412,0.648355057,3.034639046,2.152201405,0.901554161,1.39381435,0.374581126,-0.076529412,0.880706486,1.373920569,0.151509906,-0.253935557,0.922401837,1.413708133,0.597652345,0.100876733,0.243918895,0.197299927,0.040741458,0.400477365,1.520054185,1.514584867,2.336109971,0.698529079,1.032216392,1.119985013,2.25462706,-0.102425652,0.638067642,0.65864247,1.147684262,0.149025857
7,-0.143868034,0.025080522,0.375440407,0.275911747,0.133141161,0.379052935,1.782494061,1.249929425,0.604130688,0.40000527,0.20243598,0.309639805,0.676064703,0.387465009,0.014715776,0.171683932,0.532196669,0.412545531,0.390156183,0.447595678,0.115786186,0.150496134,-0.059393756,0.325676077,0.922352855,0.86014121,0.944742202,0.837751861,0.690780476,0.559148944,1.063529714,0.186399709,0.403283334,0.354822538,0.502067978,0.256037893
8,-0.019011571,0.080648079,0.188097776,0.071046334,0.080195155,0.122296578,0.649576622,0.328796004,0.051211157,0.409445471,0.142970293,-0.114440606,0.060716943,0.369121428,0.048921405,-0.149963773,0.041705372,0.449769507,0.237019181,-0.078917439,0.084543103,0.075847207,0.030818254,0.129572055,0.278724554,0.370852068,0.491474881,0.158101743,0.109638348,0.219157656,0.429838373,-0.101042368,0.097090725,0.147502431,0.230328313,0.014264844
9,-0.0324847,0.280663021,0.791630748,0.702002615,0.435452919,0.415409876,2.532545345,0.790733665,0.124594705,0.572288734,0.585495611,0.379260454,0.140837055,0.431957223,0.189680239,0.028259147,0.108352355,0.712620244,0.981310985,0.73026176,0.379573023,0.491332818,0.124089161,0.746816678,1.08966334,1.442882008,0.820972601,1.711572749,0.330517292,0.460216371,0.572794277,0.217939386,0.355045158,0.475774595,0.34844172,0.482378033
10,0.004033964,-0.105953956,0.575736501,0.47415516,0.236992918,-0.087363469,0.12453196,-0.82343971,-0.422971872,0.012289641,-0.074160111,0.135388466,-0.424988854,0.065266619,-0.362028361,-0.101689114,-0.420954889,-0.040687337,0.213708139,0.372466047,0.289885232,0.184100602,-0.050959996,0.52494583,-0.207246751,0.331778708,-0.461642228,0.586174182,-0.787017217,-0.036422494,-0.359722236,-0.463717475,-0.248565992,0.073839054,-0.205341116,0.030614178
11,-0.065799273,0.112872746,0.648544301,0.303617468,0.249808811,0.362869893,1.951097185,0.951861946,-0.045417846,0.967714977,0.053125372,0.476057066,-0.01251821,0.911278603,-0.271146779,0.324248331,-0.078317483,1.024151349,0.377397524,0.627865799,0.291372515,0.208245107,0.023536737,0.476080886,0.29908004,1.652017153,0.945833867,1.005263326,-0.28366499,1.235526934,0.89876039,0.053101552,0.003853763,0.721886019,0.461148565,0.264591219
12,0.063076422,0.090349165,0.585726398,0.294867976,0.258504989,0.53475251,2.656020017,1.622000066,0.633543994,0.551443627,0.713604155,0.240418265,0.602005784,0.506269044,0.420740955,0.092984277,0.665082206,0.59661821,1.006467353,0.387852253,0.32440141,0.192608571,0.076712794,0.440297187,1.671549557,0.984470463,1.26170041,1.394319605,1.022746742,0.59925332,1.108274826,0.513725234,0.673574075,0.395930946,0.59249381,0.47701121
13,0.101098965,0.297447477,0.555241353,0.163835069,0.279405716,0.682235651,3.287754025,2.170131171,0.566036818,1.194993703,0.534067221,0.433844859,0.515487335,1.046269964,0.256446545,0.351927325,0.616586299,1.343717441,0.811687898,0.515762395,0.328170158,0.230641273,0.199273221,0.359538211,1.428274195,1.859479836,1.960303744,1.327450297,0.771933882,1.398197298,1.561757298,0.60837387,0.550052018,0.81441928,0.880515263,0.483956042
14,-0.059533983,0.101103086,0.441909729,0.346060382,0.207384803,0.270904881,1.498389124,0.668849912,0.065886866,0.583102063,0.347078288,0.087552305,0.095653857,0.532550518,0.126123424,-0.085477886,0.036119874,0.633653604,0.568033152,0.260582496,0.191187873,0.223581734,0.020784551,0.393985055,0.604153026,0.894236102,0.669773479,0.82861565,0.221777281,0.447072633,0.628204376,0.040645538,0.206482577,0.335327184,0.324494464,0.217315296
15,-0.142340517,0.182912203,0.282739972,0.413572408,0.184221016,0.283030623,1.500564524,0.763680461,0.207438071,0.556941635,0.199606801,0.168135986,0.278608329,0.465485534,0.058236816,-0.038650218,0.136267812,0.648397736,0.340976787,0.37492219,0.070199727,0.298242305,0.020285843,0.348156189,0.477244598,1.023319926,0.784665548,0.715898977,0.336845144,0.426835316,0.744093868,0.019586597,0.203522436,0.362538811,0.382189853,0.183871394
16,0.01994671,0.000506733,0.006557507,0.009549237,0.009140047,-0.075878018,-0.285231979,-0.321792167,-0.198332875,-0.040323274,0.00204566,-0.066901585,-0.20830623,-0.040576641,-0.001233093,-0.071676203,-0.188359519,-0.040069908,0.005324414,-0.062126966,0.013252109,0.005027985,0.010226722,0.008053372,-0.183035105,-0.102196874,-0.228429428,-0.056802553,-0.209539323,-0.112252844,-0.248882872,-0.072909296,-0.098143607,-0.05361243,-0.119328075,-0.032427962
17,0.051279003,0.042359285,0.1319953,0.122396447,0.087007509,0.056271548,0.399101208,0.051071175,0.201786368,-0.095272664,0.237251845,-0.118679357,0.176146866,-0.116452306,0.171254195,-0.179877581,0.227425869,-0.074093021,0.303249495,-0.057481134,0.091637152,0.082377865,0.046819144,0.127195873,0.530675363,-0.131574154,0.153332848,0.245768361,0.34740106,-0.296329888,0.059694561,-0.008623386,0.219519107,-0.10697601,0.053256852,0.059286244
18,-0.060986844,-0.035266541,0.484872353,0.451727199,0.210086542,0.344082154,1.796501694,0.956155532,0.071518057,0.806462104,0.154191699,0.344156754,0.102011479,0.824095374,-0.088244479,0.118293154,0.041024635,0.788828833,0.396627875,0.570020353,0.211942755,0.208230329,-0.048126693,0.468299778,0.437652509,1.358849185,0.829853469,0.966648227,0.013767,0.942388529,0.926106851,0.030048675,0.112854878,0.57530943,0.43899008,0.249174225
19,0.02378083,-0.000631936,-0.005111779,-0.014620915,0.00085405,0.017042149,0.069876698,0.066460497,-0.051879991,-0.075225483,0.015260827,0.180013246,-0.063770407,-0.074909515,0.017816716,0.187323703,-0.039989577,-0.075541451,0.012704937,0.172702788,0.009334526,-0.007626426,0.011574447,-0.009866347,-0.027284639,0.097161337,-0.115531027,0.185407725,-0.04595369,0.112414188,-0.138679922,0.205140419,-0.018309583,0.052393881,-0.063552738,0.097637036
20,-0.223230702,0.187665669,0.755001509,0.535922444,0.313839729,0.53297732,2.759588729,1.504229828,0.498741305,1.153589761,0.265857065,0.213721148,0.610356656,1.059756927,-0.111643687,-0.054240074,0.387125954,1.247422596,0.643357819,0.48168237,0.265885401,0.361794056,-0.017782517,0.645461974,1.030483775,1.729104964,1.634548552,1.12504019,0.498712967,1.005516852,1.670113585,-0.16588376,0.382299186,0.683655456,0.826165534,0.239789108
21,-0.000462547,0.105641158,-0.142906017,0.334335459,0.074152014,0.169884704,0.82784284,0.53123479,0.072030536,0.717359857,-0.196314307,0.086462727,0.072261809,0.664539278,-0.124861297,-0.080705003,0.071799262,0.770180436,-0.267767314,0.253630457,-0.071684282,0.219988309,0.052589306,0.095714721,-0.195968051,1.023810891,0.841979701,-0.014136858,-0.052599488,0.583834275,0.736801087,-0.2055663,-0.062141885,0.401911292,0.394695196,-0.054925789
22,-0.023169289,0.304043821,0.605230339,0.445878634,0.332995875,0.427711931,2.376839472,1.044855973,0.08586004,1.259315352,0.152411287,0.21326105,0.097444684,1.10729344,-0.150203882,-0.009678265,0.074275395,1.411337261,0.455026456,0.436200367,0.291030525,0.374961227,0.140437266,0.525554485,0.529301853,1.84753763,1.485612655,0.891226824,-0.052759197,1.097615173,1.204738121,-0.159882147,0.119135664,0.736288202,0.672587695,0.182836169
23,-0.145352706,0.007540644,0.705932209,0.595991343,0.291027872,0.798620848,3.776539132,2.612427651,0.579378316,1.270538438,0.762489393,0.582077242,0.652054671,1.266768115,0.40952329,0.28408157,0.506701965,1.274308759,1.115455498,0.880072912,0.280289751,0.301765993,-0.068906031,0.650961775,1.622157465,2.154381675,1.781010724,1.995528408,1.061577961,1.550849685,1.918822789,0.693604857,0.670933855,0.926307839,0.924958377,0.672283317
24,0.011330993,0.053263412,0.060742413,0.059124817,0.046115409,0.145933398,0.675964411,0.491502775,0.192298586,0.264401824,0.149937501,-0.022904317,0.186633089,0.237770117,0.119566295,-0.052466726,0.197964082,0.291033529,0.180308708,0.006658092,0.036036703,0.056194115,0.032297202,0.059933615,0.37827279,0.297691621,0.488997612,0.186966799,0.306199385,0.185303391,0.424403207,0.067099569,0.171118044,0.120748753,0.228350205,0.063516592
25,0.027968814,0.294856053,0.660500023,0.242472592,0.30644937,0.106258932,1.037934467,-0.187863012,-0.301624122,0.435006969,0.198288156,0.093364726,-0.315608531,0.287578942,-0.131961854,-0.027871569,-0.287639717,0.582434995,0.528538167,0.214601023,0.344234418,0.268664324,0.161412434,0.451486308,0.240898451,0.797036017,0.294795278,0.743139191,-0.447570383,0.259707373,-0.028029588,-0.159833424,-0.051667984,0.264185848,0.066691422,0.145826441
26,-0.24429336,-0.011176762,0.326952683,0.240181012,0.077915893,0.23870989,1.110671351,0.799007774,0.343345509,0.50908172,-0.121354559,0.223766892,0.465492188,0.514670101,-0.284830901,0.103676385,0.221198828,0.503493339,0.042121783,0.343857398,0.041329662,0.114502125,-0.127735061,0.283566849,0.263320611,0.847350737,0.724692168,0.385979179,0.180661287,0.618346487,0.980162292,-0.181154516,0.110995474,0.366424307,0.426213615,0.051206166
27,-0.009592684,0.082001336,0.498586577,0.696443773,0.31685975,0.659970953,3.273603297,2.006164306,0.741070337,1.159791142,0.411236726,0.327785604,0.745866677,1.118790475,0.161943438,-0.020436281,0.736273993,1.200791811,0.660530015,0.676007491,0.244496946,0.389222555,0.036204326,0.597515175,1.396804008,1.876799308,1.937065807,1.336537509,0.907810116,1.09835419,1.864657155,0.141507157,0.576153532,0.743788373,0.950430736,0.369511166
