subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,0.000455508,0.046889413,0.51745519,0.479373436,0.261043386,0.337914016,1.873742837,0.829569291,0.282680451,0.359817593,0.631952567,0.077205454,0.282452696,0.336372887,0.373224969,-0.162481263,0.282908203,0.3832623,0.89068016,0.316892172,0.258955349,0.263131425,0.02367246,0.498414312,1.173588365,0.700154473,0.666170502,1.207572332,0.655677665,0.173891623,0.618825583,0.210743706,0.457316507,0.218511523,0.321249022,0.354579011
2,0.018431447,0.017172418,0.352475581,0.397520481,0.196399983,0.301965047,1.600660157,0.815060225,0.262841518,0.419970357,0.299062871,0.225985445,0.253625794,0.411384148,0.122825081,0.027225205,0.272057241,0.428556566,0.475300662,0.424745686,0.185453514,0.20734645,0.017801933,0.374998032,0.747357902,0.853302254,0.700613805,0.900046348,0.376450875,0.438609354,0.665009945,0.150050286,0.280952195,0.322977903,0.341405938,0.262524158
3,0.024939815,0.239317999,0.213192382,0.264227018,0.185419304,0.29839635,1.564424011,0.822746795,0.024054788,0.673745318,0.359663262,0.136122035,0.01158488,0.554086318,0.253067071,0.004008525,0.036524695,0.793404317,0.466259453,0.268235543,0.119066099,0.251772509,0.132128907,0.2387097,0.50278415,1.06163986,0.829929013,0.734494998,0.264651951,0.558094843,0.565671197,0.257075596,0.191859024,0.404933675,0.348900053,0.247892649
4,0.157942065,-0.01907959,0.318784742,0.229469909,0.171779281,-0.023734395,0.248620983,-0.438496141,-0.249785854,0.120670169,-0.005343483,0.03952159,-0.328756887,0.130209964,-0.164735853,-0.075213364,-0.170814822,0.111130374,0.154048888,0.154256544,0.238363403,0.105195159,0.069431238,0.274127325,-0.016765933,0.265386917,-0.059684449,0.308305431,-0.49349274,0.0549966,-0.198546923,-0.239949217,-0.127564668,0.080095879,-0.064557842,0.017089053
5,0.046323808,0.071443937,0.454941293,0.190635885,0.19083623,0.247392294,1.371241638,0.607896716,0.784926005,-0.336952911,0.615178848,-0.073582767,0.761764099,-0.372674881,0.387708203,-0.168900709,0.808087907,-0.301230943,0.842649496,0.021735176,0.25063255,0.131039911,0.058883872,0.322788588,1.650737408,-0.279495767,0.506856964,0.864384672,1.149472298,-0.541575589,0.389089219,0.218807494,0.700052426,-0.20526784,0.223986546,0.270798041
6,0.006841165,-0.023817734,0.255794943,0.309038342,0.13696418,0.255784458,1.297066188,0.74920947,0.391216639,0.387086221,0.104158532,0.140676437,0.387796057,0.398995088,-0.023738939,-0.013842735,0.394637221,0.375177354,0.232056004,0.295195608,0.131318054,0.142610304,-0.008488285,0.282416643,0.626693226,0.670372963,0.769814576,0.527251612,0.364057118,0.385152353,0.786791145,-0.037581674,0.247687585,0.263881329,0.38915143,0.122417484
7,-0.043503051,0.0753163,0.330886623,0.268351985,0.157762964,0.407515766,1.945588989,1.314537137,0.56194322,0.361557102,0.300234099,0.40632864,0.583694749,0.32389895,0.134790789,0.272152647,0.540191698,0.39921525,0.465677412,0.540504631,0.143691786,0.171834142,0.015906625,0.299619303,1.005869108,0.939719883,0.939406948,1.006182045,0.718485539,0.596051597,0.907593698,0.406943436,0.431088662,0.38394287,0.461750163,0.353281371
8,0.02274795,0.001426069,0.494960195,0.224159694,0.185823478,0.299633751,1.57018196,0.826888051,0.387755313,-0.003003339,0.460441736,0.353341295,0.376381338,-0.003716373,0.212961637,0.241261447,0.399129288,-0.002290303,0.707921834,0.465421142,0.258854073,0.112792882,0.012087009,0.359559946,1.107051122,0.463130837,0.396838983,1.173342982,0.589342973,0.237545075,0.372664965,0.454223083,0.424098523,0.175168978,0.192375987,0.406891514
9,0.014425619,-0.007764678,0.341473728,0.327227463,0.168840532,0.079099453,0.654078876,-0.021283255,-0.057173493,0.226847027,0.183886657,-0.037162382,-0.064386302,0.230729366,0.013149793,-0.200776113,-0.049960683,0.222964687,0.354623522,0.126451349,0.177949673,0.159731392,0.003330471,0.334350595,0.304662838,0.349416037,0.173004004,0.481074869,-0.051236509,0.029953253,0.166343064,-0.187626319,0.063356583,0.094842323,0.084836767,0.073362138
10,0.1440618,0.014192094,0.321864577,0.387056393,0.216793715,0.382194959,1.962367275,1.095192408,0.446959253,0.353260491,0.495986784,0.232573311,0.374928353,0.346164445,0.335054496,0.039045115,0.518990153,0.360356539,0.656919072,0.426101507,0.232963188,0.200624243,0.079126947,0.354460484,1.175909225,0.786458049,0.879346692,1.083020577,0.70998285,0.38520956,0.7210928,0.374099611,0.471473018,0.292916901,0.400109873,0.364280047
11,-0.065175319,-0.016353225,0.533706728,0.158854134,0.152758079,0.276358483,1.410950088,0.799917776,0.037614355,0.62730421,0.246310587,0.194204781,0.070202014,0.63548082,-0.020542776,0.114777713,0.005026695,0.619127595,0.513163951,0.273631848,0.234265704,0.071250455,-0.040764272,0.346280432,0.518190648,0.892759439,0.62415429,0.786795803,0.049659238,0.750258536,0.705682837,0.094234937,0.14196247,0.410754492,0.332459281,0.220257683
