subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,0.062539753,-0.033428465,0.452693535,0.452948467,0.233688322,0.168555305,1.141597872,0.20684458,0.134455093,0.057502063,0.566411961,-0.084147895,0.103185217,0.074216297,0.340065194,-0.310622129,0.16572497,0.040787832,0.792758729,0.142326338,0.257616643,0.209760001,0.014555644,0.452821,0.958483698,0.18311417,0.206512801,0.935085069,0.443250412,-0.236405832,0.177401513,0.029443066,0.350433528,-0.013322915,0.09597858,0.241132034
2,-0.101499611,-0.189260349,0.628930613,0.447580312,0.19643774,0.104588928,0.81123119,0.025480232,-0.016986166,-0.096927348,0.421880392,0.110388835,0.03376364,-0.002297173,0.107415085,-0.11340132,-0.067735972,-0.191557523,0.736345697,0.334178992,0.2637155,0.129159981,-0.14537998,0.538255462,0.668609727,0.14262147,-0.259293497,1.070524695,0.141178726,-0.115698494,0.031466466,-0.005986234,0.202447113,0.006730744,-0.056956757,0.266134614
3,0.024021144,0.358616104,0.462673389,0.603964263,0.362318725,0.362991511,2.176603496,0.727328594,-0.117308975,0.639296822,0.541285227,0.388692969,-0.129319547,0.459988771,0.309948533,0.086710835,-0.105298403,0.818604875,0.772621922,0.6906751,0.243347266,0.481290184,0.191318624,0.533318826,0.667323518,1.509279972,0.713306472,1.463297025,0.180628985,0.546699606,0.330669223,0.396659369,0.211988126,0.513994894,0.260993925,0.464989097
4,0.407025508,0.33264676,0.709240425,0.53266114,0.495393458,0.245652833,1.973398244,-0.00817559,-0.376104992,0.600827751,0.4266525,0.33123607,-0.579617747,0.434504369,0.072032288,0.064905501,-0.172592238,0.76715113,0.781272713,0.597566641,0.558132969,0.432653952,0.369836134,0.620950784,0.608680475,1.364717773,0.59455889,1.378839356,-0.507585461,0.499409869,-0.145113378,0.136937788,0.025273754,0.46603191,0.112361378,0.378944285
5,-0.084556852,-0.113115395,0.381386017,0.151726085,0.083859964,-0.237186391,-0.781025633,-1.116465491,0.055663489,-0.740692555,0.266063823,-0.529780321,0.097941915,-0.684134856,0.075370814,-0.605643364,0.013385062,-0.797250251,0.456756831,-0.453917278,0.148414582,0.019305345,-0.098836124,0.26655605,0.470141894,-1.251167526,-0.78386519,0.002839552,0.173312729,-1.289778222,-0.586192942,-0.53027255,0.160863655,-0.635236436,-0.342514532,-0.131858249
6,0.2393439,0.212282268,0.416288465,0.176240041,0.261038669,-0.153489694,-0.091881441,-1.136036112,-0.271073295,-0.27638562,-0.018169286,-0.048330578,-0.390745244,-0.382526752,-0.226313518,-0.136450599,-0.151401345,-0.170244485,0.189974947,0.039789442,0.327816183,0.194261155,0.225813084,0.296264253,0.038573603,-0.130455042,-0.32164583,0.229764389,-0.617058764,-0.518977351,-0.773271994,-0.362764117,-0.14462129,-0.162358098,-0.273729457,-0.033249932
7,-0.111925426,-0.11430821,0.143307552,0.071942701,-0.002745846,-0.090923974,-0.369187588,-0.358204203,-0.150258366,-0.099108603,-0.087326801,-0.027002124,-0.094295653,-0.041954498,-0.158980577,-0.062973475,-0.206221079,-0.156262708,-0.015673025,0.008969227,0.015691063,-0.021182754,-0.113116818,0.107625126,-0.221894106,-0.147293481,-0.362483787,-0.006703798,-0.253276231,-0.104927973,-0.136250151,-0.221954051,-0.118792584,-0.063055364,-0.124683484,-0.057164463
8,0.223705391,0.252973278,0.734803931,0.394092874,0.401393869,0.558050607,3.034990157,1.429414688,0.506676287,0.566031124,0.839241087,0.320253928,0.394823592,0.439544484,0.471839121,0.123207491,0.618528983,0.692517763,1.206643051,0.517300365,0.479254659,0.323533077,0.238339335,0.564448404,1.825172039,1.209818131,1.311046745,1.723943415,0.866662714,0.562751977,0.834368078,0.595046611,0.672958685,0.443142525,0.536353704,0.579747507
9,-0.128745678,-0.067901938,0.644884884,0.612220363,0.265114409,-0.00563749,0.507678858,-0.552778774,-0.227348679,-0.089314568,0.389923324,-0.095810037,-0.16297584,-0.055363597,0.067480881,-0.401920218,-0.291721518,-0.123265535,0.712365765,0.210300145,0.258069603,0.272159212,-0.098323808,0.628552622,0.42064425,0.087034611,-0.414987055,0.922665911,-0.095494959,-0.457283815,-0.218339437,-0.334439336,0.081287323,-0.092562301,-0.158331621,0.147056644
10,0.523570772,0.01015663,0.828432408,0.638657681,0.500204374,0.18807512,1.752709231,-0.248108262,-0.25606343,-0.046706946,0.787583285,0.267487571,-0.517848811,-0.051785262,0.373367081,-0.051841271,0.005721959,-0.041628632,1.201799489,0.586816412,0.676001589,0.324407157,0.2668637,0.733545045,1.207521454,0.545187777,-0.035906674,1.788615905,-0.14448173,-0.103626533,-0.569634073,0.321525809,0.265759929,0.110390311,-0.151385188,0.527535427
11,-0.128191173,0.009977128,-0.18821219,-0.231571953,-0.134499547,-0.223857685,-1.164429836,-0.626431645,-0.445240183,0.172745115,-0.390112175,-0.232823498,-0.381144595,0.167756552,-0.29600608,-0.117037523,-0.509335768,0.17773368,-0.484218271,-0.348609475,-0.158201682,-0.110797411,-0.059107022,-0.209892071,-0.993554035,-0.170875795,-0.331602089,-0.83282775,-0.677150671,0.050719029,-0.213388043,-0.413043603,-0.417676178,-0.030039192,-0.136247533,-0.311467837
12,0.288361388,-0.14788291,0.32737486,0.127940516,0.148948464,0.211221218,1.142781799,0.546987944,-0.148323641,0.223096408,0.654779049,0.115333058,-0.292504335,0.297037863,0.491091618,0.0513628,-0.004142947,0.149154953,0.818466479,0.179303316,0.307868124,-0.009971197,0.070239239,0.227657689,0.81432353,0.328458269,0.145012007,0.997769797,0.198587283,0.348400662,0.004533527,0.542454417,0.253227703,0.169214733,0.037386383,0.385056053
13,-0.010424278,0.046442238,0.351581874,0.039880621,0.106870114,0.09525971,0.594779071,0.167298613,0.00713846,-0.060301063,0.219340075,0.214861367,0.0123506,-0.083522182,0.043549137,0.194921057,0.001926321,-0.037079944,0.395131012,0.234801678,0.170578798,0.04316143,0.01800898,0.195731248,0.397057334,0.197721735,-0.035153623,0.629932689,0.055899737,0.111398876,-0.071171583,0.238470195,0.113239267,0.077280152,-0.026581301,0.217100721
14,0.098183008,0.056330433,0.598150607,0.413101454,0.291441375,0.357957083,2.014711081,0.848945578,0.258877537,0.645538737,0.382186749,0.145225309,0.209786033,0.617373519,0.083111444,-0.061325418,0.307969041,0.673703953,0.681262052,0.351776036,0.348166807,0.234715943,0.077256721,0.505626032,0.989231094,1.02547999,0.981672993,1.033038086,0.292897476,0.556048102,0.827159552,0.021786026,0.320532142,0.395382021,0.452208135,0.263706028
15,-0.059608658,-0.015541581,0.116778891,0.382033148,0.10591545,0.165100301,0.872232109,0.448570307,0.435403652,-0.47250778,0.084531069,0.612974265,0.465207982,-0.464736989,0.026141623,0.421957691,0.405599323,-0.48027857,0.142920515,0.803990839,0.028585117,0.183245784,-0.03757512,0.24940602,0.548519836,0.323712269,-0.074679246,0.946911356,0.491349604,-0.042779298,0.000470993,0.448099313,0.259967361,0.070233243,-0.018552063,0.348752667
16,-0.072537194,-0.023439595,0.275356198,0.357874342,0.134313438,-0.263724787,-0.786272272,-1.323526022,-0.551453142,-0.464801674,0.018054385,-0.056698717,-0.515184544,-0.453081877,-0.119623714,-0.235635889,-0.587721738,-0.476521471,0.155732485,0.122238454,0.101409502,0.167217373,-0.047988395,0.31661527,-0.431989252,-0.354283018,-1.064243208,0.277970939,-0.634808258,-0.688717764,-0.968266418,-0.355259603,-0.266699377,-0.260750196,-0.508127407,-0.019322165
17,-0.004849199,0.043083572,-0.039966689,-0.030019214,-0.007937882,0.095780428,0.367245946,0.398997476,0.127705626,0.366033775,-0.005405609,-0.105212085,0.130130226,0.34449199,0.014577736,-0.090202477,0.125281027,0.387575562,-0.025388953,-0.120221691,-0.022407944,0.006532179,0.019117186,-0.034992951,0.099892073,0.26735387,0.51285659,-0.145610644,0.144707962,0.254289514,0.474622214,-0.075624741,0.061150009,0.130410846,0.246869701,-0.055308846
18,0.067522176,0.101011886,0.46712366,0.407531104,0.260797207,0.058411406,0.755240037,-0.287948791,-0.179507009,0.273459115,0.057262071,0.082431448,-0.213268098,0.222953171,-0.176299759,-0.121334104,-0.145745921,0.323965057,0.290823902,0.286197,0.267322919,0.254271495,0.084267031,0.437327382,0.14507798,0.61016206,0.178219134,0.577020901,-0.389567857,0.101619067,0.009685074,-0.297633861,-0.06112247,0.177945281,0.046976052,0.06984676
19,-0.045707722,0.025286625,0.09603898,0.105333006,0.045237722,0.001421428,0.096161156,-0.084789733,-0.438319826,0.056163024,0.348386549,0.039455964,-0.415465964,0.043519712,0.300367059,-0.013210539,-0.461173687,0.068806336,0.39640604,0.092122467,0.025165629,0.065309815,-0.010210549,0.100685993,-0.064767647,0.160928803,-0.392367351,0.488528507,-0.115098905,0.030309172,-0.371946253,0.287156519,-0.044966638,0.047809494,-0.191078401,0.193921256
20,0.231676963,0.334952988,1.079550731,0.996432522,0.660653302,0.705025132,4.141407105,1.498793914,0.442092687,0.894553563,0.977288042,0.506166228,0.326254206,0.727077068,0.437512677,0.007949967,0.557931169,1.062030056,1.517063406,1.004382488,0.655613846,0.665692755,0.283314976,1.037991628,2.07499458,2.066412551,1.619961225,2.521445903,0.763766881,0.735027037,1.053331273,0.445462643,0.709690363,0.700359895,0.668323125,0.741727137
21,0.163488474,0.224919512,0.085047572,0.590824404,0.266069991,0.13892533,1.087841302,0.023561339,0.075559302,0.542294279,-0.208131435,0.145979172,-0.006184935,0.429834522,-0.250655221,-0.149433028,0.157303539,0.654754034,-0.165607649,0.441391374,0.124268023,0.407871957,0.194203993,0.337935987,-0.008304111,1.096145409,0.812057573,0.275783725,-0.256840158,0.280401494,0.423649587,-0.40008825,-0.066286067,0.344136725,0.308926791,-0.031076131
22,0.045792648,0.16971832,0.790966432,0.311141839,0.32940481,0.035685393,0.801551201,-0.516068046,-0.175304017,0.118530695,0.001590091,0.197924803,-0.198200341,0.033671535,-0.393893125,0.042353885,-0.152407693,0.203389854,0.397073309,0.353495724,0.418379541,0.240430079,0.107755484,0.551054138,0.244665617,0.556885579,0.050982162,0.75056903,-0.592093465,0.076025421,-0.164528808,-0.351539239,-0.086856962,0.15822775,-0.028386661,0.099757448
23,-0.01804513,-0.049749676,0.631643624,0.418183979,0.245508199,0.114335092,0.948356766,-0.033676032,-0.073205831,-0.023868248,0.482851828,0.071562619,-0.064183266,0.001006589,0.167030016,-0.137529371,-0.082228396,-0.048743087,0.798673639,0.280654609,0.306799246,0.184217152,-0.033897403,0.524913802,0.716445246,0.231911522,-0.130971482,1.07932825,0.10284675,-0.136522781,-0.063176676,0.029500645,0.204822999,0.023847185,-0.04853704,0.277207222
24,0.232119409,0.017077794,0.224755108,0.208726821,0.170669783,0.114175828,0.798042873,0.115363745,-0.17169981,0.212665694,0.344470891,0.071266536,-0.287759514,0.204126797,0.232093336,-0.033096875,-0.055640106,0.221204591,0.456848444,0.175629946,0.228437257,0.112902307,0.124598601,0.216740964,0.401208337,0.396834538,0.165564485,0.632478387,-0.055666178,0.171029922,-0.083632716,0.198996462,0.08638554,0.141966114,0.020482942,0.207868713
25,0.308874805,0.442045965,0.610498726,0.303313175,0.416183166,-0.008476651,0.798459733,-0.866272938,-0.122862473,0.206407617,0.090122593,-0.20757434,-0.277299876,-0.014615366,-0.21512677,-0.359230927,0.031574929,0.427430599,0.395371957,-0.055917751,0.459686766,0.372679571,0.375460385,0.456905951,0.426946887,0.371512847,0.45900553,0.339454205,-0.492426646,-0.373846293,-0.291915242,-0.574357696,-0.016369941,-0.000583361,0.041772572,-0.058725873
26,-0.125593515,-0.04020536,0.329002585,0.32742637,0.122657519,-0.01517346,0.184621199,-0.306008881,0.190584722,-0.356332071,-0.014112289,0.119165796,0.25338148,-0.336229391,-0.178613581,-0.044547389,0.127787965,-0.376434751,0.150389003,0.282878981,0.101704535,0.143610504,-0.082899438,0.328214477,0.278176967,-0.09355577,-0.248646786,0.433267981,0.0747679,-0.380776779,-0.082847911,-0.223160969,0.088236217,-0.118583137,-0.082873674,0.052526754
27,-0.023166081,0.003529159,0.304842417,0.482424229,0.191907431,0.307508661,1.613849506,0.846219781,0.216209468,0.165185824,0.524478566,0.324160784,0.227792508,0.163421245,0.372057358,0.08294867,0.204626427,0.166950403,0.676899776,0.565372899,0.140838168,0.242976694,-0.009818461,0.393633322,0.881526202,0.732323301,0.37157683,1.242272677,0.599849866,0.246369915,0.391213754,0.455006028,0.370344016,0.244673304,0.190697646,0.424319675
28,0.016354966,-0.143947522,0.58234648,0.331028672,0.196445648,-0.155720918,-0.229992375,-1.015774972,-0.305399111,-0.247691791,-0.111045766,0.041252994,-0.313576594,-0.17571803,-0.402219006,-0.124261342,-0.297221628,-0.319665552,0.180127474,0.20676733,0.299350723,0.093540575,-0.063796278,0.456687576,-0.117094154,-0.112898222,-0.616887177,0.386894805,-0.715795599,-0.29997937,-0.489294622,-0.526480348,-0.208222439,-0.103219398,-0.276545452,-0.034896386
29,-0.074258288,-0.040108077,0.133494241,0.043638197,0.015691518,0.079995505,0.351365058,0.288598986,-0.183320069,-0.039510569,0.117759063,0.425053597,-0.146190925,-0.019456531,0.051011943,0.403234498,-0.220449213,-0.059564608,0.184506184,0.446872695,0.029617977,0.00176506,-0.057183183,0.088566219,-0.035943029,0.387308087,-0.280013822,0.631378879,-0.095178982,0.383777966,-0.165647456,0.45424644,-0.032780503,0.192771513,-0.11141532,0.271406329
