subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,-0.02212071,-0.010507202,0.186398643,0.331619908,0.12134766,0.376850434,1.750097051,1.264706407,0.21764752,0.818080322,0.407074385,0.064599508,0.228707875,0.82333392,0.313875063,-0.101210445,0.206587165,0.812826718,0.500273706,0.230409462,0.082138967,0.160556353,-0.016313956,0.259009275,0.706860874,1.043236177,1.019413883,0.730683168,0.542582939,0.722123474,1.052041792,0.212664618,0.312360951,0.441339914,0.517863918,0.235836947
2,-0.055475359,0.055054469,0.457621863,0.100715531,0.139479126,0.311384251,1.524495254,0.966578753,0.245648669,0.896600148,0.061727246,0.041560945,0.273386347,0.869072911,-0.167083685,-0.00879682,0.217910988,0.92412738,0.290538178,0.091918711,0.201073252,0.077885,-0.000210445,0.279168698,0.508449166,1.016046093,1.142038369,0.382456889,0.106302662,0.860276095,1.142459259,-0.175880506,0.153687957,0.469080545,0.571124406,0.051644095
3,-0.205135145,0.225116883,-0.052587923,0.142311746,0.02742639,0.462751115,1.905857242,1.796151673,0.081914902,1.238662002,0.384663584,0.145763967,0.184482475,1.126103562,0.410957547,0.074608094,-0.02065267,1.351220444,0.358369624,0.21691984,-0.128861534,0.183714315,0.009990869,0.044861911,0.337716953,1.568140286,1.330567775,0.575289462,0.595440023,1.200711657,1.310586038,0.48556564,0.233289243,0.692212984,0.660288453,0.265213776
4,0.208006388,0.097528373,0.573807727,0.319222927,0.299641354,0.135484066,1.141218972,-0.057346441,-0.271950964,0.600814763,0.033965221,0.179107246,-0.375954158,0.552050577,-0.252938643,0.019495783,-0.167947771,0.64957895,0.320869084,0.33871871,0.390907057,0.20837565,0.15276738,0.446515328,0.152921314,0.988297661,0.481631181,0.659587797,-0.628892799,0.571546359,0.176096417,-0.23344286,-0.118992872,0.389961004,0.1644319,0.106536233
5,0.018774568,0.17764861,0.326379816,0.167226509,0.172507376,0.028032362,0.457144202,-0.232885304,0.332922179,-0.089306614,0.190649766,-0.322135883,0.323534895,-0.17813092,0.027459858,-0.405749137,0.342309463,-0.000482311,0.353839675,-0.238522629,0.172577193,0.172437559,0.098211589,0.246803163,0.696149139,-0.23900494,0.341827153,0.115317046,0.350994753,-0.583880058,0.145403974,-0.378289279,0.261785973,-0.205721249,0.121807782,-0.065743058
6,0.22581032,0.096275652,0.485691033,0.342092387,0.287467348,0.545100309,2.755335931,1.605466538,0.663581625,1.466089242,0.020675902,0.030054471,0.550676464,1.41795141,-0.222169614,-0.140991723,0.776486784,1.514227062,0.263521418,0.201100664,0.355750675,0.21918402,0.161042986,0.413891709,1.040008205,1.715327728,2.290713844,0.464622083,0.328506849,1.276959689,1.968627869,-0.363161337,0.342128763,0.748071854,1.064835429,0.025365186
7,-0.071575579,-0.028614948,0.158099819,0.034393529,0.023075705,0.198489055,0.840107628,0.747804809,0.212626762,0.185082049,0.224910381,0.171337025,0.248414552,0.199389524,0.145860472,0.154140261,0.176838972,0.170774576,0.303960292,0.18853379,0.04326212,0.002889291,-0.050095264,0.096246674,0.480799263,0.359308366,0.347613548,0.49249408,0.394275024,0.353529785,0.447804076,0.300000733,0.218768571,0.178209537,0.198854407,0.198123704
8,-0.181912222,0.01744372,0.360103602,0.183959819,0.09489873,0.660537352,2.831946866,2.452351955,0.596665515,1.623461871,0.337940132,0.084081885,0.687621627,1.614740016,0.157888332,-0.007898024,0.505709405,1.632183737,0.517991932,0.176061795,0.089095689,0.10070177,-0.082234251,0.27203171,1.023701343,1.808245537,2.137893147,0.694053726,0.845509959,1.606841994,2.302361633,0.149990307,0.467302823,0.85377188,1.110063694,0.211011009
9,-0.064714947,0.079725898,0.082302299,0.080685968,0.044499805,0.128041624,0.601166107,0.423166884,-0.014726694,0.375649497,-0.113420254,0.264663944,0.017630779,0.33578655,-0.154571404,0.22432096,-0.047084167,0.415512448,-0.072269104,0.305006928,0.008793677,0.080205933,0.007505476,0.081494134,-0.119353273,0.720519374,0.36842828,0.232737823,-0.136940625,0.560107511,0.353417328,0.069749556,-0.064073474,0.320156722,0.180461403,0.075621845
10,-0.063289399,0.007820463,0.089110117,0.220083673,0.063431214,0.102346834,0.536249764,0.282524909,0.083901163,0.234453977,0.075264053,0.015768142,0.115545862,0.230543746,0.030708995,-0.094273695,0.052256463,0.238364209,0.119819112,0.125809979,0.012910359,0.113952068,-0.027734468,0.154596895,0.172075575,0.364174188,0.290620671,0.245629092,0.146254857,0.13627005,0.346089606,-0.0635647,0.079582608,0.12511106,0.159177569,0.045516098
11,-0.065442064,-0.045834018,0.328092899,0.089280701,0.076524379,0.088069045,0.505324934,0.199227422,-0.351506788,0.687002699,-0.290192125,0.306972392,-0.318785758,0.70991971,-0.454238574,0.262332041,-0.384227821,0.664085692,-0.126145675,0.351612742,0.131325417,0.021723341,-0.055638041,0.2086868,-0.510373496,1.015698429,0.279857869,0.225467066,-0.773024332,0.972251753,0.391133952,-0.191906534,-0.320849456,0.496987546,0.167747954,0.008390133
12,0.086737342,-0.014613238,0.213369807,-0.063662197,0.055457928,0.517273637,2.180010407,1.958178687,0.996175776,0.636312759,0.32190385,0.114702164,0.952807105,0.643619377,0.215218947,0.146533262,1.039544447,0.629006139,0.428588754,0.082871065,0.150053574,-0.039137717,0.036062052,0.074853805,1.468133199,0.711877207,1.668550588,0.51145982,1.16802605,0.790152639,1.596426484,0.361752209,0.659039813,0.37550746,0.816244266,0.218303007
13,-0.046179224,0.188106107,0.146943596,-0.08962428,0.04981155,0.585112304,2.440072323,2.24082612,0.798961712,1.261568789,0.201155114,0.078763608,0.822051323,1.167515734,0.127683316,0.123575748,0.775872099,1.355621841,0.274626912,0.033951468,0.050382186,0.049240914,0.070963441,0.028659658,1.050499007,1.38957331,2.131493937,0.30857838,0.949734639,1.291091486,1.989567054,0.251259064,0.500058413,0.670166198,1.03026525,0.139959361
14,-0.113932159,0.065674552,0.060620669,0.002666129,0.003757298,-0.159254692,-0.629504173,-0.644533366,-0.4900139,0.048168664,-0.11184187,-0.083331662,-0.43304782,0.015331386,-0.142152204,-0.084664726,-0.54697998,0.081005939,-0.081531536,-0.081998598,-0.026655745,0.034170341,-0.024128804,0.031643399,-0.628511515,-0.000992658,-0.465974041,-0.163530133,-0.575200025,-0.06933334,-0.417716434,-0.22681693,-0.300927884,-0.0175815,-0.220922619,-0.097586766
15,0.056989457,0.094128865,0.315766152,0.388858149,0.213935656,0.558522097,2.661959696,1.806217073,0.793102345,0.481863097,0.501867931,0.457255016,0.764607614,0.434798664,0.343984855,0.262825941,0.821597071,0.528927529,0.659751007,0.65168409,0.186377805,0.241493507,0.075559161,0.35231215,1.481348073,1.180611618,1.350524601,1.311435099,1.108592466,0.697624605,1.19940628,0.606810796,0.647485139,0.469559056,0.637482722,0.479561474
16,-0.171508217,-0.194400987,0.024574869,-0.00680091,-0.087033811,0.04392386,0.001627817,0.349763061,0.157827452,0.216080833,-0.069704676,-0.128508171,0.243581562,0.313281327,-0.081992111,-0.125107716,0.072073345,0.118880341,-0.057417242,-0.131908626,-0.073466674,-0.100600949,-0.182954602,0.008886979,0.014656103,-0.013028286,0.190953685,-0.189325867,0.161589452,0.188173612,0.556862891,-0.207099827,0.044061388,0.043786331,0.186954144,-0.099106423
17,0.001927583,0.035314459,-0.101843945,-0.188898734,-0.063375159,-0.069845389,-0.406131877,-0.152631237,-0.148098367,-0.053207839,0.059616197,-0.137691548,-0.149062158,-0.070865069,0.11053817,-0.04324218,-0.147134575,-0.03555061,0.008694225,-0.232140914,-0.049958181,-0.076792138,0.018621021,-0.14537134,-0.138440349,-0.267691524,-0.182685185,-0.223446689,-0.038523988,-0.114107249,-0.219927227,0.06729599,-0.044241084,-0.095449693,-0.100653104,-0.039037675
