subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,-0.066992967,0.07478192,0.525487838,0.441408761,0.243671388,0.481771609,2.41442922,1.439743667,0.417916252,0.926112975,0.502542899,0.080514315,0.451412736,0.888722013,0.23979898,-0.140190065,0.384419769,0.963503933,0.765286819,0.301218695,0.229247435,0.258095342,0.003894477,0.4834483,1.149706583,1.264722628,1.347923699,1.066505511,0.691211718,0.748531947,1.340134742,0.099608914,0.460229576,0.503313645,0.672014613,0.291528607
2,-0.168171761,-0.010511978,0.377999799,0.17683443,0.094037623,0.176024963,0.892175096,0.516024607,-0.022136661,0.580180226,0.152550438,-0.00649415,0.061949219,0.585436215,-0.036449461,-0.094911365,-0.106222542,0.574924237,0.341550338,0.081923065,0.104914019,0.083161226,-0.089341869,0.277417114,0.235327796,0.656847301,0.468701694,0.423473403,0.025499758,0.490524852,0.647385435,-0.131360826,0.065206889,0.286843037,0.279021783,0.073028144
3,-0.16288662,0.168499882,0.12408963,0.052273376,0.045494067,0.460439438,1.932745885,1.750769618,0.311140841,1.257727396,0.119037584,0.153851934,0.39258415,1.173477452,0.056992769,0.127715247,0.22969753,1.341977333,0.181082399,0.179988622,-0.019398495,0.110386629,0.002806631,0.088181503,0.410779929,1.521965954,1.571674859,0.36107102,0.449576916,1.301192702,1.5660616,0.184708016,0.215089212,0.705789665,0.784434115,0.136444759
4,0.069380875,0.084314592,0.560165304,0.161732459,0.218898308,-0.081394551,0.112218414,-0.763374814,-0.353387401,0.326198931,-0.090069425,-0.208320308,-0.388077838,0.284041635,-0.370152078,-0.289186537,-0.318696963,0.368356227,0.190013226,-0.127454077,0.31477309,0.123023525,0.076847733,0.360948881,-0.128683737,0.240902149,0.049659263,0.062559151,-0.758229917,-0.005144903,-0.104036203,-0.659338614,-0.221728413,0.058939312,-0.013594235,-0.149194866
5,-0.000338574,0.019504069,0.485620658,0.204924116,0.177427567,0.110361555,0.796301356,0.086591084,0.228441107,-0.150130967,0.327064654,0.036071424,0.228610393,-0.159883001,0.084254325,-0.066390634,0.22827182,-0.140378932,0.569874984,0.138533482,0.242641043,0.112214093,0.009582748,0.345272388,0.798146805,-0.001845449,0.087892888,0.708408468,0.312864719,-0.226273635,0.068727392,0.017863691,0.27775288,-0.057029771,0.03915507,0.181568039
6,-0.173384765,-0.153891219,0.308149533,0.213411364,0.048571228,0.48023651,2.018088492,1.823803586,0.923780808,0.798553499,0.354658534,-0.156046801,1.010473191,0.875499108,0.200583768,-0.262752482,0.837088426,0.721607889,0.508733302,-0.049341119,0.067382384,0.029760072,-0.163637992,0.260780449,1.345821728,0.672266771,1.558696315,0.459392184,1.211056956,0.612746624,1.885972298,-0.062168714,0.639219671,0.321253348,0.861167155,0.099305867
7,-0.297894242,-0.034506409,0.200259113,0.061172092,-0.017742361,0.285888468,1.108069153,1.179038598,0.55174585,0.59387903,-0.11883063,0.116759625,0.700692971,0.611132234,-0.218960186,0.086173579,0.402798729,0.576625825,-0.018701073,0.147345672,-0.048817564,0.013332842,-0.166200325,0.130715603,0.384097656,0.723971496,0.979424558,0.128644599,0.481732785,0.697305811,1.311825204,-0.132786607,0.216457609,0.355319327,0.57281244,-0.001035502
8,-0.132779695,-0.061508989,0.330321022,0.128177891,0.066052557,0.299494481,1.330083035,1.06587281,0.294163431,0.830184004,0.256961241,-0.183330749,0.360553277,0.860938497,0.09180073,-0.247419694,0.227773582,0.799429508,0.422121752,-0.119241803,0.098770664,0.033334451,-0.097144342,0.229249457,0.649895333,0.680187705,1.027203088,0.30287995,0.452354007,0.613518803,1.22149177,-0.155618965,0.275562335,0.323426627,0.562173718,0.036815246
9,-0.0705943,0.093628585,0.217656609,0.170762176,0.102863268,0.325705387,1.508548079,1.097095014,0.251607493,0.475808892,0.220141727,0.355263436,0.286904643,0.428994599,0.111313423,0.269882348,0.216310343,0.522623184,0.328970032,0.440644523,0.073531155,0.13219538,0.011517143,0.194209393,0.545280378,0.963267708,0.738933525,0.769614554,0.398218065,0.698876946,0.71589924,0.38119577,0.23587461,0.415536163,0.363708192,0.287702582
10,0.009547961,-0.007545001,0.40873488,0.350615999,0.19033846,0.793195271,3.553458002,2.792104179,1.148412566,1.412535083,0.238071625,0.373761809,1.14363859,1.416307586,0.033704184,0.198453809,1.153186551,1.408762585,0.442439064,0.549069809,0.20914142,0.171535499,0.00100148,0.37967544,1.595625616,1.957832393,2.561949148,0.991508873,1.177342773,1.614761401,2.559946172,0.232157993,0.693242097,0.893148446,1.280473831,0.305916716
11,-0.11267053,0.104893399,0.377775469,0.190408436,0.140101693,0.26795754,1.352033553,0.791626776,0.111660447,1.033427071,-0.039230486,-0.034026868,0.167995712,0.98098037,-0.228118221,-0.129231086,0.055325182,1.085873769,0.149657248,0.06117735,0.13255247,0.147650917,-0.003888565,0.284091952,0.20498243,1.147051122,1.14119895,0.210834599,-0.060122509,0.851749284,1.148976081,-0.357349307,0.03621498,0.4997001,0.572543759,-0.036628677
12,0.045369799,0.013544899,0.957557474,0.285102918,0.325393773,0.774774742,3.749886518,2.448311424,1.152971243,0.723418845,0.903334691,0.319374186,1.130286347,0.716646396,0.424555953,0.176822729,1.175656146,0.730191294,1.382113428,0.461925647,0.501463637,0.149323909,0.029457349,0.621330196,2.557769572,1.192116944,1.905847437,1.844039078,1.5548423,0.893469125,1.846932746,0.601378681,1.028152972,0.521396515,0.938195046,0.61135444
13,-0.095610286,0.055715651,0.042556996,-0.090611292,-0.021987233,0.156972586,0.583915878,0.671864807,0.296127867,0.114291524,0.097054631,0.120416318,0.34393301,0.086433701,0.075776134,0.165721964,0.248322724,0.142149352,0.118333129,0.075110672,-0.026526645,-0.01744782,-0.019947317,-0.024027148,0.366655854,0.217260024,0.390472073,0.193443801,0.419709143,0.252155665,0.43036671,0.241498097,0.19659125,0.117353922,0.205209697,0.108735474
14,-0.111175732,0.058883864,0.233437848,0.207644644,0.097197656,0.121376622,0.679901803,0.291111177,0.12228006,0.342141134,0.181351921,-0.160266625,0.177867925,0.312699201,0.064632997,-0.264088946,0.066692193,0.371583066,0.298070845,-0.056444302,0.061131058,0.133264254,-0.026145934,0.220541246,0.364763038,0.315138763,0.438275258,0.241626541,0.242500921,0.048610255,0.490567128,-0.19945595,0.15181599,0.090937255,0.232210596,0.010542648
15,-0.29408842,-0.083094913,0.147295368,0.15853955,-0.017837104,0.405276543,1.585431961,1.656780376,0.579658389,0.636831171,0.196508028,0.208108581,0.726702601,0.678378625,0.122860345,0.128838806,0.432614181,0.595283712,0.270155713,0.287378356,-0.073396526,0.037722318,-0.188591667,0.152917459,0.702769893,0.882662064,1.02789789,0.557534072,0.849562945,0.807217431,1.405081228,0.251699151,0.388083209,0.422469874,0.60824478,0.202308305
16,0.000401748,0.00215231,-0.00063479,-0.004665448,-0.000686545,-0.003334524,-0.014711187,-0.011965007,0.000170399,0.001292952,-0.014800759,-6.89E-07,-3.05E-05,0.000216797,-0.014483364,0.002332035,0.000371273,0.002369107,-0.015118153,-0.002333413,-0.000116521,-0.001256569,0.001277029,-0.002650119,-0.014746881,3.57E-05,0.00274038,-0.017451567,-0.014513839,0.002548832,0.000186322,-0.012151329,-0.00731518,0.000646131,0.000731675,-0.007400724
17,0.027334182,0.057524778,0.022647786,-0.108241773,-0.000183757,-0.19778877,-0.791522593,-0.790787566,0.165763979,-0.412926022,0.015654892,-0.55964793,0.152096888,-0.441688412,0.004330999,-0.505527042,0.17943107,-0.384163633,0.026978785,-0.613768815,0.024990984,-0.025358497,0.04242948,-0.042796993,0.206409856,-0.997932451,-0.204732563,-0.58679003,0.156427888,-0.947215453,-0.289591523,-0.501196042,0.090709436,-0.486286975,-0.123581022,-0.271996518
