subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,-0.068252962,0.048786016,0.866294061,0.83930294,0.421532515,0.711108378,3.687498536,2.001368494,0.945580776,1.048841273,1.059472438,-0.209460969,0.979707256,1.024448262,0.626325411,-0.629112439,0.911454295,1.073234279,1.492619471,0.2101905,0.399020549,0.444044478,-0.009733473,0.852798498,2.404073769,1.283424777,1.984688571,1.702809975,1.606032664,0.395335823,2.004155523,-0.002787028,1.002526609,0.419690151,0.997211023,0.425005735
2,0.228177177,0.280415579,1.184501745,0.812245548,0.626335014,1.229826771,6.171977126,3.666637067,1.11942241,1.744759903,1.389056566,0.666068198,1.005333819,1.604552118,0.796805702,0.259945427,1.233510996,1.884967697,1.981307447,1.072190974,0.706339461,0.546330564,0.254296378,0.998373645,3.214818443,2.957158673,3.118478691,3.053498414,1.802139521,1.864497543,2.609885931,1.056751128,1.25423949,1.205414053,1.432091157,1.027562384
3,0.068974596,0.510028252,0.557089289,0.541404942,0.41937427,0.846133514,4.223282607,2.545785513,0.708226409,1.743730982,0.70559816,0.226978503,0.673739108,1.488716859,0.427053514,-0.043723969,0.742713704,1.998745112,0.984142803,0.497680973,0.313031942,0.525716597,0.289501424,0.549247116,1.726856506,2.496426086,2.74145882,1.481823777,1.100792623,1.444992892,2.162455973,0.383329544,0.706912282,0.985354744,1.225978699,0.466288329
4,0.302714075,6.26E-05,1.361914032,0.763606478,0.607074296,0.291674259,2.380845634,-0.047451555,-0.398422238,0.656780271,0.538223603,0.370115397,-0.549779273,0.656748976,-0.142733416,-0.011687844,-0.247065198,0.65681157,1.21918062,0.751918636,0.832314054,0.381834537,0.151388335,1.062760257,0.972115424,1.408730208,0.409746372,1.971099255,-0.692512688,0.645061131,0.106969703,-0.154421259,0.069900684,0.513447835,0.129179018,0.4541695
5,0.163947028,0.259751417,0.972895526,0.548919157,0.486378281,0.344289829,2.349915887,0.404402756,1.02486098,-0.146146376,0.890537786,-0.392093073,0.942887467,-0.276022082,0.404090022,-0.666552651,1.106834496,-0.016270665,1.37698555,-0.117633494,0.568421278,0.404335288,0.211849223,0.760907342,2.483820052,-0.133904158,1.09056383,1.259352059,1.346977488,-0.942574731,0.666865384,-0.262462628,0.957699384,-0.269119725,0.439357303,0.249222355
6,-0.027634417,-0.214641335,0.451113278,0.266102833,0.11873509,0.594890821,2.617033476,2.142093102,1.10572189,0.696313179,0.656786026,-0.079257808,1.119539099,0.803633845,0.431229386,-0.212309225,1.091904683,0.588992511,0.882342664,0.053793609,0.211739431,0.025730749,-0.121137875,0.358608058,1.974247339,0.64278612,1.680897195,0.936136271,1.550768484,0.591324621,1.923172942,0.218920161,0.881253957,0.308527686,0.901017537,0.288764108
7,-0.100228647,-0.082161922,0.23085307,0.16264644,0.052777235,0.083931485,0.441280413,0.23017147,0.24531692,0.127430119,-0.021634181,-0.015386916,0.295431244,0.168511079,-0.137060716,-0.096710136,0.195202597,0.086349157,0.093792354,0.065936304,0.065312211,0.040242258,-0.091195284,0.196749755,0.28899495,0.152285463,0.281551754,0.159728658,0.158370527,0.071800944,0.463942323,-0.233770852,0.11184137,0.056021601,0.186373519,-0.018510549
8,-0.039651031,0.020001545,0.850429855,0.442423193,0.31830089,0.291606752,1.803028784,0.529825229,0.514424612,0.188971064,0.463133582,-0.000102247,0.534250129,0.178970292,0.037918654,-0.221313845,0.494599098,0.198971837,0.888348509,0.221109349,0.405389413,0.231212369,-0.009824743,0.646426523,1.382947609,0.420081183,0.693570931,1.109457858,0.572168784,-0.042343552,0.71322042,-0.183395192,0.488779097,0.094434408,0.351697839,0.231515667
9,0.057038538,0.222960511,0.627810266,0.435136383,0.335736424,0.373785467,2.166614721,0.823669025,0.479454237,0.281729412,0.367520715,0.366437512,0.450934971,0.170249157,0.053615581,0.148869318,0.507973509,0.393209668,0.681425848,0.584005702,0.342424402,0.329048448,0.139999524,0.531473326,1.189399356,0.977215372,0.901183181,1.265431551,0.504550551,0.319118475,0.621184126,0.202484899,0.423487475,0.324083463,0.380591827,0.366979112
10,0.428952172,0.224652886,1.456819788,1.32835559,0.859695108,1.623372552,8.212880432,4.774099981,2.46681885,1.932579606,1.460226263,0.633865496,2.252342767,1.820253153,0.731816369,-0.030312301,2.681294939,2.044906039,2.188636155,1.298043291,0.94288598,0.776504239,0.326802529,1.392587688,4.869931099,3.342949338,4.726200978,3.48667944,2.984159137,1.789940853,4.072595921,0.701504066,1.963522554,1.283222543,2.199699227,1.047045882
