subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36,hemisphere
1,0.072591494,0.174883374,0.615984858,0.460801101,0.331065207,0.23785789,1.613561974,0.289301145,0.177075115,0.473434611,0.367703031,-0.066781195,0.140779367,0.385992921,0.059710603,-0.297181747,0.21337086,0.560876295,0.675695461,0.163619356,0.344288177,0.317842238,0.123737434,0.538392982,0.889066321,0.72449565,0.774247156,0.839314817,0.200489971,0.088811175,0.526772285,-0.237471145,0.272389073,0.203326707,0.325254861,0.150460918,left
2,-0.129271378,0.146018005,0.594416291,0.350916052,0.240519743,0.481761784,2.408086617,1.446007656,0.324242362,1.168136072,0.354406097,0.08026261,0.388878051,1.095127071,0.057197951,-0.095195417,0.259606672,1.241145076,0.651614241,0.255720636,0.232572456,0.248467028,0.008373313,0.472666172,0.911220912,1.496865709,1.500751747,0.907334877,0.446076002,0.999931656,1.484005125,-0.037997466,0.339324229,0.624199341,0.74618922,0.217334353,left
3,-0.095604655,0.344563721,0.278988739,0.254013205,0.195490252,0.717521394,3.261066073,2.479105065,0.546675049,1.802864018,0.307280347,0.213266151,0.594477377,1.630582159,0.167785978,0.086259549,0.498872721,1.975145881,0.446774717,0.340272753,0.091692042,0.299288463,0.124479533,0.266500972,0.945647436,2.315418635,2.474018603,0.787047468,0.762263354,1.716841702,2.225059533,0.254045527,0.426977698,1.008065083,1.174769533,0.260273249,left
4,0.129167366,0.122302518,0.765061277,0.41010704,0.35665955,0.245202669,1.694129775,0.267491578,-0.029236411,0.603591279,0.313237212,0.093218602,-0.093820094,0.54244002,-0.069293427,-0.111834919,0.035347272,0.664742538,0.69576785,0.298272121,0.447114322,0.266204779,0.125734942,0.587584159,0.731115123,0.963014659,0.700089809,0.99403997,-0.163113521,0.430605102,0.448619927,-0.181128346,0.142000401,0.348404941,0.287177435,0.203227906,left
5,-0.000958788,0.155011979,0.608391883,0.327420157,0.272466308,0.086126415,0.889438273,-0.200426955,0.286523498,-0.129931684,0.265878352,-0.077964506,0.287002893,-0.207437675,-0.038317589,-0.241674585,0.286044105,-0.052425695,0.570074294,0.085745571,0.303716548,0.241216068,0.077026596,0.46790602,0.8561184,0.033319876,0.23361841,0.655819866,0.248685304,-0.449112261,0.079565218,-0.279992174,0.276200926,-0.103948096,0.078295908,0.093956923,left
6,-0.148276689,-0.168079497,0.415982535,0.258193606,0.089454989,0.538281794,2.33203715,1.974217192,0.817647343,0.745274564,0.519029395,0.071175871,0.89178569,0.829314309,0.311038129,-0.057920932,0.743509001,0.661234812,0.727020664,0.200272674,0.133852923,0.045057055,-0.158178093,0.33708807,1.470529663,0.861507488,1.404743815,0.92729334,1.202823817,0.771393378,1.721099997,0.253117196,0.668338372,0.408225215,0.781460953,0.295102633,left
7,-0.148843504,0.029718372,0.32281699,0.177556661,0.09531213,0.334475819,1.528527537,1.147279015,0.546336699,0.407051446,0.177612865,0.206902267,0.620758452,0.39219226,0.01620437,0.118123936,0.471914948,0.421910632,0.339021361,0.295680597,0.086986744,0.103637517,-0.059562566,0.250186826,0.81093631,0.717591227,0.893825584,0.634701957,0.636962822,0.510316195,1.012950714,0.134328306,0.361974782,0.306976856,0.476694074,0.192257566,left
8,-0.092411943,0.00283294,0.520535533,0.262984727,0.173485315,0.519757837,2.426001974,1.732060712,0.635052765,0.864599449,0.46905814,0.110320988,0.681258736,0.863182981,0.208790373,-0.021171374,0.588846793,0.866015921,0.729325906,0.241813352,0.214061796,0.132908833,-0.044789501,0.39176013,1.318172697,1.107829275,1.454862719,0.971139259,0.890049109,0.842011606,1.544441712,0.187618999,0.552055453,0.48746022,0.749826107,0.289689563,left
9,-0.117643811,0.043242563,0.215205908,0.168430209,0.077308717,0.380321489,1.675903394,1.366668524,0.52086087,0.503758212,0.205623053,0.291043823,0.579682776,0.482136931,0.0980201,0.206828718,0.462038965,0.525379493,0.313226008,0.375258928,0.048781048,0.105836386,-0.037200624,0.191818058,0.775264974,0.900638422,0.987418459,0.688484935,0.677702877,0.688965649,1.06181971,0.304848819,0.363241962,0.397401018,0.51230954,0.248333439,left
10,0.086972176,0.107958103,0.576258885,0.548424308,0.329903368,0.914966925,4.319674431,3.000060953,1.317590532,1.403416048,0.623782576,0.315078542,1.274104442,1.349436996,0.335653133,0.040866389,1.361076619,1.457395099,0.911912018,0.589290696,0.33161553,0.328191205,0.09746514,0.562341595,2.272988638,2.046685797,2.818471724,1.501202714,1.609757577,1.390303384,2.623541444,0.376519522,0.970686556,0.859247296,1.360503291,0.469430559,left
11,-0.144026347,0.049699226,0.334079369,0.08619455,0.0814867,0.437907961,1.914605241,1.588658448,0.294558415,1.218226685,0.02706233,0.211784422,0.366571588,1.193377069,-0.139977354,0.168687146,0.222545241,1.243076295,0.194102015,0.254881696,0.095026511,0.067946888,-0.04716356,0.21013696,0.416647258,1.497957988,1.465621537,0.448983711,0.226594234,1.362064218,1.559948657,0.028709793,0.160810373,0.715005553,0.75639255,0.119423376,left
12,0.030137735,-0.010640665,0.331857048,-0.004320483,0.086758408,0.377300003,1.68271683,1.335683197,0.69056876,0.50087222,0.357008932,-0.039249901,0.675499892,0.506192554,0.191080409,-0.037089659,0.705637627,0.495551889,0.522937456,-0.041410142,0.180997391,-0.007480574,0.009748535,0.163768282,1.228575086,0.454141748,1.201189519,0.481527314,0.8665803,0.469102894,1.181692447,0.15399075,0.523788845,0.23081116,0.595720489,0.158879516,left
13,0.013315144,0.09938146,0.179195601,-0.049952551,0.060484914,0.446465674,1.906832515,1.664892863,0.715125429,0.32534766,0.335997612,0.409391994,0.708467856,0.27565693,0.246399811,0.434368269,0.721783,0.375038389,0.425595412,0.384415718,0.096255372,0.024714455,0.056348302,0.064621525,1.147378409,0.759454109,1.096821388,0.810011129,0.954867667,0.710025199,0.984124789,0.680768079,0.525561519,0.367369827,0.520236543,0.372694802,left
