subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,0.050731724,0.026599387,0.071834314,0.036594031,0.046439864,-0.092070765,-0.275403333,-0.46116279,0.254569341,-0.192191175,-0.12083237,-0.309828856,0.229203479,-0.205490869,-0.156749528,-0.328125871,0.279935203,-0.178891482,-0.084915214,-0.29153184,0.061283019,0.031596709,0.038665556,0.054214173,0.19501999,-0.470423321,0.101043721,-0.376447054,0.072453951,-0.533616741,0.023712611,-0.484875401,0.066868485,-0.251010016,0.031189083,-0.215330614
2,0.146395257,-0.09823659,0.181462261,0.180566112,0.10254676,-0.024389959,0.107533685,-0.302653354,0.031731051,-0.332262792,0.216113862,-0.013141957,-0.041466576,-0.283144497,0.125382732,-0.103425012,0.104928681,-0.381381087,0.306844993,0.077141099,0.163928759,0.041164761,0.024079334,0.181014185,0.411773673,-0.304239988,-0.276452404,0.383986091,0.083916156,-0.386569508,-0.324611073,0.02195772,0.123922457,-0.172702374,-0.15026587,0.101485953
3,0.085468949,0.073170829,0.018073502,0.164898986,0.085403067,-0.356914056,-1.256850092,-1.598462351,-0.422074714,-0.478454713,-0.208251185,-0.318875612,-0.464809189,-0.515040129,-0.217287935,-0.401325104,-0.37934024,-0.441869299,-0.199214434,-0.236426119,0.051771226,0.119034907,0.07931989,0.091486244,-0.578554672,-0.678295418,-0.82120954,-0.435640554,-0.682097124,-0.916365235,-0.979849322,-0.618613038,-0.315162949,-0.398665164,-0.450264714,-0.263563399
4,0.276302538,-0.029835492,-0.213640876,-0.291684087,-0.064714479,-0.177192271,-0.838198043,-0.579340128,-0.257042307,-0.257503705,-0.172543597,-0.021679476,-0.395193577,-0.242585959,-0.06572316,0.124162567,-0.118891039,-0.272421451,-0.279364034,-0.167521519,0.031330832,-0.16075979,0.123233524,-0.25266248,-0.398255074,-0.439942971,-0.391312488,-0.446885554,-0.460916736,-0.118423392,-0.637779536,0.058439407,-0.214792953,-0.13959159,-0.257273007,-0.097111536
5,-0.129988859,-0.091895618,-0.201302776,0.049967482,-0.093304943,-0.225809465,-1.089847743,-0.716627976,0.157778975,-0.331190259,-0.292880514,-0.436946059,0.222773404,-0.28524245,-0.192229127,-0.461929801,0.092784545,-0.377138068,-0.393531902,-0.411962319,-0.165645817,-0.020964068,-0.110942238,-0.075667647,-0.300747357,-0.789100387,-0.284353523,-0.805494223,0.030544278,-0.747172253,-0.062469045,-0.654158928,-0.06755077,-0.38406816,-0.086705642,-0.364913288
6,0.089667521,-0.095804438,0.059831592,-0.016420085,0.009318648,0.191551981,0.784845218,0.747570623,0.359006566,0.081962015,0.213934558,0.111304782,0.314172804,0.129864234,0.184018762,0.119514825,0.403840326,0.034059796,0.243850354,0.10309474,0.074749557,-0.056112261,-0.003068458,0.021705754,0.647690681,0.137154535,0.437900121,0.346945094,0.498191567,0.249379058,0.444037038,0.303533587,0.286470562,0.096633399,0.220484289,0.16261967
7,-0.066679044,-0.023143123,-0.167699918,-0.126417813,-0.095984974,-0.103607527,-0.606400058,-0.222460158,0.060369407,-0.21431175,-0.150865521,-0.109622244,0.09370893,-0.202740189,-0.067015562,-0.046413337,0.027029886,-0.225883312,-0.23471548,-0.17283115,-0.117189481,-0.074780468,-0.044911083,-0.147058866,-0.207685594,-0.398714463,-0.198853426,-0.40754663,0.026693368,-0.249153527,-0.109031259,-0.113428899,-0.045248057,-0.161966997,-0.076971171,-0.130243882
8,7.70E-05,-0.101876457,0.032013086,-0.071647685,-0.035358515,-0.14016167,-0.631363711,-0.489929651,-0.098751544,-0.073474155,-0.113312385,-0.275108597,-0.098790043,-0.022535926,-0.129318928,-0.239284755,-0.098713045,-0.124412384,-0.097305842,-0.310932439,0.016045042,-0.086762071,-0.05089973,-0.019817299,-0.196018888,-0.435344825,-0.223125428,-0.40823828,-0.228108971,-0.26182068,-0.121325969,-0.368603682,-0.106031965,-0.174291376,-0.08611285,-0.194210491
9,-0.00688008,-0.065918063,-0.222257548,-0.18565921,-0.120178725,-0.008841726,-0.275724353,0.204990546,-0.04440653,0.024859775,-0.089112989,0.07329284,-0.04096649,0.057818806,0.022015784,0.166122445,-0.04784657,-0.008099256,-0.200241763,-0.019536765,-0.114568813,-0.125788636,-0.036399071,-0.203958379,-0.248088333,-0.027636021,-0.055945826,-0.219778529,-0.018950706,0.223941251,0.016852317,0.188138228,-0.06675976,0.049076308,-0.009773377,-0.007910075
10,0.263254895,-0.012306386,0.006124858,-0.119657573,0.034353948,0.088969601,0.424586301,0.287170508,0.507539281,0.148131392,-0.100705114,-0.199087151,0.375911832,0.154284585,-0.103767544,-0.139258365,0.639166726,0.141978198,-0.097642686,-0.258915938,0.134689876,-0.06598198,0.125474254,-0.056766357,0.54152404,-0.11693774,0.781144925,-0.356558622,0.272144289,0.015026219,0.530196415,-0.243025908,0.203417082,-0.02547788,0.327835335,-0.149896133
11,0.11699385,0.060027805,-0.092840304,-0.323740207,-0.059889714,-0.153538229,-0.733932345,-0.494373488,-0.347663479,-0.321063064,0.256836301,-0.202262675,-0.406160405,-0.351076966,0.303256452,-0.040392571,-0.289166554,-0.291049161,0.210416149,-0.364132777,0.012076773,-0.131856201,0.088510828,-0.208290255,-0.078750404,-0.655181937,-0.580215716,-0.153716628,-0.102903952,-0.391469537,-0.75723737,0.262863882,-0.04541359,-0.261662869,-0.334363272,0.027286813
12,0.347614694,-0.001736417,0.07322419,0.083391562,0.125623507,0.407244867,1.88022649,1.377732451,0.77250171,0.296134327,0.482506478,0.077836951,0.598694363,0.297002536,0.445894384,0.036141169,0.946309057,0.29526612,0.519118574,0.119532732,0.210419442,0.040827573,0.172939138,0.078307876,1.465427626,0.414798852,1.241575174,0.638651305,1.044588744,0.333143704,0.895696898,0.482035552,0.627504095,0.186985639,0.534318019,0.280171714
13,-0.062117275,0.020478535,-0.027803194,-0.040664586,-0.02752663,-0.095130031,-0.435573386,-0.325466865,-0.254617156,0.021998496,-0.136629524,-0.01127194,-0.223558519,0.011759228,-0.122727927,0.009060353,-0.285675793,0.032237763,-0.150531122,-0.031604233,-0.044960235,-0.010093026,-0.02081937,-0.03423389,-0.436206917,0.000633531,-0.25343803,-0.182135355,-0.346286446,0.020819582,-0.211799292,-0.113667574,-0.19562334,0.005363278,-0.11630933,-0.073950732
14,-0.092495265,-0.03299892,-0.333330249,-0.574138834,-0.258240817,-0.171355087,-1.201901985,-0.168938719,-0.125255697,0.013700522,-0.193630075,-0.3802351,-0.079008065,0.030199982,-0.026964951,-0.093165684,-0.171503329,-0.002798938,-0.3602952,-0.667304517,-0.212912757,-0.303568876,-0.062747092,-0.453734541,-0.531798532,-0.670103454,-0.174302268,-1.027599718,-0.105973017,-0.062965702,-0.048808083,-0.120130635,-0.159442887,-0.183267289,-0.055777588,-0.286932588
15,-0.054223218,-0.025796303,-0.45542811,-0.401785587,-0.234308304,-0.326119963,-1.773096472,-0.835863243,-0.13237243,-0.431934083,-0.48079363,-0.259379713,-0.105260824,-0.419035931,-0.253079573,-0.058486918,-0.159484041,-0.444832233,-0.708507683,-0.460272505,-0.254825665,-0.213790944,-0.04000976,-0.428606848,-0.867991723,-0.905104742,-0.604316277,-1.16878019,-0.358340398,-0.477522848,-0.524296758,-0.311566491,-0.306583032,-0.345656897,-0.282153258,-0.37008667
16,0.097538039,-0.028244725,-0.017959264,-0.14679104,-0.023864248,-0.26022874,-1.088643451,-0.993186459,-0.343566812,-0.337217521,-0.048717447,-0.311413178,-0.392335832,-0.323095158,-0.039737815,-0.238017657,-0.294797793,-0.351339882,-0.05769708,-0.384808697,0.039789387,-0.087517882,0.034646657,-0.082375152,-0.352494873,-0.73614858,-0.646137674,-0.442505777,-0.432073648,-0.561112814,-0.715430989,-0.277755473,-0.19614213,-0.324315348,-0.340392166,-0.180065312
17,-0.049596939,0.058165209,-0.102756766,-0.08742627,-0.045403691,-0.217656784,-0.961434513,-0.779819749,-0.320633655,-0.226345653,0.018571528,-0.342219355,-0.295835185,-0.255428257,0.069949911,-0.29850622,-0.345432124,-0.197263048,-0.032806855,-0.38593249,-0.076176853,-0.014630531,0.004284135,-0.095091518,-0.378238979,-0.583195538,-0.542695172,-0.418739345,-0.225885274,-0.553934476,-0.551263442,-0.228556309,-0.151031063,-0.284282504,-0.273489653,-0.161823914
18,0.020925751,-0.225824848,-0.128179563,0.010135373,-0.080735822,-0.068141385,-0.434037187,-0.111093896,-0.08898775,-0.132818705,-0.070963428,0.020204342,-0.099450625,-0.019906281,-0.006873646,0.015136656,-0.078524874,-0.245731129,-0.135053209,0.025272028,-0.053626906,-0.107844738,-0.102449549,-0.059022096,-0.213578083,-0.220459101,-0.324256002,-0.109781181,-0.106324272,-0.004769625,-0.119356907,0.00826301,-0.079975588,-0.056307182,-0.110903227,-0.025379543
19,0.128641397,0.14665991,-0.103954638,-0.161263152,0.002520879,-0.151977941,-0.602870007,-0.612953525,-0.225093555,-0.131959339,-0.059145412,-0.191713461,-0.289414254,-0.205289293,-0.007168092,-0.111081886,-0.160772857,-0.058629383,-0.11112273,-0.272345037,0.01234338,-0.007301621,0.137650654,-0.132608894,-0.271895587,-0.33097442,-0.21940224,-0.383467767,-0.296582346,-0.316371177,-0.494703547,-0.118249978,-0.142119483,-0.161836399,-0.178526447,-0.125429436
20,0.270502993,0.128877656,-0.131680391,0.03859999,0.076575062,0.089422402,0.510839737,0.20453949,-0.036569485,-0.074075603,0.154409024,0.313925677,-0.171820981,-0.138514431,0.220249219,0.294625682,0.098682011,-0.009636775,0.088568828,0.333225673,0.069411301,0.083738823,0.199690325,-0.0465402,0.18725084,0.323588897,0.089045237,0.4217945,0.048428237,0.156111251,-0.310335412,0.514874902,0.058919769,0.119925038,-0.055322544,0.23416735
21,0.229850288,0.186649968,-0.01156821,0.101674647,0.126651674,0.128198942,0.766099117,0.259492424,0.045425627,0.210170314,-0.045087526,0.302287355,-0.069499517,0.11684533,-0.03930342,0.251450032,0.160350771,0.303495297,-0.05087163,0.353124679,0.109141039,0.144162307,0.208250128,0.045053219,0.109479141,0.656619976,0.463846068,0.302253048,-0.108802938,0.368295363,0.047345812,0.212146612,0.000169051,0.256228835,0.12779797,0.128599915
22,0.162628858,-0.036980005,-0.258576073,-0.139047988,-0.067993802,-0.259975173,-1.175888296,-0.903913087,-0.290529136,-0.300202395,-0.036452284,-0.412716877,-0.371843565,-0.281712392,0.092835752,-0.343192885,-0.209214706,-0.318692397,-0.165740321,-0.482240873,-0.047973607,-0.088013997,0.062824426,-0.19881203,-0.374955027,-0.800933269,-0.527907101,-0.647981195,-0.279007813,-0.624905277,-0.653555955,-0.250357133,-0.16349071,-0.356459637,-0.295365765,-0.224584582
23,0.149469106,-0.041106535,-0.19713355,-0.093831198,-0.045650544,-0.116634229,-0.557838004,-0.37523583,-0.245358385,-0.15615674,0.127608098,-0.192629893,-0.320092938,-0.135603472,0.226174873,-0.145714294,-0.170623832,-0.176710006,0.029041323,-0.239545492,-0.023832222,-0.067468867,0.054181285,-0.145482374,-0.141582508,-0.416255499,-0.347333839,-0.210504169,-0.093918065,-0.281317767,-0.45569641,0.080460579,-0.058875143,-0.174393316,-0.200757561,-0.032510897
24,-0.0373982,0.033016583,-0.191408134,-0.201759167,-0.099387229,-0.219607029,-1.077202574,-0.679653659,-0.104830435,-0.044106837,-0.401959411,-0.327531433,-0.086131335,-0.060615128,-0.306255345,-0.22665185,-0.123529535,-0.027598546,-0.497663479,-0.428411017,-0.114403167,-0.084371292,-0.002190809,-0.19658365,-0.621193014,-0.456009563,-0.15112808,-0.926074495,-0.392386679,-0.28726698,-0.146746463,-0.532907196,-0.253394924,-0.185819135,-0.074468636,-0.364745423
25,0.170903601,0.06097028,-0.165700767,0.036546261,0.025679844,-0.272240093,-1.03760068,-1.140320057,-0.165610475,-0.318681203,-0.30439523,-0.300273461,-0.251062275,-0.349166342,-0.221544847,-0.318546592,-0.080158674,-0.288196062,-0.387245614,-0.282000331,0.002601417,0.04875827,0.115936941,-0.064577253,-0.467404289,-0.570196394,-0.368354734,-0.669245945,-0.472607123,-0.667712931,-0.600228615,-0.540091438,-0.235002852,-0.309477331,-0.242145839,-0.302334345
26,-0.025909628,-0.032433589,0.044427166,0.163524756,0.037402176,0.080177486,0.395514298,0.245905594,0.061109216,0.080999285,0.096709823,0.08189162,0.07406403,0.09721608,0.074496241,0.000129242,0.048154402,0.064782491,0.118923406,0.163653998,0.009258769,0.065545583,-0.029171609,0.103975961,0.167077808,0.228436489,0.112936894,0.282577403,0.148560271,0.097345322,0.171280109,0.074625484,0.078909521,0.081445453,0.071054251,0.089300722
