subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,0.012250246,0.185074886,-0.039319411,-0.122698233,0.008826873,-0.248825059,-0.977646492,-1.01295398,0.403582346,-0.417502845,-0.109919899,-0.87145984,0.397457223,-0.510040289,-0.090260192,-0.810110723,0.40970747,-0.324965402,-0.129579603,-0.932808956,-0.013534582,0.031188327,0.098662566,-0.081008822,0.280127866,-1.257774358,0.084742066,-1.062388559,0.307197031,-1.320151014,-0.112583065,-0.900370917,0.146831225,-0.644481342,-0.006960249,-0.490689867
2,0.358982602,0.15919189,0.719131994,0.688124431,0.481357729,0.593928193,3.338428235,1.412997315,0.744385204,0.096408542,1.100500198,0.434418829,0.564893903,0.016812597,0.740934203,0.090356615,0.923876505,0.176004487,1.460066196,0.778481043,0.539057299,0.42365816,0.259087247,0.703628214,2.383942691,0.954485533,1.099880989,2.23854724,1.305828106,0.107169211,0.581706499,0.831290818,0.922442704,0.265413686,0.420396873,0.767459515
3,0.452042849,0.375946571,0.186398936,0.465683649,0.370018003,-0.192566414,-0.030229652,-1.510301664,-0.563663868,-0.109871408,0.049762125,-0.146492504,-0.789685293,-0.297844695,-0.043437344,-0.37933433,-0.337642444,0.078101877,0.142961593,0.086349321,0.319220893,0.42081511,0.413994709,0.326041294,-0.194680853,0.164451197,-0.259540567,0.229310914,-0.833122634,-0.677179026,-1.087529989,-0.422771674,-0.256950873,-0.128181956,-0.336767639,-0.048365189
4,0.329291428,0.043227923,0.20157558,-0.150563471,0.105882865,-0.135510167,-0.330274941,-0.753806399,0.362719066,-0.300702517,-0.262032831,-0.342024387,0.198073352,-0.322316478,-0.362820621,-0.266742652,0.52736478,-0.279088555,-0.161245041,-0.417306123,0.265433504,-0.053667774,0.186259676,0.025506054,0.36611974,-0.69639468,0.248276226,-0.578551165,-0.164747269,-0.589059129,-0.124243125,-0.629563273,0.050343118,-0.321363452,0.031008275,-0.302028609
5,0.001316356,0.00612319,0.297291314,0.524231809,0.207240668,0.04395134,0.590286692,-0.238675975,1.524176387,-0.878534624,0.365004841,-0.834841242,1.52351821,-0.881596221,0.216359183,-1.096957147,1.524834566,-0.875473031,0.513650496,-0.572725338,0.149303835,0.2651775,0.003719773,0.410761562,2.038485059,-1.44819837,0.649361535,-0.059074844,1.739877395,-1.978553358,0.64192199,-0.880597963,0.944590612,-0.856687934,0.322820881,-0.234918201
6,0.177751362,-0.002634615,0.139017153,-0.259608948,0.013631238,0.375052514,1.527472529,1.472947587,1.069410749,-0.044566441,0.302789396,0.172576358,0.980535064,-0.043249134,0.23328082,0.302380832,1.158286426,-0.045883749,0.372297973,0.042771885,0.158384257,-0.131121781,0.087558373,-0.060295898,1.530584402,-0.003111863,1.112402678,0.415069862,1.213815887,0.259131698,0.937285931,0.535661651,0.68610007,0.064004958,0.512422151,0.237682877
7,0.113696501,0.040904617,-0.206160628,-0.109278072,-0.040209395,-0.095652849,-0.463030182,-0.3021926,-0.073479407,-0.151277991,-0.153593307,-0.004260687,-0.130327659,-0.1717303,-0.050512993,0.050378349,-0.016631158,-0.130825682,-0.256673621,-0.058899723,-0.046232063,-0.034186728,0.077300559,-0.15771935,-0.273304777,-0.189725405,-0.147456839,-0.315573344,-0.180840652,-0.121351951,-0.302057958,-0.000134644,-0.113536358,-0.077769339,-0.112378699,-0.078926997
8,0.24830459,-0.194927688,0.261473394,-0.223897383,0.022738228,-0.025581781,-0.05685067,-0.147803583,0.352386751,-0.430312702,0.283596653,-0.307997827,0.228234456,-0.33284886,0.152859956,-0.196049135,0.476539046,-0.527776547,0.41433335,-0.419946519,0.254888993,-0.209412535,0.026688451,0.018788005,0.890872396,-0.947723064,-0.0512375,-0.005613168,0.381094413,-0.528897994,-0.104614404,-0.043189179,0.317991703,-0.369155264,-0.038962977,-0.012200587
9,0.270048904,0.082066698,0.394144657,0.185357881,0.232904534,0.412526693,2.115915838,1.184297704,0.516282497,0.71108151,0.402013365,0.020729396,0.381258046,0.670048163,0.204941036,-0.071949544,0.651306951,0.752114861,0.599085693,0.113408336,0.33209678,0.133712289,0.176057801,0.289751268,1.250392645,0.865523198,1.403421812,0.71249403,0.586199081,0.59809862,1.05130621,0.132991493,0.459147932,0.365905454,0.613682007,0.211371379
10,0.31614479,-0.069256927,0.242169526,0.348895442,0.209488207,0.531715254,2.545837431,1.707884596,1.06211662,0.191623338,0.799975914,0.073145142,0.904044223,0.226251802,0.67889115,-0.101302579,1.220189014,0.156994876,0.921060676,0.247592863,0.279157158,0.139819258,0.123443932,0.295532485,2.14124969,0.404587736,1.377183891,1.168653541,1.582935373,0.124949224,1.130296023,0.577588572,0.931046268,0.13238424,0.626869978,0.436560528
