subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,0.196074369,0.189354348,0.27108848,0.213230839,0.217437009,0.026632915,0.541405681,-0.328342361,0.371239875,-0.146643934,0.253024736,-0.371089017,0.273202691,-0.241321108,0.117480495,-0.477704437,0.46927706,-0.05196676,0.388568975,-0.264473597,0.233581425,0.201292594,0.192714359,0.24215966,0.857846037,-0.316440357,0.417310303,0.124095377,0.390683185,-0.719025545,0.031881581,-0.360223941,0.312132306,-0.258866476,0.112297971,-0.059032141
2,0.343806562,0.075591671,0.143186623,0.166367077,0.182237984,-0.005815647,0.341213379,-0.387738555,0.45592558,-0.173296227,0.037510389,-0.34340233,0.284022299,-0.211092063,-0.034082922,-0.426585869,0.627828862,-0.135500392,0.109103701,-0.260218792,0.243496593,0.120979374,0.209699117,0.15477685,0.73693256,-0.395719183,0.492328469,-0.151115092,0.249939377,-0.637677931,0.072930236,-0.460668793,0.246717984,-0.258349279,0.141314676,-0.152945971
3,0.093990032,0.255224063,0.310161595,0.33880611,0.249545449,0.423369889,2.192570452,1.194388657,1.204239789,0.083665098,0.387666798,0.01790787,1.157244774,-0.043946935,0.232586,-0.151495184,1.251234806,0.211277129,0.542747595,0.187310925,0.202075813,0.297015086,0.174607048,0.324483852,1.793982402,0.398588055,1.462511934,0.73005852,1.389830771,-0.195442119,1.113297836,0.081090815,0.795953292,0.050786483,0.643952444,0.202787334
4,0.126759687,0.109541209,0.304295369,0.21431017,0.188726609,-0.010281459,0.336327386,-0.418579052,0.06085175,0.057637801,-0.15745246,-0.002162925,-0.002528094,0.002867196,-0.309600145,-0.10931801,0.124231593,0.112408406,-0.005304775,0.10499216,0.215527529,0.16192569,0.118150449,0.25930277,0.118926818,0.217400567,0.23664,0.099687385,-0.31212824,-0.106450814,0.000339101,-0.418918155,-0.048300355,0.027737437,0.059244775,-0.079807694
5,0.008882434,0.074085123,0.246913743,0.260079164,0.147490116,0.026754467,0.401998103,-0.187962363,0.839787254,-0.298543671,0.037761817,-0.471987528,0.835346034,-0.335586233,-0.085695055,-0.60202711,0.844228469,-0.26150111,0.161218689,-0.341947945,0.127898089,0.167082144,0.041483778,0.253496454,1.00544716,-0.603449056,0.582727359,-0.180729256,0.749650979,-0.937613343,0.499759801,-0.687722164,0.438774534,-0.3852656,0.27062179,-0.217112856
6,0.418396568,0.144207512,0.288031561,-0.019335215,0.207825107,0.515890519,2.479212287,1.647911854,1.146427108,0.68033589,0.303403071,-0.066603999,0.937228825,0.608232132,0.15938729,-0.056936392,1.355625392,0.752439644,0.447418851,-0.076271607,0.353214065,0.062436148,0.28130204,0.134348174,1.80304424,0.676168036,2.108065042,0.371147243,1.096616114,0.551295742,1.545460957,0.102450899,0.72491509,0.306865944,0.9133815,0.118399535
7,0.065388856,0.048508664,0.129714971,0.050841517,0.073613502,0.356977656,1.575137627,1.280683618,0.877847697,0.384386828,0.071183677,0.094492415,0.845153273,0.360132497,0.006326191,0.069071656,0.910542129,0.408641161,0.136041163,0.119913173,0.097551914,0.049675091,0.05694876,0.090278245,1.046583295,0.528554337,1.31918329,0.255954336,0.851479466,0.429204152,1.205285771,0.075397847,0.474515689,0.239439621,0.631117265,0.082838046
8,0.177108713,0.170787552,0.485367256,0.170732764,0.250999071,0.390341515,2.063364206,1.059367923,0.867998929,-0.022711975,0.696939713,0.019139397,0.77944457,-0.108105751,0.454256086,-0.066226985,0.956553283,0.062681801,0.939623341,0.104505779,0.331237985,0.170760158,0.173948132,0.328050011,1.896176625,0.16718758,1.019235086,1.044129119,1.233700656,-0.174332736,0.671338822,0.388029101,0.782469322,-0.00178629,0.422643476,0.358039555
9,0.225621535,0.188388538,0.40273377,0.288981901,0.276431436,0.675373153,3.25435548,2.148629744,1.061342576,0.536418735,0.45611168,0.647619616,0.948531813,0.442224466,0.254744796,0.503128664,1.174153348,0.630613004,0.657478565,0.792110566,0.314177653,0.238685219,0.207005036,0.345857836,1.831631912,1.422723563,1.804766346,1.449589134,1.203276607,0.94535313,1.390756278,0.757873462,0.75872713,0.592019175,0.798880658,0.551865647
10,0.351119182,0.090173398,0.486766344,0.23587222,0.290982785,0.183250963,1.314969427,0.151038281,0.61131643,-0.341410159,0.548127518,-0.085029939,0.435756839,-0.386496858,0.304744347,-0.202966048,0.786876021,-0.296323459,0.791510691,0.032906171,0.418942763,0.163022809,0.22064629,0.361319281,1.578386717,-0.263417288,0.49055256,0.82441686,0.740501184,-0.589462904,0.049259981,0.101778299,0.579721976,-0.213220049,0.134953136,0.23154879
11,0.225855115,0.22904457,0.319150017,-0.146301414,0.156937071,-0.095423503,-0.067819872,-0.695568157,0.1607008,-0.494852259,-0.061134601,0.013592046,0.047773244,-0.609374543,-0.220709609,0.086742753,0.273628358,-0.380329973,0.098440407,-0.059558662,0.272502567,0.041371578,0.227449842,0.0864243,0.372068764,-0.439888634,-0.106701615,0.038881745,-0.172936366,-0.52263179,-0.5616013,-0.133966856,0.0497831,-0.240630106,-0.167075729,-0.023771279
12,0.487490788,0.059289949,-0.055239031,-0.143655578,0.086971531,0.334731777,1.512870176,1.164984044,1.235103402,0.423699556,-0.10256475,-0.217311102,0.991358009,0.394054582,-0.074945234,-0.145483312,1.478848797,0.453344531,-0.130184266,-0.28913889,0.216125879,-0.042182814,0.273390369,-0.099447304,1.348664531,0.164205642,1.932193327,-0.419323155,0.916412774,0.248571269,1.385412593,-0.220428546,0.566269325,0.103194228,0.829401482,-0.159937925
13,0.305797792,0.183859197,0.428158335,0.063035883,0.245212802,0.679348217,3.207818469,2.226967251,1.27763485,0.720948182,0.342933924,0.375875906,1.124735954,0.629018584,0.128854757,0.344357964,1.430533745,0.812877781,0.557013092,0.407393847,0.366978064,0.12344754,0.244828494,0.245597108,1.987546835,1.220271625,2.243411526,0.96440694,1.253590713,0.973376545,1.753754533,0.473212722,0.810284386,0.548412046,0.999291515,0.359404915
14,0.346764687,0.213979106,-0.024192726,-0.244233998,0.073079266,-0.157536916,-0.483989132,-0.776306196,0.460051038,-0.034284984,-0.160659156,-0.89525456,0.286668696,-0.141274537,-0.148562792,-0.773137563,0.633433382,0.072704568,-0.172755518,-1.017371562,0.161285979,-0.015127446,0.280371896,-0.134213363,0.460677863,-0.944666993,0.706137948,-1.190127081,0.138105905,-0.914412099,0.145394159,-0.921700353,0.149695942,-0.464769772,0.212883028,-0.527956858
15,0.349803561,0.144610831,-0.25258828,-0.105360202,0.034116477,-0.015790457,0.005071128,-0.131394782,1.170304033,-0.903282098,-0.383032726,0.052848964,0.995402254,-0.975587514,-0.256738587,0.105529065,1.345205815,-0.830976683,-0.509326867,0.000168863,0.04860764,0.019625315,0.247207196,-0.178974241,0.835878948,-0.830807821,0.514229133,-0.509158002,0.738663668,-0.870058448,0.01981474,-0.151209522,0.393635653,-0.425216567,0.133510968,-0.165091881
16,-0.041009504,0.091325302,0.116873599,-0.145258462,0.005482734,-0.118738697,-0.463989318,-0.485920256,0.298964765,-0.460112605,0.056689482,-0.370496428,0.319469517,-0.505775256,-0.001747317,-0.297867198,0.278460013,-0.414449954,0.115126281,-0.44312566,0.037932048,-0.02696658,0.025157899,-0.014192432,0.393586295,-0.857575615,-0.135989941,-0.327999377,0.317722199,-0.803642457,-0.186305738,-0.299614515,0.177827124,-0.415304517,-0.08057392,-0.156903473
17,0.022106144,0.08782619,-0.160601285,-0.090114739,-0.035195922,0.141281016,0.494732217,0.635515904,0.401046416,0.705323967,-0.097261118,-0.443985207,0.389993344,0.661410875,-0.016960475,-0.398927838,0.412099488,0.749237065,-0.177561759,-0.489042577,-0.06924757,-0.001144274,0.054966167,-0.125358012,0.234537729,0.260194488,1.161336549,-0.666604338,0.373032868,0.262483036,1.051404221,-0.415888312,0.151892649,0.130669382,0.553185193,-0.270623162
18,0.310358831,0.076706411,0.013159442,0.001237876,0.10036564,0.093041454,0.572897097,0.171434537,0.198806894,0.164866647,0.18267246,-0.174180185,0.04362748,0.126513441,0.17609274,-0.174799124,0.35398631,0.203219852,0.189252182,-0.173561248,0.161759136,0.038972143,0.19353262,0.007198659,0.543238492,0.029658604,0.557206163,0.015690933,0.21972022,-0.048285683,0.17014092,0.001293616,0.190739677,-0.004656769,0.18183677,0.004246137
19,0.238903559,0.296065628,0.038416138,-0.055919935,0.129366347,0.120301122,0.739937181,0.222471792,0.02476074,0.117021953,0.382964929,-0.043543137,-0.094691039,-0.03101086,0.363756861,-0.015583169,0.14421252,0.265054767,0.402172999,-0.071503104,0.138659849,0.120072846,0.267484592,-0.008751898,0.546385517,0.193551663,0.409267287,0.330669895,0.269065822,-0.046594029,-0.1257019,0.34817369,0.203862836,0.036739408,0.070891346,0.169710897
20,0.188520154,0.198172104,0.469110478,0.41619377,0.317999126,1.010295011,4.677178301,3.405181786,1.170338328,0.926807208,0.969426114,0.974608385,1.076078251,0.827721157,0.734870876,0.766511498,1.264598405,1.025893261,1.203981354,1.182705268,0.328815315,0.307182937,0.193346129,0.442652123,2.468579754,2.208598529,2.290491662,2.386686623,1.81094913,1.594232654,1.903799407,1.501382379,1.069882222,0.950707797,1.048572768,0.972017249
21,0.31584988,0.249865258,-0.162103751,-0.066190683,0.084355176,0.348444469,1.562488233,1.22506752,0.473358216,0.608640482,0.043495144,0.268284036,0.315433275,0.483707854,0.124547018,0.301379377,0.631283156,0.733573112,-0.037556733,0.235188694,0.076873065,0.091837287,0.282857569,-0.114147217,0.593726423,0.968761805,1.364856265,0.197631962,0.439980294,0.785087231,0.799141129,0.425926395,0.258426679,0.438462259,0.540999349,0.155889589
22,0.121990238,0.117863168,0.309780022,0.139786611,0.172355009,0.443735282,2.119651152,1.430231112,0.821261864,0.537413463,0.34211723,0.074148576,0.760266745,0.478481878,0.187227219,0.004255271,0.882256982,0.596345046,0.497007241,0.144041882,0.21588513,0.12882489,0.119926703,0.224783317,1.379264226,0.740386928,1.478602029,0.641049122,0.947493961,0.482737149,1.238748626,0.191482489,0.581689547,0.30578102,0.679337661,0.208132903
