subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,0.002947578,-0.004513792,0.06544816,0.163182335,0.05676607,-0.161507769,-0.532498934,-0.759563214,-0.094168351,-0.291449602,-0.139203188,-0.121209933,-0.09564214,-0.289192706,-0.171927269,-0.2028011,-0.092694562,-0.293706498,-0.106479109,-0.039618765,0.03419787,0.079334271,-0.000783107,0.114315248,-0.199173671,-0.333325264,-0.386401061,-0.146097875,-0.26756941,-0.491993807,-0.384834847,-0.37472837,-0.11668577,-0.206329767,-0.192808977,-0.130206561
2,0.115295581,-0.032602202,0.379976623,0.266150896,0.182205224,0.05058936,0.566767889,-0.162053009,-0.032997343,-0.132112017,0.429092633,-0.061625833,-0.090645134,-0.115810917,0.239104322,-0.19470128,0.024650448,-0.148413119,0.619080945,0.071449616,0.247636102,0.116774347,0.04134669,0.323063759,0.643731392,-0.076963503,-0.123762672,0.690530559,0.148459188,-0.310512198,-0.206456051,0.044403042,0.198047645,-0.096868925,-0.08255468,0.183733401
3,0.032802896,-0.00920416,-0.037556649,-0.00777958,-0.005434373,-0.444609499,-1.789306748,-1.767569248,-0.57053762,-0.542892206,-0.490025939,-0.174982234,-0.586939068,-0.538290126,-0.471247613,-0.171092444,-0.554136172,-0.547494286,-0.508804262,-0.178872024,-0.002376876,-0.00849187,0.011799368,-0.022668114,-1.062940436,-0.726366311,-1.101630457,-0.687676285,-1.058186681,-0.709382569,-1.125229196,-0.642340056,-0.530281778,-0.358937221,-0.556714915,-0.332504085
4,0.264328668,-0.066332041,-0.312862874,-0.282848784,-0.099428758,-0.4015163,-1.804922714,-1.407207687,-0.507814784,-0.609102427,-0.377765728,-0.11138226,-0.639979119,-0.575936407,-0.221334291,0.030042132,-0.375650451,-0.642268448,-0.534197165,-0.252806652,-0.024267103,-0.174590412,0.098998313,-0.297855829,-0.909847616,-0.895075101,-1.017918898,-0.787003817,-0.861313411,-0.545894276,-1.215915524,-0.191292159,-0.442790256,-0.360242344,-0.558458607,-0.244573994
5,-0.260435743,-0.1644227,-0.442305049,-0.010546027,-0.219427379,-0.25846072,-1.47269764,-0.59498812,0.100095618,-0.51793198,-0.62303,0.007023485,0.230313489,-0.435720632,-0.401877475,0.012296498,-0.030122254,-0.600143332,-0.844182524,0.001750471,-0.351370396,-0.087484363,-0.212429221,-0.226425538,-0.874304778,-0.598392861,-0.630265587,-0.842432053,-0.171563987,-0.423424135,-0.205407142,-0.389580979,-0.26146719,-0.25545425,-0.208918182,-0.308003259
6,-0.146288224,-0.130600297,-0.086873556,-0.12350186,-0.121815984,-0.236155835,-1.188255308,-0.700991369,-0.243313957,-0.456119828,-0.04568499,-0.199504563,-0.170169845,-0.390819679,-0.002248213,-0.137753632,-0.316458069,-0.521419976,-0.089121768,-0.261255492,-0.11658089,-0.127051079,-0.13844426,-0.105187708,-0.405579837,-0.78267547,-0.837878047,-0.350377262,-0.172418057,-0.52857331,-0.560989526,-0.140001845,-0.144499474,-0.327812195,-0.349716893,-0.122594777
7,-0.202813223,-0.015403558,-0.199124007,-0.099994784,-0.129333894,-0.195249546,-1.039665973,-0.522330399,-0.319816728,-0.305001637,-0.056520626,-0.099659196,-0.218410115,-0.297299859,0.043041378,-0.049661803,-0.421223339,-0.312703417,-0.15608263,-0.149656588,-0.200968616,-0.057699171,-0.109108391,-0.149559396,-0.577305968,-0.462360004,-0.733926757,-0.305739217,-0.175368738,-0.346961662,-0.515709975,-0.006620426,-0.188168677,-0.202330417,-0.312409181,-0.078089911
8,-0.027807307,-0.196098583,0.179507635,0.008554373,-0.008960971,-0.193105701,-0.790344746,-0.754500861,-0.270043717,-0.05264488,0.216145977,-0.665880184,-0.256140063,0.045404411,0.126392161,-0.670157373,-0.283947371,-0.150694172,0.305899795,-0.661603,0.075850163,-0.093772105,-0.111952945,0.094031003,0.021952424,-0.812297172,-0.434641544,-0.355703206,-0.129747903,-0.62475296,-0.210735651,-0.543765212,-0.02694887,-0.359262532,-0.161344298,-0.224867106
9,-0.111989439,0.013106674,-0.186589223,-0.182056116,-0.116882026,-0.239083767,-1.190099117,-0.722571016,-0.252834638,-0.393041149,-0.280389557,-0.030069725,-0.196839918,-0.399594485,-0.187094945,0.060958333,-0.308829357,-0.386487811,-0.373684169,-0.121097782,-0.149289331,-0.084474721,-0.049441383,-0.184322669,-0.682513525,-0.507585594,-0.695317169,-0.494781951,-0.383934863,-0.338636153,-0.596434401,-0.126136612,-0.266612097,-0.211555436,-0.322937892,-0.15522964
10,0.317306882,-0.085725848,-0.039937807,-0.395253268,-0.05090251,-0.234178107,-1.03851745,-0.834907408,-0.135394596,-0.228873459,-0.4678369,-0.104607473,-0.294048037,-0.186010535,-0.447867997,0.093019161,0.023258845,-0.271736383,-0.487805803,-0.302234107,0.138684538,-0.240489558,0.115790517,-0.217595537,-0.464546958,-0.573970489,-0.248477538,-0.790039912,-0.741916034,-0.092991374,-0.480058572,-0.354848836,-0.301615748,-0.166740466,-0.182134028,-0.286222186
