subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,0.06500109,0.116415203,0.438100096,0.505588144,0.281276133,0.407461633,2.192398806,1.067294271,0.494650143,0.467620366,0.483885977,0.18369005,0.462149598,0.409412765,0.264835929,-0.069104021,0.527150688,0.525827968,0.702936024,0.436484122,0.251550593,0.311001673,0.090708147,0.471844118,1.23008671,0.962312093,1.052978657,1.139420146,0.726985529,0.340308743,0.871562361,0.195731909,0.489268061,0.325655208,0.481135255,0.333788014
2,0.18883791,0.114937249,0.614326558,0.57308432,0.37279651,0.477100039,2.653993178,1.162807141,0.38460641,0.412696714,0.669358642,0.441738394,0.290187456,0.355228089,0.362195363,0.155196233,0.479025365,0.470165339,0.976521921,0.728280553,0.401582234,0.344010784,0.15188758,0.593705441,1.455547288,1.198445889,0.949190704,1.704802473,0.65238282,0.510424321,0.645415548,0.517391597,0.526982526,0.427217553,0.398651562,0.555548515
3,0.203149131,0.41502153,0.368252749,0.42508967,0.35287827,0.350171641,2.106443106,0.694930027,0.031389387,0.506201256,0.620114589,0.242981336,-0.070185178,0.298690491,0.435988214,0.030436501,0.132963953,0.713712021,0.804240964,0.455526171,0.285700941,0.4200556,0.309085331,0.39667121,0.937204919,1.169238198,0.846675975,1.259767136,0.365803036,0.329126994,0.228505312,0.466424715,0.325751987,0.374591296,0.268795323,0.431547962
4,0.345467688,0.069244108,0.192271303,0.17853814,0.196380309,-0.052736027,0.181816512,-0.603704727,-0.358914868,-0.021647992,0.067292007,0.102326744,-0.531648711,-0.056270046,-0.028843644,0.013057674,-0.186181023,0.012974062,0.163427659,0.191595814,0.268869496,0.123891124,0.207355898,0.185404721,-0.022753364,0.204569876,-0.173206962,0.355023474,-0.560492355,-0.043212372,-0.587918758,-0.01578597,-0.14581143,0.040339376,-0.190281429,0.084809375
5,-0.010447978,0.074717805,0.259233956,0.243972645,0.141869107,0.161958397,0.931571801,0.364095376,0.538491166,-0.193478738,0.274249731,0.02857143,0.543715154,-0.230837641,0.144632753,-0.093414892,0.533267177,-0.156119836,0.403866708,0.150557753,0.124392989,0.159345225,0.032134913,0.2516033,0.937133882,-0.005562082,0.377147342,0.55442446,0.688347907,-0.324252533,0.312877514,0.051217861,0.406370448,-0.082453654,0.172506213,0.15141058
6,0.056555776,-0.047921038,0.486142521,0.382662513,0.219359943,0.367071026,1.907003993,1.029564218,0.367249903,0.351491205,0.425818331,0.323724662,0.338972015,0.375451725,0.182747072,0.132393405,0.395527792,0.327530686,0.668889591,0.515055919,0.271349148,0.167370738,0.004317369,0.434402517,1.064417384,0.842586605,0.723058478,1.183945512,0.521719088,0.50784513,0.71442374,0.315140478,0.396534118,0.337607934,0.359370555,0.374771497
7,0.024626802,0.073377916,0.28788377,0.251078443,0.159241732,0.349363364,1.715936921,1.078969997,0.354507122,0.336838539,0.299475684,0.406632116,0.342193721,0.300149579,0.155533799,0.281092893,0.366820523,0.373527495,0.44341757,0.532171336,0.156255286,0.16222818,0.049002359,0.269481106,0.810238093,0.905698832,0.740348017,0.975588907,0.497727522,0.58124247,0.642343299,0.436626693,0.326991404,0.371735326,0.34567283,0.3530539
8,0.077389725,0.051157396,0.681481839,0.292963094,0.275748015,0.355219107,1.972372456,0.869380404,0.445170726,0.107187685,0.658001119,0.210516901,0.406475864,0.081608988,0.317260199,0.064035353,0.48386559,0.132766384,0.998742039,0.356998448,0.379435782,0.172060245,0.064273561,0.487222467,1.482607628,0.489764831,0.616631972,1.355740485,0.723736062,0.145644341,0.48808485,0.381295551,0.551585923,0.158852293,0.276179206,0.43425901
9,0.098075497,0.025850723,0.281096543,0.244525614,0.162387094,0.275770197,1.42785497,0.778306597,0.121717387,0.568598123,0.218366751,0.194398517,0.07267964,0.555672764,0.07781848,0.07213571,0.170755136,0.581523487,0.358915023,0.316661324,0.18958602,0.135188168,0.06196311,0.262811079,0.529670156,0.898184808,0.752278624,0.675576346,0.15049812,0.627808475,0.628352404,0.149954191,0.170042069,0.381498322,0.345157756,0.206382634
10,0.330220882,-0.010977872,0.360719974,0.312145338,0.248027081,0.210929874,1.33977366,0.347665336,0.220245199,0.203022156,0.213198847,0.207253292,0.055134758,0.208511093,0.032838861,0.051180624,0.38535564,0.197533221,0.393558835,0.363325961,0.345470429,0.150583732,0.159621506,0.336432655,0.778914471,0.560859183,0.582888862,0.756884792,0.087973619,0.259691717,0.263645851,0.084019484,0.216722023,0.205137724,0.211633679,0.21022607
11,0.012227518,0.032231411,0.61454575,0.190840594,0.212461318,0.432221242,2.153807596,1.303962328,0.219845793,0.741825781,0.490244261,0.276969127,0.213732033,0.725710075,0.182971387,0.18154883,0.225959551,0.757941486,0.797517137,0.372389424,0.313386634,0.111536003,0.022229465,0.402693173,1.023476691,1.130330907,0.983901042,1.169906563,0.396703421,0.907258904,0.939442109,0.364520216,0.355045028,0.509397454,0.480835786,0.383606695
12,0.273782394,-0.019203429,0.61145395,0.185151729,0.262796161,0.549838499,2.724946324,1.673761674,0.865863877,0.367590436,0.680706996,0.285192691,0.728972678,0.377192151,0.37498002,0.192616827,1.002755072,0.357988723,0.986433971,0.377768556,0.442618174,0.08297415,0.127289483,0.398302841,1.989189044,0.735757279,1.3607438,1.364202527,1.103952698,0.569808979,1.106164828,0.567596847,0.773285436,0.326391565,0.616727156,0.482949843
13,0.111437983,0.212587149,0.451594092,0.256996024,0.258153812,0.431281743,2.241434593,1.208819351,0.214389961,0.358261779,0.445040714,0.70743452,0.158670971,0.251968204,0.219243667,0.578936508,0.270108953,0.464555353,0.670837759,0.835932531,0.281516037,0.234791587,0.162012565,0.354295058,0.940946711,1.300487886,0.734664305,1.506770291,0.377914638,0.830904714,0.410639175,0.798180173,0.329715338,0.532848149,0.286325871,0.576237616
14,-0.025816147,0.081606353,0.39307528,0.226875439,0.168935231,0.202434634,1.147608995,0.471868072,-0.104023627,0.359455629,0.419842953,0.134463578,-0.091115554,0.318652453,0.223305314,0.021025858,-0.116931701,0.400258806,0.616380594,0.247901298,0.183629566,0.154240896,0.027895103,0.309975359,0.499448893,0.648160103,0.283327106,0.86428189,0.132189761,0.339678311,0.227536899,0.244331173,0.157909663,0.246959603,0.127716001,0.277153266
15,0.013599371,0.164865902,0.335985811,0.539695047,0.263536533,0.496007943,2.511104831,1.456958696,0.618539809,0.559064044,0.401366469,0.405061447,0.611740121,0.476631094,0.233373562,0.135213922,0.625339492,0.641496996,0.569359373,0.67490897,0.174792591,0.352280474,0.089232636,0.437840431,1.194698868,1.316405964,1.266836486,1.244268338,0.845113682,0.611845018,1.088371213,0.368587485,0.509953137,0.482062746,0.588801927,0.403213957
16,0.181041401,0.21711148,0.363524469,0.394143663,0.288955253,0.11883632,1.053255791,-0.102565223,-0.072606996,0.109842119,0.277848769,0.16026139,-0.163127697,0.00128638,0.096086535,-0.036810441,0.017913704,0.218397859,0.459611003,0.357333221,0.272282934,0.305627571,0.19907644,0.378834064,0.477524707,0.575731081,0.236311563,0.816944222,-0.067041162,-0.035524061,-0.161841316,0.059276093,0.102620886,0.135051755,0.018617561,0.21905508
17,-0.035880765,0.072272655,0.20389168,0.187384835,0.106917101,0.41248628,1.863779331,1.43611092,0.605871229,0.695744035,0.242488615,0.10584124,0.623811612,0.65960771,0.140542775,0.012148823,0.587930847,0.731880366,0.344434455,0.199533658,0.084005458,0.129828745,0.018195945,0.195638257,0.932365298,0.931414018,1.319811213,0.543968115,0.764354386,0.671756532,1.283419322,0.152691599,0.424179922,0.400792639,0.650807634,0.174164926
18,0.042332556,-0.065558095,0.244453634,0.232121022,0.113337279,0.017680709,0.297397395,-0.155951723,-0.098804323,0.16661953,-0.020274052,0.02318168,-0.119970601,0.199398578,-0.142500869,-0.092878831,-0.077638045,0.133840483,0.101952765,0.139242191,0.143393095,0.083281464,-0.011612769,0.238287328,0.024314721,0.273082674,0.056202437,0.241194956,-0.26247147,0.106519747,0.079427975,-0.235379701,-0.059539187,0.094900605,0.033907603,0.001453814
19,0.018081049,0.072431165,0.043510617,-0.043240333,0.022695625,-0.022955703,-0.046431565,-0.137214063,-0.570787134,0.055784011,0.27031865,0.15286166,-0.57982766,0.019568429,0.248563342,0.174481826,-0.56174661,0.091999594,0.292073958,0.131241494,0.030795833,0.014595416,0.045256107,0.000135142,-0.269672653,0.223241088,-0.469747017,0.423315451,-0.33126432,0.194050256,-0.56025923,0.423045167,-0.150234242,0.104322835,-0.25750156,0.211590155
20,0.358165717,0.237563431,0.451132002,0.510259788,0.389280234,0.47064931,2.661157705,1.10403677,0.240796441,0.588615888,0.548992123,0.504192786,0.061713582,0.469834174,0.323426121,0.249062892,0.419879299,0.707397605,0.774558123,0.759322679,0.404648858,0.373911609,0.297864574,0.480695894,1.194437422,1.466720283,1.127276906,1.533880802,0.385139703,0.71889707,0.531547756,0.572489012,0.394894281,0.546404338,0.414706164,0.526592454
21,0.126132987,0.10394749,0.128393813,0.419428967,0.194475814,0.202463128,1.198804142,0.420900886,0.054003884,0.357049301,0.129762373,0.269036955,-0.00906261,0.305075555,0.065565466,0.059322472,0.117070377,0.409023045,0.193959279,0.478751438,0.1272634,0.261688229,0.115040238,0.273911389,0.311029656,0.887774481,0.526093422,0.672710719,0.056502857,0.364398028,0.296012945,0.124887939,0.091883128,0.313043128,0.205526592,0.199399664
22,0.139274801,0.30465835,0.256030586,0.284115516,0.246019814,0.146962674,1.07989032,0.095811067,-0.000954382,0.374087964,0.232606053,-0.01788894,-0.070591783,0.221758788,0.10459076,-0.159946698,0.068683018,0.526417138,0.360621347,0.124168819,0.197652693,0.294386934,0.221966576,0.270073052,0.429304363,0.650585961,0.595100155,0.484790165,0.033998978,0.061812091,0.151167004,-0.055355937,0.115825836,0.178099512,0.18656679,0.107358557
23,0.191611021,0.031370885,0.354715557,0.49126901,0.267241617,0.456194926,2.359262944,1.290296464,0.376793898,0.408812028,0.530870805,0.50830297,0.280988387,0.393126587,0.353513027,0.262668465,0.472599408,0.424497472,0.708228584,0.753937475,0.273163289,0.261319947,0.111490953,0.422992284,1.180827991,1.178434946,0.897096879,1.462166059,0.634501414,0.65579505,0.674114975,0.616181493,0.453832352,0.458557499,0.392802963,0.519586886
24,0.068323071,0.090678302,0.095139439,0.095413057,0.087388468,0.191929325,0.942494235,0.592940363,0.107159064,0.440479334,0.280811822,-0.06073292,0.072997528,0.395140183,0.233242102,-0.108439449,0.1413206,0.485818485,0.328381542,-0.013026392,0.081731255,0.09304568,0.079500687,0.095276248,0.46970214,0.472792094,0.627139081,0.315355151,0.30623963,0.286700734,0.468137711,0.124802653,0.193985443,0.189873207,0.273819199,0.110039451
25,0.276335317,0.341139564,0.310277518,0.16025383,0.272001557,0.217474621,1.413901597,0.325895369,0.042347823,0.303516934,0.386418971,0.137614755,-0.095819835,0.132947153,0.231280212,0.05748784,0.180515482,0.474086717,0.541557731,0.217741669,0.293306417,0.250696698,0.308737441,0.235265675,0.72207321,0.691828383,0.6546022,0.759299398,0.135460378,0.190434993,0.037127319,0.288768051,0.214383397,0.220565845,0.172932379,0.262016864
26,-0.069903601,0.020983704,0.195560128,0.293089553,0.109932446,0.260286485,1.261010829,0.821281044,0.294356632,0.184723617,0.279404797,0.282660893,0.329308433,0.174231765,0.181624734,0.136116115,0.259404832,0.195215469,0.377184862,0.429205668,0.062828263,0.157036628,-0.024459949,0.24432484,0.636589693,0.624421138,0.454620302,0.806390528,0.510933167,0.310347881,0.503540198,0.317740849,0.286880717,0.233692254,0.239540125,0.281032845
27,-0.012056922,-0.016914372,0.202911132,0.188815177,0.090688754,-0.026665177,0.0747168,-0.288038215,-0.000104169,-0.121418856,0.063944632,-0.049082313,0.005924292,-0.112961671,-0.037510935,-0.143489902,-0.006132631,-0.129876042,0.165400198,0.045325275,0.095427105,0.085950403,-0.014485647,0.195863155,0.159267565,-0.084550768,-0.136008672,0.210725472,-0.031586643,-0.256451573,-0.107037378,-0.181000837,0.031920231,-0.085250585,-0.060761513,0.007431159
28,0.055255176,0.053011263,0.38481771,0.259968332,0.18826312,0.288074483,1.528824176,0.775771691,0.470322366,0.198000714,0.237728752,0.246246102,0.442694777,0.171495081,0.045319897,0.116261935,0.497949953,0.224506344,0.430137607,0.376230267,0.220036443,0.156489798,0.05413322,0.322393021,0.92808756,0.600736613,0.7224563,0.806367877,0.488014674,0.287757015,0.614189861,0.161581833,0.354025558,0.222123407,0.334161539,0.241987426
29,0.104035815,0.084970789,0.103316996,-0.004593814,0.071932447,0.132245995,0.672848874,0.38511909,0.294864617,0.177244949,0.053800554,0.003073862,0.242846709,0.134759555,0.002142056,0.005370769,0.346882525,0.219730344,0.105459052,0.000776955,0.103676406,0.040188487,0.094503302,0.049361591,0.452341575,0.220507299,0.56661287,0.106236006,0.244988764,0.140130324,0.377606264,0.007512824,0.174332585,0.090159406,0.236054783,0.028437208
30,-0.13736639,-0.075210928,0.162674802,0.010255788,-0.009911682,0.249461795,0.978023812,1.017670539,0.215983563,0.113545641,0.183249059,0.485068914,0.284666758,0.151151104,0.101911658,0.479941021,0.147300368,0.075940176,0.26458646,0.490196809,0.012654206,-0.03247757,-0.106288659,0.086465295,0.411886828,0.566136984,0.223240545,0.75478327,0.386578416,0.631092125,0.435817861,0.581852679,0.199616311,0.299307277,0.164764601,0.334158988
31,0.078430067,-0.053009708,0.155683776,0.215379322,0.099120864,0.092838258,0.569594761,0.173111302,-0.049656229,-0.25925933,0.312927941,0.367340648,-0.088871262,-0.232754476,0.235086053,0.259650987,-0.010441196,-0.285764183,0.390769829,0.47503031,0.117056921,0.081184807,0.01271018,0.185531548,0.380328634,0.189266126,-0.296205379,0.865800141,0.146214791,0.026896512,-0.32162574,0.494737042,0.131635856,0.05404066,-0.154457779,0.340134295
32,0.123359797,0.085506497,0.079059686,0.031541931,0.079866977,0.144911302,0.739379169,0.419911257,0.092632073,0.081662003,0.213261236,0.192089897,0.030952176,0.038908755,0.173731393,0.176318932,0.154311972,0.124415251,0.252791079,0.207860863,0.101209741,0.058524214,0.104433147,0.055300809,0.40710305,0.332276114,0.278727225,0.460651941,0.204683569,0.215227684,0.06986093,0.350050324,0.152946655,0.13687595,0.087147038,0.202675567
