subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,0.0524033,-0.080645531,0.058856487,0.290793295,0.080351888,-0.193108733,-0.611731158,-0.93313871,-0.382918997,-0.371242766,0.426978765,-0.445251934,-0.409120649,-0.330919999,0.39755052,-0.590648582,-0.35671735,-0.41156553,0.456407008,-0.299855286,0.055629894,0.105073882,-0.014121115,0.174824892,0.099689658,-0.711420819,-0.768282879,0.156551722,-0.011570129,-0.921568581,-0.740040649,-0.193098061,0.022029882,-0.408247348,-0.377080881,-0.009136585
2,0.191094119,0.075824706,0.562037265,0.302389709,0.282836449,0.295377288,1.747182055,0.615836258,0.17753397,0.507575076,0.431082143,0.065317966,0.081986911,0.469662724,0.15006351,-0.085876888,0.27308103,0.54548743,0.712100775,0.216512822,0.376565692,0.189107208,0.133459413,0.432213487,0.985181807,0.76200025,0.818568463,0.928613596,0.232050421,0.383785836,0.551649637,0.064186622,0.304308056,0.286446522,0.342554524,0.248200054
3,-0.056704908,0.553933242,0.235703604,0.607022609,0.334988638,0.647249198,3.258974067,1.919019515,0.30617402,1.190406754,0.707554689,0.384861326,0.334526473,0.913440135,0.589702888,0.081350021,0.277821566,1.467373377,0.825406493,0.688372632,0.089499348,0.580477927,0.248614167,0.421363108,1.103228061,2.155746002,1.745194944,1.513779125,0.924229363,0.994790155,1.247966604,0.67105291,0.506864357,0.78763404,0.74829039,0.546208008
4,0.337801558,0.390250527,0.635624483,0.51389168,0.469392062,0.477749734,2.849783062,0.97221481,0.343664193,0.86342424,0.366867299,0.337043204,0.174763414,0.668298977,0.049055056,0.080097364,0.512564972,1.058549504,0.684679539,0.593989044,0.486713021,0.452071105,0.364026044,0.574758081,1.197244512,1.65253855,1.571114479,1.278668588,0.22381847,0.748396341,0.843062391,0.129152421,0.355265745,0.600233724,0.603544217,0.351955251
5,0.182731819,0.352297721,-0.110628348,-0.080522337,0.085969713,-0.319370885,-1.105544114,-1.449422969,0.379590331,-0.296960162,-0.584641502,-0.775472207,0.288224422,-0.473109021,-0.52932733,-0.735211039,0.470956241,-0.1208113,-0.639955678,-0.815733376,0.036051735,0.135887692,0.26751477,-0.095575343,-0.168999436,-0.936544675,0.350144939,-1.455689051,-0.24110291,-1.208320061,-0.184884597,-1.26453837,-0.102525586,-0.536216185,0.041315085,-0.680056855
6,0.219528539,0.140245419,0.617988719,0.360749028,0.334627925,0.344114687,2.045714603,0.707202893,0.205953411,1.004559163,0.119679922,0.046266248,0.096189142,0.934436453,-0.189314438,-0.134108266,0.315717681,1.074681872,0.428674282,0.226640762,0.418758629,0.250497224,0.179886979,0.489368876,0.744391964,1.301322633,1.390399551,0.655315044,-0.093125295,0.800328188,1.030625595,-0.323422703,0.162816667,0.525412707,0.605256286,0.082973085
7,0.035541994,0.052893779,0.392337836,0.325251382,0.201506247,0.500008214,2.403045349,1.597020361,0.779602245,0.520236059,0.327612567,0.372581983,0.761831248,0.49378917,0.131443649,0.209956294,0.797373241,0.546682949,0.523781485,0.535207675,0.213939915,0.189072579,0.044217886,0.358794608,1.321154726,1.081890621,1.344056191,1.058989159,0.893274895,0.703745464,1.255620415,0.341399944,0.553607407,0.44640902,0.649919152,0.350097276
8,-0.01253685,0.071977713,0.420091756,0.226207568,0.176435047,0.261607336,1.399299442,0.693559253,0.408231438,0.485125391,0.376150795,-0.223078274,0.414499862,0.449136534,0.166104916,-0.336182058,0.401963013,0.521114247,0.586196672,-0.109974491,0.203777453,0.14909264,0.029720431,0.323149663,0.988159684,0.411139759,0.92307726,0.476222179,0.580604781,0.112954478,0.863636398,-0.170077142,0.392191116,0.131023559,0.446678415,0.07653626
9,0.108918522,0.218550265,0.496739873,0.427812705,0.313005341,0.233376649,1.559517277,0.307495916,0.036707706,0.286785648,0.311312387,0.298700859,-0.017751556,0.177510515,0.06294245,0.084794505,0.091166966,0.396060779,0.559682324,0.51260721,0.302829197,0.323181484,0.163734393,0.46227629,0.650849292,0.90866799,0.487227745,1.072289535,0.045190895,0.26230502,0.159758961,0.147736955,0.174010046,0.292743251,0.161746675,0.305006622
10,0.473511749,0.088364778,0.363016225,0.379027771,0.325980131,0.103532405,1.066089881,-0.237830636,-0.013800448,0.073395194,0.282861769,0.071673105,-0.250556321,0.029212805,0.101353657,-0.11784078,0.222955428,0.117577584,0.464369882,0.261186991,0.418263985,0.233696275,0.280938263,0.371021998,0.687325308,0.378764579,0.34053301,0.725556874,-0.149202664,-0.088627975,-0.221343519,-0.016487123,0.134530661,0.07253415,0.029797375,0.177267437
11,0.010951002,0.021565218,0.273109404,-0.359043156,-0.013354383,-0.299515524,-1.224770865,-1.17135333,-0.417526909,-0.481806172,-0.49659359,0.197864578,-0.42300241,-0.49258878,-0.633148293,0.377386156,-0.412051408,-0.471023563,-0.360038889,0.018343001,0.142030203,-0.16873897,0.01625811,-0.042966876,-0.772090298,-0.45268056,-0.883074969,-0.341695887,-1.0561507,-0.115202624,-0.915591185,-0.255762137,-0.45706025,-0.141970796,-0.449666543,-0.149364507
12,0.456712824,0.050563095,0.744583572,0.258355367,0.377553715,0.603528661,3.169222066,1.659007211,0.662996184,0.793126581,0.881822244,0.076169634,0.434639772,0.767845034,0.509530459,-0.053008049,0.891352596,0.818408129,1.254114031,0.205347318,0.600648196,0.154459231,0.25363796,0.501469469,2.145466622,1.023755451,1.709760725,1.459461348,0.944170229,0.714836986,1.202484801,0.456522409,0.772409213,0.434648107,0.728061382,0.478995939
13,0.367825535,0.240763527,0.508455917,0.21377521,0.332705048,0.719315137,3.542670638,2.211850447,0.989825527,1.082989432,0.286173413,0.518272168,0.805912758,0.962607669,0.031945455,0.411384563,1.173738294,1.203371196,0.540401372,0.625159773,0.438140727,0.227269368,0.304294531,0.361115563,1.714139665,1.82853097,2.377109482,1.165561148,0.837858215,1.373992231,1.768520428,0.443330018,0.63799947,0.800630801,1.036407481,0.402222791
14,0.025992463,0.151335396,0.301646142,0.183332796,0.165576699,-0.016885644,0.263610821,-0.398695976,-0.14196038,0.178530545,0.236894359,-0.341007101,-0.154956612,0.102862847,0.086071289,-0.432673499,-0.128964149,0.254198242,0.387717429,-0.249340703,0.163819301,0.167334096,0.08866393,0.242489468,0.258753282,0.00485754,0.125234094,0.138376725,-0.068885323,-0.329810653,-0.052093764,-0.34660221,0.047466989,-0.081238278,0.018285083,-0.052056371
15,0.493445191,0.543401148,0.755245463,1.233942482,0.756508572,0.989826406,5.472322769,2.446288485,1.858475692,0.501352478,0.781845389,0.817632067,1.611753094,0.229651904,0.404222657,0.200660826,2.105198285,0.773053051,1.15946812,1.43460331,0.624345327,0.888671814,0.518423169,0.994593972,3.26466641,2.207656355,2.878251336,2.594071433,2.01597575,0.430312731,1.841404993,0.604883482,1.320160539,0.659492274,1.179914084,0.79973873
16,-0.015870446,0.221423075,0.327477128,0.254265962,0.196823929,0.072547746,0.683838844,-0.103456874,0.159407267,-0.143062322,0.297893115,-0.024047077,0.16734249,-0.253773859,0.134154552,-0.151180057,0.151472044,-0.032350784,0.46163168,0.103085904,0.155803341,0.237844519,0.102776315,0.290871544,0.613103724,0.070735121,0.119121261,0.564717584,0.301497043,-0.404953916,-0.086431369,-0.017025505,0.228650192,-0.083554699,0.008172473,0.13692302
17,-0.098238935,0.022780001,-0.155778043,-0.091522563,-0.080689885,-0.11362073,-0.61586269,-0.293103153,-0.365471261,0.301335215,-0.120795257,-0.269551615,-0.316351795,0.289945213,-0.042906235,-0.223790334,-0.41459073,0.312725214,-0.198684278,-0.315312897,-0.127008489,-0.034371281,-0.037729467,-0.123650303,-0.613275008,-0.002587683,-0.101865516,-0.513997175,-0.35925803,0.066154879,-0.026406581,-0.266696568,-0.24313326,0.015891799,-0.032068024,-0.195173436
18,0.183203296,-0.003752843,0.12135287,0.228427326,0.132307662,-0.028764238,0.149558371,-0.379672272,-0.147928061,0.222029389,-0.144654354,-0.044503924,-0.239529708,0.22390581,-0.205330789,-0.158717587,-0.056326413,0.220152967,-0.083977919,0.069709738,0.152278083,0.112337242,0.089725226,0.174890097,-0.140304334,0.28986271,0.163826554,-0.014268181,-0.444860496,0.065188224,-0.015623899,-0.364048377,-0.146291207,0.088762732,0.037050664,-0.094579139
19,-0.116947397,0.051574093,0.066081487,0.023058982,0.005941791,0.199549157,0.810080213,0.786313047,-0.206536287,0.184241048,0.703213537,0.117278329,-0.148062589,0.158454002,0.670172794,0.105748839,-0.265009985,0.210028095,0.736254281,0.12880782,-0.025432955,0.037316537,-0.032686652,0.044570234,0.471244297,0.338835917,-0.05498189,0.865062102,0.522110207,0.264202841,0.010391414,0.775921632,0.248338626,0.150759689,-0.011147619,0.410245933
20,0.043786222,0.184242805,0.87581068,0.700318553,0.451039564,1.035320728,5.043362043,3.23920378,1.106841584,1.614347895,0.923500768,0.496592665,1.084948471,1.522226495,0.485595428,0.146433389,1.128734693,1.706469299,1.361406107,0.846751941,0.459798451,0.442280679,0.114014513,0.788064614,2.490140806,2.553221241,2.835203984,2.208158037,1.570543903,1.668659885,2.607174963,0.632028817,1.015171176,1.05547028,1.360594738,0.710046715
21,0.230041062,0.28204453,-0.113368177,0.235702465,0.15860497,0.185606015,1.059633993,0.425214115,-0.050940675,0.779472929,-0.324658852,0.338550652,-0.165961206,0.638450664,-0.267974763,0.22069942,0.064079856,0.920495194,-0.38134294,0.456401885,0.058336443,0.258873497,0.256042797,0.061167144,-0.317263084,1.376897077,0.984575049,0.075058945,-0.43393597,0.859150085,0.472489458,-0.047275344,-0.187799763,0.559011789,0.364266127,0.0069459
22,-0.003522204,0.079188699,0.270378539,0.218001304,0.141011584,0.350659659,1.684661813,1.120615474,0.319647387,0.739651692,0.217174629,0.126164931,0.321408489,0.700057342,0.08198536,0.01716428,0.317886285,0.779246041,0.352363899,0.235165584,0.133428168,0.148595002,0.037833248,0.244189921,0.670250185,1.014411622,1.097132329,0.587529482,0.403393849,0.717221618,1.021465833,0.09914964,0.268411009,0.432908312,0.529649538,0.17166978
