subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,0.063383056,0.182145664,0.333796939,0.471908754,0.262808603,0.30863338,1.760150727,0.708916318,0.569680482,0.565676676,0.392170087,-0.292993719,0.537988952,0.474603844,0.22527162,-0.528948096,0.601372008,0.656749508,0.559068558,-0.057039343,0.198589997,0.327027209,0.12276436,0.402852846,1.160440568,0.599710165,1.258121517,0.502029215,0.76326057,-0.054344253,1.012592796,-0.303676477,0.480925286,0.136341479,0.567678579,0.049588184
2,0.406077575,0.337740751,0.853945335,0.690720923,0.572121146,0.502358612,3.153676745,0.865192162,0.456516044,0.762602941,0.657467012,0.132848449,0.253477256,0.593732567,0.230494343,-0.212512011,0.659554831,0.931473318,1.084439679,0.47820891,0.630011458,0.514230837,0.371909163,0.772333128,1.743994509,1.409682228,1.59102815,1.562648581,0.4839716,0.381220556,0.847209822,0.01798233,0.556991528,0.447725697,0.609559494,0.395157731
3,0.436615672,0.772087175,0.725769155,0.861451785,0.698980948,0.813024647,4.650060483,1.854136694,0.965501146,1.623350975,0.619031369,0.044215101,0.74719331,1.237307386,0.25614679,-0.386510792,1.183808981,2.009394561,0.981915946,0.474940994,0.581192414,0.816769482,0.604351422,0.79361047,2.165724927,2.484335553,3.193203554,1.456856939,1.0033401,0.850796593,1.984500702,-0.130364002,0.792266256,0.833783036,1.29442606,0.331623235
4,0.392848472,0.032008903,0.66096162,0.313144102,0.349740775,0.117991983,1.171449482,-0.227513617,-0.530614115,0.321896199,0.237339762,0.443346087,-0.72703835,0.305891748,-0.093141049,0.286774034,-0.334189879,0.337900651,0.567820572,0.599918137,0.526905046,0.172576503,0.212428687,0.487052861,0.233630695,0.937818785,0.003710772,1.167738706,-0.820179399,0.592665783,-0.421146601,0.193632985,-0.146637176,0.382621142,-0.104358957,0.340342925
5,0.136860823,0.27275223,0.622769694,0.430753617,0.365784089,0.128293596,1.244742568,-0.218393796,0.652654912,-0.274323487,0.52499919,-0.390156234,0.584224502,-0.410699603,0.213614346,-0.605533041,0.721085325,-0.137947372,0.836384038,-0.174779425,0.379815258,0.351752924,0.204806527,0.526761652,1.557469362,-0.312726798,0.583137954,0.661604615,0.797838847,-1.016232642,0.1735249,-0.391918697,0.588827052,-0.33223986,0.189165713,0.067421479
6,0.337931068,0.012866477,0.552407341,0.396866241,0.325017783,0.699219247,3.446912549,2.14684141,1.157218646,0.786402427,0.682796436,0.17045947,0.988253114,0.779969187,0.406592767,-0.027973652,1.326184182,0.792835664,0.959000108,0.368892591,0.445169204,0.204866359,0.175398772,0.474636793,2.285184292,1.161728254,2.119019848,1.327892696,1.394845884,0.751995536,1.768222292,0.378619116,0.920007542,0.478430947,0.971810534,0.426627954
7,0.036522922,0.040210413,0.200043173,0.258169048,0.133736389,0.102497907,0.677464403,0.142518849,0.167688294,0.180781412,-0.029236169,0.09075809,0.149426833,0.160676206,-0.129257756,-0.038326434,0.185949755,0.200886618,0.070785418,0.219842614,0.118283047,0.14918973,0.038366667,0.229106111,0.256735172,0.420729235,0.386836375,0.290628032,0.020169077,0.122349771,0.310103038,-0.167584189,0.069226062,0.135769751,0.174234853,0.03076096
8,0.23972708,0.193320087,0.791252562,0.491208566,0.428877073,0.369283974,2.334890036,0.619381746,0.504533345,0.523470959,0.278387278,0.170744312,0.384669806,0.426810916,-0.117239003,-0.074859972,0.624396886,0.620131003,0.674013559,0.416348594,0.515489822,0.342264327,0.216523585,0.641230563,1.298410446,1.036479591,1.244527892,1.090362153,0.267430804,0.351950943,0.811480721,-0.192098976,0.391460313,0.347107636,0.514002152,0.224565795
9,0.231739628,0.288585512,0.6185751,0.444045013,0.395736311,0.67221158,3.480318954,1.897373711,0.879845185,0.548780332,0.644387395,0.615833419,0.763975373,0.404487577,0.335099846,0.393810912,0.995715001,0.693073089,0.953674947,0.837855925,0.425157363,0.366315262,0.26016257,0.531310057,1.949389944,1.530929007,1.688788095,1.791530869,1.099075218,0.798298488,1.168462947,0.728910754,0.76211629,0.582306876,0.71431276,0.630110408
10,0.544219764,0.268540864,1.126133796,0.712058271,0.662738176,0.806741335,4.552441704,1.901489,1.404148187,0.929604148,0.757434433,0.135778584,1.132038306,0.795333713,0.194367532,-0.220250553,1.67625807,1.063874577,1.320501331,0.491807721,0.835176782,0.490299569,0.406380314,0.919096036,2.996759399,1.555682302,2.740132647,1.812309051,1.326405844,0.575083162,1.927372022,-0.02588302,1.080791309,0.532691362,1.166876164,0.446606507
11,0.18426442,0.25583866,0.693212251,0.185245294,0.329640157,0.625896921,3.162867986,1.844307364,0.702116412,0.966109,0.238568973,0.596793295,0.609984202,0.83818967,-0.108037154,0.504170648,0.794248622,1.09402833,0.585175099,0.689415942,0.438738335,0.220541977,0.22005154,0.439228774,1.379423724,1.783444276,1.888276946,1.274591038,0.501947048,1.342360319,1.448173876,0.396133494,0.47034269,0.781451148,0.834112706,0.417681133
