subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,-0.024161829,0.066692245,0.27006497,0.27973622,0.148082902,0.205047989,1.116357759,0.524026151,0.589864705,0.209037691,0.2901699,-0.268880339,0.601945619,0.175691569,0.155137414,-0.408748448,0.57778379,0.242383814,0.425202384,-0.129012228,0.122951571,0.173214232,0.021265208,0.274900595,1.002986172,0.113371585,0.820167603,0.296190156,0.75708303,-0.233056879,0.777637187,-0.253611035,0.440017303,-0.029921323,0.399451198,0.01064478
2,0.036948723,0.060173364,0.045865213,0.064579797,0.051891774,-0.092621441,-0.266702219,-0.474269317,0.249827094,0.004265517,-0.238952649,-0.385625727,0.231352732,-0.025821166,-0.261885255,-0.417915625,0.268301455,0.034352199,-0.216020042,-0.353335829,0.041406968,0.062376581,0.048561044,0.055222505,0.052281413,-0.318983632,0.302653654,-0.569355872,-0.030532523,-0.44373679,0.205531566,-0.679800881,0.005437223,-0.190680105,0.127046305,-0.312289188
3,-0.118740556,0.106433012,-0.063668945,0.044387758,-0.007897183,0.343157793,1.35683681,1.388425535,1.015545498,0.629113138,-0.003498738,-0.268528724,1.074915773,0.575896633,0.028335735,-0.290722603,0.956175217,0.682329645,-0.03533321,-0.246334845,-0.09120475,0.075410385,-0.006153772,-0.009640593,0.920842007,0.435994799,1.638504861,-0.281668056,1.103251508,0.285174031,1.650812408,-0.262386867,0.506023379,0.180292207,0.822329319,-0.136013731
4,0.034608309,0.052190846,-0.000970812,-0.096030373,-0.002550507,-0.223619151,-0.899577617,-0.889375591,-0.041395147,-0.063266751,-0.448375776,-0.341438929,-0.058699301,-0.089362175,-0.44789037,-0.293423743,-0.024090992,-0.037171329,-0.448861182,-0.389454116,0.016818748,-0.021919763,0.043399578,-0.048500592,-0.472952174,-0.426625445,-0.061262322,-0.838315299,-0.506589669,-0.382785919,-0.148061473,-0.74131411,-0.24488546,-0.202352841,-0.05233095,-0.394907352
5,-0.090313335,0.155404682,0.098380496,0.220264771,0.095934153,0.024185088,0.28860866,-0.095127955,0.963263231,-0.196195571,0.079636357,-0.749963661,1.008419895,-0.273897912,0.030446109,-0.860096047,0.91810656,-0.11849323,0.128826605,-0.639831276,0.004033581,0.187834726,0.032545674,0.159322633,1.046933167,-0.758324508,0.799613333,-0.51100467,1.038866005,-1.133993959,0.734521983,-0.829649938,0.521449793,-0.473079616,0.383533829,-0.335163652
6,-0.065455284,-0.138124977,-0.015733344,-0.091608816,-0.077730605,0.279179068,0.961255065,1.272177483,0.501938892,0.656729455,-0.006169468,-0.035782605,0.534666535,0.725791943,0.001697204,0.010021803,0.469211251,0.587666966,-0.01403614,-0.081587013,-0.040594314,-0.114866896,-0.10179013,-0.05367108,0.455175112,0.506079952,1.056878213,-0.095623152,0.536363738,0.735813745,1.26045848,0.011719008,0.247884713,0.310473425,0.579334175,-0.020976036
7,-0.119538636,-0.08047006,0.028702788,0.014564788,-0.03918528,0.244998919,0.90162511,1.058366231,0.633895654,0.099384014,0.179652617,0.067063386,0.693664972,0.139619045,0.165301223,0.059780992,0.574126335,0.059148984,0.194004011,0.07434578,-0.045417924,-0.032952636,-0.100004348,0.021633788,0.768130346,0.133494764,0.633275319,0.268349791,0.858966194,0.199400036,0.833284013,0.225082215,0.406774137,0.083223701,0.366639834,0.123358001
8,-0.055211392,-0.027142458,0.055844895,-0.012790325,-0.00982482,0.072384,0.26988636,0.309185642,0.425714931,-0.127452305,0.222202188,-0.230928811,0.453320626,-0.113881076,0.19427974,-0.224533649,0.398109234,-0.141023533,0.250124635,-0.237323974,0.000316751,-0.019966391,-0.041176925,0.021527285,0.648233868,-0.378347508,0.2570857,0.01280066,0.647600368,-0.338414724,0.339439551,-0.030253909,0.323958558,-0.179190558,0.149131313,-0.004363312
9,-0.016828619,0.115241204,-0.128427925,-0.150881523,-0.045224216,0.03835738,0.062981088,0.243877954,0.156244934,-0.028023446,-0.184715063,0.209923097,0.164659244,-0.085644048,-0.120501101,0.285363858,0.147830625,0.029597155,-0.248929026,0.134482334,-0.072628272,-0.01782016,0.049206292,-0.139654724,-0.101098401,0.16407949,0.17742778,-0.114446691,0.044158143,0.19971981,0.079015197,0.164862758,-0.014235064,0.090949824,0.064110744,0.012604017
10,0.00958192,0.027760922,0.027130551,-0.041859065,0.005653582,0.339795481,1.370489095,1.347874761,0.66045438,0.32662694,0.420653885,-0.048553278,0.65566342,0.312746479,0.40708861,-0.027623746,0.665245341,0.340507401,0.434219161,-0.06948281,0.018356236,-0.007049071,0.018671421,-0.007364257,1.099464502,0.271024591,1.005752741,0.364736352,1.062752028,0.285122735,0.968409899,0.379464864,0.540554132,0.139036831,0.493540659,0.186050304
11,-0.045121146,0.036014689,0.059983144,-0.092680506,-0.010450955,0.363933041,1.434830261,1.476634068,0.663216552,0.467548517,0.056162839,0.268804256,0.685777126,0.449541171,0.026171267,0.315144508,0.64065598,0.48555586,0.086154411,0.222464002,0.007430999,-0.028332909,-0.004553228,-0.016348681,0.726810391,0.708019861,1.126211838,0.308618412,0.711948394,0.764685681,1.135318297,0.341315775,0.359689695,0.368176385,0.565382535,0.162483547
12,-0.113836225,-0.027799816,0.12802762,-0.097751614,-0.027840009,0.730215151,2.865180586,2.97654062,1.534977825,0.507997166,0.575531611,0.302354008,1.591895935,0.521897074,0.5115178,0.351229814,1.47805971,0.494097258,0.63954542,0.2534782,0.007095698,-0.062775715,-0.07081802,0.015138003,2.117605137,0.747575458,1.972156967,0.893023617,2.103413739,0.873126893,2.113793009,0.862747617,1.055254716,0.405175587,1.021487493,0.438942809
13,-0.067706688,0.084857766,-0.012553648,-0.156291951,-0.03792363,0.573849224,2.219549635,2.371244157,0.742665753,0.947735547,0.299441306,0.305554285,0.776519097,0.905306668,0.305718128,0.383700261,0.708812409,0.990164434,0.29316448,0.22740831,-0.040130168,-0.035717092,0.008575539,-0.084422799,1.001976889,1.217572746,1.698976846,0.520572791,1.082237225,1.289006927,1.681825764,0.68941839,0.521053529,0.626644919,0.845200652,0.302497795
14,-0.054437133,0.024839195,-0.127681701,-0.132377436,-0.072414268,0.022419958,-0.055148707,0.234508369,0.299716481,0.167791873,-0.046360395,-0.331468127,0.326935047,0.155372275,0.017480456,-0.26527941,0.272497914,0.180211471,-0.110201245,-0.397656846,-0.091059417,-0.05376912,-0.014798969,-0.130029568,0.162296669,-0.217445374,0.452709385,-0.507858091,0.344415503,-0.109907135,0.482307323,-0.247798955,0.126678043,-0.081838127,0.233754176,-0.188914261
15,-0.219387972,0.158171489,-0.344998701,-0.210377665,-0.154148211,-0.110892904,-0.751868034,-0.13527519,0.311132653,-0.246171171,-0.399760715,-0.108772379,0.420826638,-0.325256916,-0.227261365,-0.003583546,0.201438667,-0.167085427,-0.572260066,-0.213961211,-0.282193336,-0.026103088,-0.030608241,-0.277688183,-0.370821398,-0.381046636,0.03435324,-0.786221275,0.193565273,-0.328840462,0.095569722,-0.230844912,-0.044314032,-0.177471776,0.032480741,-0.254266548
16,-0.181344598,-0.022785817,-0.022137951,-0.118532061,-0.086200107,0.39231348,1.396853709,1.741654128,0.920817171,0.409884944,0.183787911,0.054763895,1.011489471,0.421277853,0.194856887,0.114029925,0.830144874,0.398492036,0.172718935,-0.004502135,-0.101741274,-0.070658939,-0.102065207,-0.070335006,1.002863808,0.393989901,1.228636911,0.1682168,1.206346358,0.535307779,1.432767326,0.308886811,0.552302544,0.232324419,0.665351057,0.119275903
