subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
1,-0.004719208,0.070341032,0.048679696,-0.134356186,-0.005013666,-0.46891851,-1.885701364,-1.865646702,-0.07676676,-0.783884408,-0.086575309,-0.928447559,-0.074407156,-0.819054925,-0.110915157,-0.861269467,-0.079126363,-0.748713893,-0.062235461,-0.995625654,0.021980244,-0.032007577,0.032810912,-0.042838245,-0.141361827,-1.744339548,-0.827840256,-1.057861115,-0.185322312,-1.6803244,-0.893462082,-0.972184623,-0.081671035,-0.856165983,-0.430325585,-0.507511434
2,0.204609303,0.083147994,0.123613492,0.283501318,0.173718027,-0.301428514,-0.858278004,-1.553150109,-0.149120565,-0.251288616,-0.388938666,-0.416366208,-0.251425217,-0.292862614,-0.45074541,-0.558116867,-0.046815914,-0.20971462,-0.327131918,-0.274615549,0.164111398,0.183324657,0.143878649,0.203557405,-0.373947831,-0.48433017,-0.256530532,-0.601747467,-0.702170627,-0.850979479,-0.544287831,-1.008862276,-0.269029615,-0.333827412,-0.200204592,-0.402652436
3,0.035600629,0.157552861,0.045086011,0.116947442,0.088796736,-0.130701814,-0.345213781,-0.700400727,0.171767626,-0.361531783,-0.182351152,-0.150691946,0.153967312,-0.440308214,-0.204894157,-0.209165667,0.189567941,-0.282755353,-0.159808146,-0.092218225,0.04034332,0.137250152,0.096576745,0.081016727,0.029759795,-0.374973578,-0.093187411,-0.252026371,-0.050926844,-0.64947388,-0.286340903,-0.414059824,-0.005291763,-0.256111866,-0.094882078,-0.166521548
4,-0.043985895,-0.114329911,0.275846819,-0.07182266,0.011427088,-0.067354807,-0.246565049,-0.292273403,0.365946877,-0.594094744,0.067793354,-0.109064715,0.387939825,-0.536929787,-0.070130057,-0.073153384,0.34395393,-0.651259699,0.205716763,-0.144976044,0.115930463,-0.093076285,-0.079157903,0.10201208,0.549670692,-0.796235744,-0.307305768,0.060740718,0.317809767,-0.610083171,-0.148989963,-0.14328344,0.216870115,-0.351579728,-0.114073933,-0.020635681
5,-0.43241016,-0.242291546,0.298141825,0.351061489,-0.006374598,-0.011399125,-0.058345696,-0.032847304,0.986482239,-0.667872061,0.328471941,-0.692678617,1.202687318,-0.546726288,0.179401028,-0.868209362,0.770277158,-0.789017833,0.477542853,-0.517147873,-0.067134168,0.054384972,-0.337350853,0.324601658,1.247820005,-1.306165704,-0.018740675,-0.03960502,1.382088346,-1.414935654,0.655961028,-0.688808336,0.65747709,-0.680275338,0.159305089,-0.182103339
6,0.075060273,-0.053944233,-0.087621551,-0.262575112,-0.082270156,-0.047445719,-0.354323188,-0.025242564,0.058884453,-0.303889071,0.161697329,-0.106475588,0.021354317,-0.276916954,0.205508104,0.024811969,0.09641459,-0.330861187,0.117886553,-0.237763144,-0.006280639,-0.158259673,0.01055802,-0.175098332,0.214301143,-0.568624332,-0.234446598,-0.119876591,0.226862421,-0.252104986,-0.255562637,0.230320072,0.110290891,-0.205182329,-0.122502309,0.02761087
7,-0.001171285,-0.020048425,-0.038682851,-0.09598167,-0.038971058,-0.203565912,-0.892205763,-0.736321533,-0.514927641,-0.364577183,-0.017185421,0.082426597,-0.514341999,-0.35455297,0.002156004,0.130417431,-0.515513284,-0.374601395,-0.036526846,0.034435762,-0.019927068,-0.058015048,-0.010609855,-0.06733226,-0.552040128,-0.340165633,-0.89011468,-0.002091085,-0.512185994,-0.224135538,-0.868894967,0.132573435,-0.266056531,-0.141075293,-0.439752412,0.032620588
8,0.246776342,-0.033519027,0.043088644,-0.141958598,0.028596841,-0.100722227,-0.345695225,-0.460082589,0.009188418,-0.189487508,0.111164552,-0.333754369,-0.114199754,-0.172727994,0.08962023,-0.262775071,0.132576589,-0.206247021,0.132708874,-0.404733668,0.144932494,-0.087738812,0.106628658,-0.049434976,0.265285466,-0.610980687,-0.073670431,-0.272024794,-0.024579524,-0.435503064,-0.286927747,-0.173154841,0.060176485,-0.261620938,-0.090149545,-0.111294908
9,-0.00115295,0.072194713,0.163675822,-0.098452961,0.034066156,-0.016304567,0.002914045,-0.133350578,0.338967159,-0.381425737,-0.054970266,0.032210576,0.339543634,-0.417523091,-0.136808177,0.081437056,0.338390684,-0.345328379,0.026867645,-0.017015905,0.081261436,-0.013129124,0.035520881,0.032611431,0.365258328,-0.362344284,-0.006937692,0.00985174,0.202735458,-0.336086034,-0.077979457,-0.055371121,0.141998447,-0.17460758,-0.021229287,-0.011379845
10,0.022254773,-0.028306622,0.220833873,-0.035065715,0.044929077,-0.011530095,0.043737775,-0.135978537,0.338332394,-0.279902547,0.121293908,-0.225844138,0.327205009,-0.265749236,0.010876971,-0.208311281,0.349459782,-0.294055858,0.231710844,-0.243376995,0.121544323,-0.031686168,-0.003025925,0.092884079,0.581170627,-0.53743285,0.055403924,-0.011666151,0.338081981,-0.474060518,0.061455775,-0.19743431,0.229813152,-0.252873343,0.029214925,-0.052275115
11,-0.040575686,0.151842271,0.316823446,-0.195058831,0.0582578,-0.03893738,-0.03923392,-0.272265121,0.414991296,-0.378023538,-0.080233394,-0.112483883,0.435279138,-0.453944673,-0.238645117,-0.014954468,0.394703452,-0.302102402,0.078178329,-0.210013298,0.13812388,-0.02160828,0.055633293,0.060882308,0.472881782,-0.5121157,0.092601049,-0.131834968,0.196634023,-0.46889914,-0.018665537,-0.253599584,0.16737895,-0.245253709,0.018483878,-0.096358638
12,-0.074873873,-0.152667368,0.502246109,-0.18840931,0.021573889,0.409068829,1.679423097,1.593127535,1.870922281,-0.44207429,0.328085157,-0.120657835,1.908359222,-0.365740606,0.076962103,-0.02645318,1.833485348,-0.518407974,0.579208211,-0.21486249,0.213686118,-0.170538338,-0.113770621,0.1569184,2.412693556,-0.733270464,1.315077373,0.364345721,1.985321322,-0.392193787,1.542618613,0.050508923,1.099503724,-0.281366062,0.714424,0.103713661
13,-0.083380436,0.053876309,0.325365451,-0.052096323,0.06094125,0.146873395,0.709376081,0.465611079,0.270017243,-0.220088422,0.477877958,0.059686801,0.31170746,-0.247026576,0.315195232,0.085734963,0.228327024,-0.193150267,0.640560683,0.033638639,0.120992508,0.000889993,-0.014752064,0.136634563,0.868887709,-0.159511628,0.035176757,0.674199322,0.626902692,-0.161291613,0.064680886,0.400930194,0.373947598,-0.08020081,0.02496441,0.268782379
