subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36,hemisphere
1,0.022145112,0.040515504,-0.065674836,-0.08524283,-0.022064262,-0.153107559,-0.656558764,-0.568301713,-0.05626545,-0.11770329,-0.100992079,-0.337469419,-0.067338006,-0.137961042,-0.068154662,-0.294848004,-0.045192894,-0.097445538,-0.133829497,-0.380090834,-0.021764862,-0.022363663,0.031330308,-0.075458832,-0.179022391,-0.477536371,-0.142638431,-0.513920331,-0.135492667,-0.432809048,-0.20529905,-0.363002666,-0.078628764,-0.227586355,-0.08698437,-0.219230749,
2,0.101036466,0.047435958,0.042312842,0.112072674,0.075714485,-0.041187559,-0.013321265,-0.316179204,0.041623873,0.085442592,-0.183262164,-0.108554534,-0.00889436,0.061724612,-0.204418585,-0.16459087,0.092142106,0.109160571,-0.162105744,-0.052518197,0.071674654,0.079754316,0.074236212,0.077192757,-0.069963638,0.056642374,0.201302676,-0.21462394,-0.213312945,-0.102866257,0.052830252,-0.369009456,-0.070819146,-0.011555971,0.063533232,-0.145908349,
3,0.05025357,0.048141012,-0.044254754,0.014257424,0.017099313,-0.043356527,-0.139227481,-0.207624732,0.176583208,-0.069124793,-0.17222329,-0.108661232,0.151456423,-0.093195299,-0.150095913,-0.115789944,0.201709993,-0.045054287,-0.194350667,-0.101532519,0.002999408,0.031199219,0.049197291,-0.014998665,0.007359325,-0.146586805,0.156655705,-0.295883187,0.00136051,-0.208985242,0.058261124,-0.265885857,0.002179959,-0.088893012,0.053729208,-0.140442261,
4,0.047601417,0.051747171,0.075544408,-0.022984024,0.037977243,-0.047807367,-0.115274983,-0.267183957,0.157182421,-0.068076415,-0.165332328,-0.115003148,0.133381712,-0.09395,-0.203104532,-0.103511135,0.180983129,-0.042202829,-0.127560124,-0.126495159,0.061572913,0.014381574,0.049674294,0.026280192,0.053423005,-0.168697989,0.138780299,-0.254055282,-0.06972282,-0.197461135,0.039431713,-0.306615667,-0.004074954,-0.091539781,0.044553003,-0.140167738,
5,-0.154124095,0.010265473,0.017785538,-0.02374272,-0.037453951,-0.157022715,-0.702998761,-0.553182959,-0.055272265,-0.301014621,0.12993928,-0.401743252,0.021789782,-0.306147358,0.121046511,-0.389871892,-0.132334313,-0.295881885,0.138832049,-0.413614612,-0.068169278,-0.006738624,-0.071929311,-0.002978591,0.006497736,-0.709496497,-0.428216198,-0.274782564,0.142836291,-0.696019248,-0.284357577,-0.268825382,0.037333507,-0.351378936,-0.178143444,-0.135901986,
6,0.070264936,-0.017380531,-0.136445738,-0.177240026,-0.06520034,0.104656656,0.288225944,0.549027304,0.198366322,0.215425951,-0.031282626,0.036116976,0.163233854,0.224116217,0.036940243,0.124736989,0.23349879,0.206735685,-0.099505495,-0.052503037,-0.033090401,-0.097310279,0.026442202,-0.156842882,0.133993295,0.154232649,0.440234475,-0.152008532,0.200174097,0.348853206,0.387350072,0.161677231,0.083541848,0.125771464,0.206896137,0.002417175,
7,0.005783748,-0.016352894,-0.085536525,-0.128352251,-0.056114481,-0.020886572,-0.195775252,0.028682672,0.039381485,-0.097364906,-0.043921071,0.018358205,0.036489609,-0.089188458,-0.00115281,0.082534331,0.042273357,-0.105541352,-0.086689334,-0.04581792,-0.039876389,-0.072352572,-0.005284573,-0.106944388,-0.044415978,-0.151359271,-0.063267994,-0.132507254,0.035336799,-0.006654128,-0.052698848,0.081381521,-0.002269794,-0.03950335,-0.028991711,-0.012781433,
8,0.0944929,0.007658373,0.000209139,-0.074795712,0.006891175,-0.065426186,-0.247922396,-0.275487096,-0.004699184,-0.125290384,-0.001030577,-0.130684601,-0.051945634,-0.129119571,-0.001135146,-0.093286745,0.042547267,-0.121461198,-0.000926007,-0.168082457,0.04735102,-0.033568669,0.051075637,-0.037293286,0.041621259,-0.289543655,-0.078913931,-0.169008465,-0.05308078,-0.222406316,-0.181065206,-0.094421891,-0.00286488,-0.127987492,-0.064994784,-0.065857589,
9,0.049737783,0.070196054,-0.020726164,-0.112213287,-0.003251404,0.008213721,0.026352076,0.039357692,0.083604004,-0.079254923,-0.039681996,0.0681878,0.058735112,-0.11435295,-0.029318914,0.124294443,0.108472895,-0.044156896,-0.050045079,0.012081156,0.014505809,-0.021008617,0.059966918,-0.066469726,0.058427817,-0.03207574,0.064315999,-0.037963922,0.029416198,0.009941494,-0.055617838,0.094975529,0.021961004,-0.005533562,0.00217454,0.014252902,
10,0.066034049,0.013939105,0.031875541,-0.04105368,0.017698754,0.035627282,0.177906638,0.107111622,0.047232281,0.084169974,0.183741749,-0.172634875,0.014215256,0.077200422,0.167803979,-0.152108035,0.080249305,0.091139527,0.19967952,-0.193161715,0.048954795,-0.013557287,0.039986577,-0.004589069,0.279928824,-0.102022188,0.171388833,0.006517804,0.182019234,-0.074907614,0.091415677,0.015695944,0.115487015,-0.044232451,0.065701128,0.005553437,
11,0.013414929,0.074402374,0.157093952,-0.019630046,0.056320302,0.125287111,0.613789043,0.388507833,0.154296611,0.050351613,0.078190652,0.218309564,0.147589146,0.013150425,-0.000356324,0.228124587,0.161004075,0.087552799,0.156737628,0.208494542,0.08525444,0.027386164,0.043908651,0.068731953,0.317741703,0.296047341,0.248556875,0.365232172,0.147232822,0.241275015,0.160739571,0.227768263,0.116243631,0.134330588,0.102324112,0.148250108,
12,-0.017322918,-0.038623689,0.071310343,-0.071318358,-0.013988656,0.138353471,0.525436574,0.581391196,0.588566037,-0.045455671,0.07956875,-0.069265234,0.597227496,-0.026143826,0.04391358,-0.033606055,0.579904578,-0.064767515,0.115223922,-0.104924413,0.026993712,-0.054971023,-0.027973303,-4.01E-06,0.6951285,-0.169691928,0.515137063,0.010299509,0.641141075,-0.059749881,0.57108367,0.010307525,0.334067394,-0.057360452,0.271555184,0.005151758,
13,-0.044830146,0.084671237,0.05375227,-0.048997992,0.011148842,0.080216544,0.343163863,0.298568493,-0.02808658,0.147935087,0.12969198,0.07132569,-0.005671506,0.105599469,0.102815844,0.095824685,-0.050501652,0.190270706,0.156568114,0.046826694,0.004461062,0.017836623,0.019920545,0.002377139,0.106066462,0.2370974,0.139769053,0.203394809,0.097144338,0.201424154,0.099927961,0.19864053,0.0508027,0.109630388,0.059924254,0.100508835,
